GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2439
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	BOHGMGJN_00001	asd	Cluster_143500
Operon45	BOHGMGJN_00070	Unknown_Gene	Cluster_127311
Operon46	BOHGMGJN_00071	Unknown_Gene	Cluster_122365
Operon46	BOHGMGJN_00072	Unknown_Gene	Cluster_122365
Operon47	BOHGMGJN_00073	Unknown_Gene	Cluster_26718
Operon47	BOHGMGJN_00074	Unknown_Gene	Cluster_26718
Operon48	BOHGMGJN_00075	Unknown_Gene	Cluster_26718
Operon49	BOHGMGJN_00076	Unknown_Gene	Cluster_103508
Operon50	BOHGMGJN_00077	msrC	Cluster_57918
Operon50	BOHGMGJN_00078	Unknown_Gene	Cluster_57918
Operon51	BOHGMGJN_00079	rcsC_1	Cluster_57918
Operon52	BOHGMGJN_00080	gpx1	Cluster_73834
Operon52	BOHGMGJN_00081	msrB	Cluster_73834
Operon53	BOHGMGJN_00082	alaA	Cluster_73834
Operon54	BOHGMGJN_00083	htpX	Cluster_27351
Operon55	BOHGMGJN_00084	tpm	Cluster_116160
Operon56	BOHGMGJN_00085	ygiD	Cluster_116160
Operon57	BOHGMGJN_00086	deaD	Cluster_23337
Operon58	BOHGMGJN_00087	speE	Cluster_104356
Operon59	BOHGMGJN_00088	aroH	Cluster_104356
Operon60	BOHGMGJN_00089	Unknown_Gene	Cluster_5896
Operon61	BOHGMGJN_00090	Unknown_Gene	Cluster_113573
Operon62	BOHGMGJN_00091	yofA	Cluster_113573
Operon63	BOHGMGJN_00092	Unknown_Gene	Cluster_106973
Operon64	BOHGMGJN_00093	dmlR_1	Cluster_106973
Operon65	BOHGMGJN_00094	ohrR	Cluster_147625
Operon66	BOHGMGJN_00095	ohrB	Cluster_88724
Operon67	BOHGMGJN_00096	efp	Cluster_155289
Operon67	BOHGMGJN_00097	Unknown_Gene	Cluster_155289
Operon68	BOHGMGJN_00098	Unknown_Gene	Cluster_96286
Operon68	BOHGMGJN_00099	Unknown_Gene	Cluster_96286
Operon69	BOHGMGJN_00100	dmlR_2	Cluster_104146
Operon70	BOHGMGJN_00101	bdcA	Cluster_104146
Operon71	BOHGMGJN_00102	gltC_1	Cluster_112587
Operon72	BOHGMGJN_00103	Unknown_Gene	Cluster_112587
Operon73	BOHGMGJN_00104	Unknown_Gene	Cluster_50910
Operon74	BOHGMGJN_00105	fatA	Cluster_26591
Operon75	BOHGMGJN_00106	Unknown_Gene	Cluster_60115
Operon76	BOHGMGJN_00107	Unknown_Gene	Cluster_60115
Operon77	BOHGMGJN_00108	plsC	Cluster_102695
Operon78	BOHGMGJN_00109	corA	Cluster_139618
Operon79	BOHGMGJN_00110	Unknown_Gene	Cluster_10037
Operon80	BOHGMGJN_00111	Unknown_Gene	Cluster_10037
Operon81	BOHGMGJN_00112	Unknown_Gene	Cluster_69523
Operon82	BOHGMGJN_00113	Unknown_Gene	Cluster_57221
Operon83	BOHGMGJN_00114	mdoB_1	Cluster_89942
Operon84	BOHGMGJN_00115	Unknown_Gene	Cluster_98666
Operon85	BOHGMGJN_00116	zupT_1	Cluster_98666
Operon86	BOHGMGJN_00117	Unknown_Gene	Cluster_145947
Operon87	BOHGMGJN_00118	Unknown_Gene	Cluster_39142
Operon88	BOHGMGJN_00119	Unknown_Gene	Cluster_39142
Operon89	BOHGMGJN_00120	mtnD	Cluster_88136
Operon89	BOHGMGJN_00121	hcaT	Cluster_88136
Operon90	BOHGMGJN_00122	aroC	Cluster_46434
Operon91	BOHGMGJN_00123	Unknown_Gene	Cluster_46434
Operon92	BOHGMGJN_00124	Unknown_Gene	Cluster_141927
Operon93	BOHGMGJN_00125	prmB	Cluster_67596
Operon94	BOHGMGJN_00126	sttH_1	Cluster_67596
Operon95	BOHGMGJN_00127	Unknown_Gene	Cluster_123730
Operon96	BOHGMGJN_00128	smrA	Cluster_70943
Operon97	BOHGMGJN_00129	folE_1	Cluster_137635
Operon98	BOHGMGJN_00130	Unknown_Gene	Cluster_146097
Operon99	BOHGMGJN_00131	yfcG_1	Cluster_85749
Operon100	BOHGMGJN_00132	ydcO_1	Cluster_85749
Operon101	BOHGMGJN_00133	Unknown_Gene	Cluster_18420
Operon102	BOHGMGJN_00134	Unknown_Gene	Cluster_18420
Operon103	BOHGMGJN_00135	linC	Cluster_69038
Operon104	BOHGMGJN_00136	yfmJ	Cluster_69038
Operon105	BOHGMGJN_00137	pyrF	Cluster_66705
Operon106	BOHGMGJN_00138	Unknown_Gene	Cluster_66705
Operon107	BOHGMGJN_00139	Unknown_Gene	Cluster_2234
Operon108	BOHGMGJN_00140	Unknown_Gene	Cluster_2234
Operon109	BOHGMGJN_00141	Unknown_Gene	Cluster_3664
Operon110	BOHGMGJN_00142	kpsM	Cluster_3664
Operon110	BOHGMGJN_00143	kpsT	Cluster_3664
Operon110	BOHGMGJN_00144	Unknown_Gene	Cluster_3664
Operon110	BOHGMGJN_00145	Unknown_Gene	Cluster_3664
Operon111	BOHGMGJN_00146	Unknown_Gene	Cluster_86764
Operon112	BOHGMGJN_00147	Unknown_Gene	Cluster_6399
Operon113	BOHGMGJN_00148	Unknown_Gene	Cluster_6399
Operon114	BOHGMGJN_00149	kdsA_1	Cluster_152127
Operon114	BOHGMGJN_00150	kdsB_2	Cluster_152127
Operon115	BOHGMGJN_00151	kpsF	Cluster_35719
Operon116	BOHGMGJN_00152	tktA_1	Cluster_35719
Operon117	BOHGMGJN_00153	Unknown_Gene	Cluster_22052
Operon118	BOHGMGJN_00154	Unknown_Gene	Cluster_31712
Operon118	BOHGMGJN_00155	Unknown_Gene	Cluster_31712
Operon118	BOHGMGJN_00156	Unknown_Gene	Cluster_31712
Operon118	BOHGMGJN_00157	Unknown_Gene	Cluster_31712
Operon118	BOHGMGJN_00158	Unknown_Gene	Cluster_31712
Operon118	BOHGMGJN_00159	Unknown_Gene	Cluster_31712
Operon118	BOHGMGJN_00160	Unknown_Gene	Cluster_31712
Operon119	BOHGMGJN_00161	Unknown_Gene	Cluster_11032
Operon120	BOHGMGJN_00162	bioF_1	Cluster_1782
Operon120	BOHGMGJN_00163	tdh	Cluster_1782
Operon121	BOHGMGJN_00164	rmlA	Cluster_73240
Operon121	BOHGMGJN_00165	rfbD	Cluster_73240
Operon121	BOHGMGJN_00166	rfbB	Cluster_73240
Operon122	BOHGMGJN_00167	pglF	Cluster_142543
Operon123	BOHGMGJN_00168	wecA	Cluster_141773
Operon123	BOHGMGJN_00169	gnu	Cluster_141773
Operon123	BOHGMGJN_00170	Unknown_Gene	Cluster_141773
Operon123	BOHGMGJN_00171	wbpI	Cluster_141773
Operon123	BOHGMGJN_00172	wbjC	Cluster_141773
Operon123	BOHGMGJN_00173	capD	Cluster_141773
Operon123	BOHGMGJN_00174	Unknown_Gene	Cluster_141773
Operon124	BOHGMGJN_00175	Unknown_Gene	Cluster_19405
Operon124	BOHGMGJN_00176	Unknown_Gene	Cluster_19405
Operon124	BOHGMGJN_00177	rfbX	Cluster_19405
Operon124	BOHGMGJN_00178	wzzE	Cluster_19405
Operon125	BOHGMGJN_00179	Unknown_Gene	Cluster_115442
Operon126	BOHGMGJN_00180	Unknown_Gene	Cluster_6910
Operon126	BOHGMGJN_00181	ihfB	Cluster_6910
Operon127	BOHGMGJN_00182	rpsA	Cluster_99558
Operon128	BOHGMGJN_00183	cmk	Cluster_78945
Operon128	BOHGMGJN_00184	aroA	Cluster_78945
Operon129	BOHGMGJN_00185	pheA	Cluster_50591
Operon129	BOHGMGJN_00186	serC	Cluster_50591
Operon130	BOHGMGJN_00187	gyrA	Cluster_22773
Operon131	BOHGMGJN_00188	mtnA	Cluster_109069
Operon132	BOHGMGJN_00189	ubiG	Cluster_109069
Operon132	BOHGMGJN_00190	mupP	Cluster_109069
Operon133	BOHGMGJN_00191	yciK	Cluster_79435
Operon134	BOHGMGJN_00192	Unknown_Gene	Cluster_168591
Operon134	BOHGMGJN_00193	Unknown_Gene	Cluster_168591
Operon135	BOHGMGJN_00194	Unknown_Gene	Cluster_49665
Operon135	BOHGMGJN_00195	Unknown_Gene	Cluster_49665
Operon135	BOHGMGJN_00196	Unknown_Gene	Cluster_49665
Operon136	BOHGMGJN_00197	bolA	Cluster_80552
Operon136	BOHGMGJN_00198	Unknown_Gene	Cluster_80552
Operon137	BOHGMGJN_00199	fumC_1	Cluster_80552
Operon138	BOHGMGJN_00200	yhbE	Cluster_33862
Operon139	BOHGMGJN_00201	Unknown_Gene	Cluster_91725
Operon140	BOHGMGJN_00202	mnmC_1	Cluster_91725
Operon141	BOHGMGJN_00203	purF_1	Cluster_95817
Operon141	BOHGMGJN_00204	gshAB	Cluster_95817
Operon142	BOHGMGJN_00205	Unknown_Gene	Cluster_67977
Operon143	BOHGMGJN_00206	Unknown_Gene	Cluster_129360
Operon144	BOHGMGJN_00207	csrA	Cluster_33797
Operon145	BOHGMGJN_00208	Unknown_Gene	Cluster_33797
Operon146	BOHGMGJN_00209	Unknown_Gene	Cluster_134349
Operon146	BOHGMGJN_00210	ecpB_1	Cluster_134349
Operon147	BOHGMGJN_00211	Unknown_Gene	Cluster_134467
Operon148	BOHGMGJN_00212	Unknown_Gene	Cluster_138880
Operon149	BOHGMGJN_00213	Unknown_Gene	Cluster_53156
Operon150	BOHGMGJN_00214	hcaB_1	Cluster_138879
Operon151	BOHGMGJN_00215	rcsC_2	Cluster_105653
Operon151	BOHGMGJN_00216	bvgA_1	Cluster_105653
Operon151	BOHGMGJN_00217	Unknown_Gene	Cluster_105653
Operon151	BOHGMGJN_00218	ecpB_2	Cluster_105653
Operon152	BOHGMGJN_00219	Unknown_Gene	Cluster_123187
Operon153	BOHGMGJN_00220	Unknown_Gene	Cluster_51979
Operon154	BOHGMGJN_00221	actP_1	Cluster_57984
Operon154	BOHGMGJN_00222	yjcH_1	Cluster_57984
Operon155	BOHGMGJN_00223	Unknown_Gene	Cluster_56106
Operon156	BOHGMGJN_00224	Unknown_Gene	Cluster_56106
Operon157	BOHGMGJN_00225	Unknown_Gene	Cluster_63615
Operon158	BOHGMGJN_00226	Unknown_Gene	Cluster_63615
Operon158	BOHGMGJN_00227	Unknown_Gene	Cluster_63615
Operon159	BOHGMGJN_00228	Unknown_Gene	Cluster_85778
Operon160	BOHGMGJN_00229	lpxL	Cluster_109031
Operon161	BOHGMGJN_00230	minC	Cluster_109031
Operon162	BOHGMGJN_00231	minD	Cluster_109763
Operon162	BOHGMGJN_00232	minE	Cluster_109763
Operon163	BOHGMGJN_00233	rluA	Cluster_82556
Operon164	BOHGMGJN_00234	apeB	Cluster_72788
Operon165	BOHGMGJN_00235	Unknown_Gene	Cluster_89339
Operon165	BOHGMGJN_00236	Unknown_Gene	Cluster_89339
Operon166	BOHGMGJN_00237	phnR	Cluster_27642
Operon167	BOHGMGJN_00238	Unknown_Gene	Cluster_27642
Operon168	BOHGMGJN_00239	Unknown_Gene	Cluster_96548
Operon168	BOHGMGJN_00240	Unknown_Gene	Cluster_96548
Operon168	BOHGMGJN_00241	cysW_1	Cluster_96548
Operon168	BOHGMGJN_00242	potA_1	Cluster_96548
Operon168	BOHGMGJN_00243	Unknown_Gene	Cluster_96548
Operon169	BOHGMGJN_00244	ppsC_1	Cluster_89941
Operon170	BOHGMGJN_00245	prc	Cluster_89941
Operon171	BOHGMGJN_00246	Unknown_Gene	Cluster_104593
Operon172	BOHGMGJN_00247	Unknown_Gene	Cluster_3645
Operon172	BOHGMGJN_00248	Unknown_Gene	Cluster_3645
Operon173	BOHGMGJN_00249	hin_1	Cluster_992
Operon174	BOHGMGJN_00250	Unknown_Gene	Cluster_992
Operon174	BOHGMGJN_00251	Unknown_Gene	Cluster_992
Operon174	BOHGMGJN_00252	Unknown_Gene	Cluster_992
Operon174	BOHGMGJN_00253	Unknown_Gene	Cluster_992
Operon175	BOHGMGJN_00254	Unknown_Gene	Cluster_65269
Operon175	BOHGMGJN_00255	Unknown_Gene	Cluster_65269
Operon175	BOHGMGJN_00256	Unknown_Gene	Cluster_65269
Operon175	BOHGMGJN_00257	Unknown_Gene	Cluster_65269
Operon176	BOHGMGJN_00258	Unknown_Gene	Cluster_47180
Operon176	BOHGMGJN_00259	Unknown_Gene	Cluster_47180
Operon177	BOHGMGJN_00260	Unknown_Gene	Cluster_141774
Operon177	BOHGMGJN_00261	Unknown_Gene	Cluster_141774
Operon177	BOHGMGJN_00262	Unknown_Gene	Cluster_141774
Operon178	BOHGMGJN_00263	Unknown_Gene	Cluster_51880
Operon179	BOHGMGJN_00264	intS	Cluster_38351
Operon180	BOHGMGJN_00265	Unknown_Gene	Cluster_34154
Operon181	BOHGMGJN_00266	fklB_1	Cluster_34744
Operon182	BOHGMGJN_00267	gbpR_1	Cluster_61211
Operon183	BOHGMGJN_00268	Unknown_Gene	Cluster_61211
Operon184	BOHGMGJN_00269	Unknown_Gene	Cluster_85777
Operon185	BOHGMGJN_00270	Unknown_Gene	Cluster_100717
Operon186	BOHGMGJN_00271	Unknown_Gene	Cluster_100717
Operon187	BOHGMGJN_00272	nirD	Cluster_34394
Operon187	BOHGMGJN_00273	nasD	Cluster_34394
Operon188	BOHGMGJN_00274	napA_1	Cluster_38899
Operon189	BOHGMGJN_00275	map_1	Cluster_38899
Operon190	BOHGMGJN_00276	Unknown_Gene	Cluster_72017
Operon190	BOHGMGJN_00277	Unknown_Gene	Cluster_72017
Operon191	BOHGMGJN_00278	Unknown_Gene	Cluster_53093
Operon191	BOHGMGJN_00279	Unknown_Gene	Cluster_53093
Operon192	BOHGMGJN_00280	rdgC	Cluster_53093
Operon193	BOHGMGJN_00281	gdx	Cluster_29725
Operon194	BOHGMGJN_00282	lplT	Cluster_79434
Operon195	BOHGMGJN_00283	pmdD	Cluster_120372
Operon195	BOHGMGJN_00284	yjhB	Cluster_120372
Operon196	BOHGMGJN_00285	dasR_1	Cluster_51556
Operon197	BOHGMGJN_00286	Unknown_Gene	Cluster_51556
Operon197	BOHGMGJN_00287	Unknown_Gene	Cluster_51556
Operon197	BOHGMGJN_00288	tnsC	Cluster_51556
Operon198	BOHGMGJN_00289	Unknown_Gene	Cluster_150675
Operon199	BOHGMGJN_00290	Unknown_Gene	Cluster_23615
Operon200	BOHGMGJN_00291	Unknown_Gene	Cluster_42102
Operon201	BOHGMGJN_00292	Unknown_Gene	Cluster_42102
Operon202	BOHGMGJN_00293	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon202	BOHGMGJN_00294	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon203	BOHGMGJN_00295	Unknown_Gene	Cluster_143900
Operon204	BOHGMGJN_00296	Unknown_Gene	Cluster_135070
Operon205	BOHGMGJN_00297	merT	Cluster_135070
Operon205	BOHGMGJN_00298	merP	Cluster_135070
Operon205	BOHGMGJN_00299	Unknown_Gene	Cluster_135070
Operon206	BOHGMGJN_00300	Unknown_Gene	Cluster_4900
Operon206	BOHGMGJN_00301	Unknown_Gene	Cluster_4900
Operon206	BOHGMGJN_00302	Unknown_Gene	Cluster_4900
Operon206	BOHGMGJN_00303	Unknown_Gene	Cluster_4900
Operon207	BOHGMGJN_00304	Unknown_Gene	Cluster_111967
Operon207	BOHGMGJN_00305	yqaA_1	Cluster_111967
Operon207	BOHGMGJN_00306	Unknown_Gene	Cluster_111967
Operon208	BOHGMGJN_00307	Unknown_Gene	Cluster_111967
Operon208	BOHGMGJN_00308	Unknown_Gene	Cluster_111967
Operon208	BOHGMGJN_00309	Unknown_Gene	Cluster_111967
Operon209	BOHGMGJN_00310	Unknown_Gene	Cluster_145223
Operon210	BOHGMGJN_00311	Unknown_Gene	Cluster_78969
Operon211	BOHGMGJN_00312	chrB1	Cluster_78969
Operon211	BOHGMGJN_00313	Unknown_Gene	Cluster_78969
Operon212	BOHGMGJN_00314	Unknown_Gene	Cluster_100067
Operon213	BOHGMGJN_00315	sasA_1	Cluster_54597
Operon213	BOHGMGJN_00316	copR_1	Cluster_54597
Operon214	BOHGMGJN_00317	czcB_1	Cluster_54597
Operon214	BOHGMGJN_00318	czcA_1	Cluster_54597
Operon214	BOHGMGJN_00319	Unknown_Gene	Cluster_54597
Operon214	BOHGMGJN_00320	Unknown_Gene	Cluster_54597
Operon215	BOHGMGJN_00321	Unknown_Gene	Cluster_66865
Operon216	BOHGMGJN_00322	Unknown_Gene	Cluster_66865
Operon217	BOHGMGJN_00323	Unknown_Gene	Cluster_3061
Operon218	BOHGMGJN_00324	Unknown_Gene	Cluster_108925
Operon219	BOHGMGJN_00325	Unknown_Gene	Cluster_108926
Operon219	BOHGMGJN_00326	Unknown_Gene	Cluster_108926
Operon220	BOHGMGJN_00327	Unknown_Gene	Cluster_26999
Operon221	BOHGMGJN_00328	Unknown_Gene	Cluster_16552
Operon221	BOHGMGJN_00329	Unknown_Gene	Cluster_16552
Operon222	BOHGMGJN_00330	gcvA_1	Cluster_31305
Operon223	BOHGMGJN_00331	fabG_2	Cluster_31305
Operon224	BOHGMGJN_00332	Unknown_Gene	Cluster_134884
Operon224	BOHGMGJN_00333	Unknown_Gene	Cluster_134884
Operon225	BOHGMGJN_00334	Unknown_Gene	Cluster_111766
Operon226	BOHGMGJN_00335	Unknown_Gene	Cluster_137207
Operon226	BOHGMGJN_00336	Unknown_Gene	Cluster_137207
Operon226	BOHGMGJN_00337	Unknown_Gene	Cluster_137207
Operon227	BOHGMGJN_00338	Unknown_Gene	Cluster_132773
Operon227	BOHGMGJN_00339	rfnT_1	Cluster_132773
Operon228	BOHGMGJN_00340	Unknown_Gene	Cluster_138654
Operon229	BOHGMGJN_00341	Unknown_Gene	Cluster_9182
Operon230	BOHGMGJN_00342	pcpR_1	Cluster_9182
Operon231	BOHGMGJN_00343	Unknown_Gene	Cluster_3261
Operon231	BOHGMGJN_00344	Unknown_Gene	Cluster_3261
Operon232	BOHGMGJN_00345	Unknown_Gene	Cluster_21719
Operon233	BOHGMGJN_00346	Unknown_Gene	Cluster_86823
Operon234	BOHGMGJN_00347	Unknown_Gene	Cluster_96429
Operon235	BOHGMGJN_00348	Unknown_Gene	Cluster_49878
Operon236	BOHGMGJN_00349	Unknown_Gene	Cluster_5951
Operon237	BOHGMGJN_00350	mdrP	Cluster_5951
Operon238	BOHGMGJN_00351	rcsC_3	Cluster_98629
Operon239	BOHGMGJN_00352	Unknown_Gene	Cluster_1818
Operon240	BOHGMGJN_00353	Unknown_Gene	Cluster_424
Operon241	BOHGMGJN_00354	Unknown_Gene	Cluster_424
Operon242	BOHGMGJN_00355	Unknown_Gene	Cluster_43190
Operon243	BOHGMGJN_00356	fadL	Cluster_85074
Operon244	BOHGMGJN_00357	dmlR_3	Cluster_106795
Operon245	BOHGMGJN_00358	Unknown_Gene	Cluster_106795
Operon246	BOHGMGJN_00359	btuE_1	Cluster_156790
Operon246	BOHGMGJN_00360	Unknown_Gene	Cluster_156790
Operon246	BOHGMGJN_00361	Unknown_Gene	Cluster_156790
Operon247	BOHGMGJN_00362	Unknown_Gene	Cluster_144388
Operon248	BOHGMGJN_00363	Unknown_Gene	Cluster_77514
Operon249	BOHGMGJN_00364	cobS	Cluster_8620
Operon249	BOHGMGJN_00365	cobC	Cluster_8620
Operon249	BOHGMGJN_00366	cobT	Cluster_8620
Operon249	BOHGMGJN_00367	cobP	Cluster_8620
Operon249	BOHGMGJN_00368	cobQ	Cluster_8620
Operon249	BOHGMGJN_00369	hisC_1	Cluster_8620
Operon249	BOHGMGJN_00370	cobD	Cluster_8620
Operon249	BOHGMGJN_00371	bluB	Cluster_8620
Operon249	BOHGMGJN_00372	cbiA	Cluster_8620
Operon249	BOHGMGJN_00373	cobO_1	Cluster_8620
Operon250	BOHGMGJN_00374	Unknown_Gene	Cluster_88135
Operon251	BOHGMGJN_00375	mepS	Cluster_97912
Operon252	BOHGMGJN_00376	hda	Cluster_46295
Operon253	BOHGMGJN_00377	Unknown_Gene	Cluster_28750
Operon253	BOHGMGJN_00378	Unknown_Gene	Cluster_28750
Operon254	BOHGMGJN_00379	purM	Cluster_28750
Operon254	BOHGMGJN_00380	purN	Cluster_28750
Operon254	BOHGMGJN_00381	Unknown_Gene	Cluster_28750
Operon255	BOHGMGJN_00382	Unknown_Gene	Cluster_57125
Operon256	BOHGMGJN_00383	fdhL	Cluster_25994
Operon256	BOHGMGJN_00384	Unknown_Gene	Cluster_25994
Operon256	BOHGMGJN_00385	Unknown_Gene	Cluster_25994
Operon257	BOHGMGJN_00386	Unknown_Gene	Cluster_98698
Operon257	BOHGMGJN_00387	mazG	Cluster_98698
Operon258	BOHGMGJN_00388	relA	Cluster_119625
Operon259	BOHGMGJN_00389	rlmD	Cluster_115467
Operon259	BOHGMGJN_00390	cysM	Cluster_115467
Operon260	BOHGMGJN_00391	pfeS_1	Cluster_82780
Operon260	BOHGMGJN_00392	baeR	Cluster_82780
Operon261	BOHGMGJN_00393	barA	Cluster_82780
Operon262	BOHGMGJN_00394	ldhA	Cluster_133574
Operon262	BOHGMGJN_00395	Unknown_Gene	Cluster_133574
Operon262	BOHGMGJN_00396	Unknown_Gene	Cluster_133574
Operon263	BOHGMGJN_00397	resA_1	Cluster_126260
Operon264	BOHGMGJN_00398	yfgD	Cluster_126260
Operon264	BOHGMGJN_00399	Unknown_Gene	Cluster_126260
Operon264	BOHGMGJN_00400	Unknown_Gene	Cluster_126260
Operon265	BOHGMGJN_00401	Unknown_Gene	Cluster_39863
Operon265	BOHGMGJN_00402	ttcA	Cluster_39863
Operon266	BOHGMGJN_00403	yohC	Cluster_39863
Operon267	BOHGMGJN_00404	sprT	Cluster_95131
Operon268	BOHGMGJN_00405	fpr_1	Cluster_90550
Operon269	BOHGMGJN_00406	cmpR_2	Cluster_90550
Operon270	BOHGMGJN_00407	dgkA	Cluster_135079
Operon271	BOHGMGJN_00408	lnrK	Cluster_68561
Operon272	BOHGMGJN_00409	Unknown_Gene	Cluster_52966
Operon273	BOHGMGJN_00410	Unknown_Gene	Cluster_52966
Operon274	BOHGMGJN_00411	Unknown_Gene	Cluster_77785
Operon275	BOHGMGJN_00412	Unknown_Gene	Cluster_77785
Operon276	BOHGMGJN_00413	recX	Cluster_141088
Operon277	BOHGMGJN_00414	recA	Cluster_114403
Operon278	BOHGMGJN_00415	pncC	Cluster_149338
Operon279	BOHGMGJN_00416	Unknown_Gene	Cluster_76777
Operon280	BOHGMGJN_00417	mutS	Cluster_76777
Operon281	BOHGMGJN_00418	fdxA	Cluster_89022
Operon282	BOHGMGJN_00419	rpoS	Cluster_110439
Operon283	BOHGMGJN_00420	nlpD	Cluster_46948
Operon284	BOHGMGJN_00421	pcm	Cluster_132962
Operon284	BOHGMGJN_00422	surE	Cluster_132962
Operon284	BOHGMGJN_00423	truD	Cluster_132962
Operon284	BOHGMGJN_00424	ispF	Cluster_132962
Operon285	BOHGMGJN_00425	yeiG	Cluster_111804
Operon285	BOHGMGJN_00426	frmA	Cluster_111804
Operon286	BOHGMGJN_00427	dmlR_4	Cluster_111804
Operon287	BOHGMGJN_00428	ispD	Cluster_73774
Operon287	BOHGMGJN_00429	ftsB	Cluster_73774
Operon288	BOHGMGJN_00430	eno	Cluster_81074
Operon289	BOHGMGJN_00431	kdsA_2	Cluster_37547
Operon289	BOHGMGJN_00432	pyrG	Cluster_37547
