This file lists every transcription factor binding IGR proposed to regulate an operon, and statistics for the operon composition for each regulatory occurrence of the IGR
If IGR occurrence isn't associated to an operon, it isnt included when calculating statistics
IGR = ClusterID, AVG_OP_LEN = Average number of genes per operon to 3 D.P,TF = Name of TF(s) IGR binds separated by comma, TOTAL_ASSOC = Number of IGR occurrences associated to operon(s), GENE = Name of gene if known, OCC_IN_OPERON = Number of operons associated to IGR bearing gene
IGR	AVG_OP_LEN	TF	TOTAL_ASSOCS	GENE	OCC_IN_OPERON	PERCENT_OPERONS
Cluster_2287	13.536	ColR	166	ddl_2	13	7.831
Cluster_2287	13.536	ColR	166	mraZ_1	2	1.205
Cluster_2287	13.536	ColR	166	mraZ_2	2	1.205
Cluster_2287	13.536	ColR	166	ftsA_1	1	0.602
Cluster_2287	13.536	ColR	166	ftsA_2	1	0.602
Cluster_2287	13.536	ColR	166	murE_1	2	1.205
Cluster_2287	13.536	ColR	166	murE_2	2	1.205
Cluster_2287	13.536	ColR	166	mraY_2	5	3.012
Cluster_2287	13.536	ColR	166	ftsI_2	4	2.41
Cluster_2287	13.536	ColR	166	murG_2	3	1.807
Cluster_2287	13.536	ColR	166	murF_1	2	1.205
Cluster_2287	13.536	ColR	166	murF_2	2	1.205
Cluster_2287	13.536	ColR	166	ftsI_1	2	1.205
Cluster_2287	13.536	ColR	166	ftsI_3	1	0.602
Cluster_2287	13.536	ColR	166	mraY_1	3	1.807
Cluster_2287	13.536	ColR	166	mraY_3	1	0.602
Cluster_2287	13.536	ColR	166	rsmH_1	1	0.602
Cluster_2287	13.536	ColR	166	rsmH_2	1	0.602
Cluster_2287	13.536	ColR	166	ftsQ_1	1	0.602
Cluster_2287	13.536	ColR	166	ftsQ_2	1	0.602
Cluster_2287	13.536	ColR	166	murG_1	1	0.602
Cluster_12911	1.0	PcaR	122	Unknown_Gene	61	50.0
Cluster_12911	1.0	PcaR	122	pcaR_1	28	22.951
Cluster_12911	1.0	PcaR	122	pcaR_3	13	10.656
Cluster_12911	1.0	PcaR	122	pcaR_2	19	15.574
Cluster_12911	1.0	PcaR	122	pcaR	1	0.82
Cluster_27799	1.0	PcaR	21	pcaF_1	10	47.619
Cluster_27799	1.0	PcaR	21	pcaF	4	19.048
Cluster_27799	1.0	PcaR	21	pcaF_2	7	33.333
Cluster_75806	1.51	Zur	100	Unknown_Gene	100	100.0
Cluster_75806	1.51	Zur	100	hpmA	1	1.0
Cluster_26978	1.5	LexA	24	Unknown_Gene	24	100.0
Cluster_26978	1.5	LexA	24	ssb_1	1	4.167
Cluster_141926	1.0	LexA	9	Unknown_Gene	9	100.0
Cluster_114403	1.0	LexA	117	recA	99	84.615
Cluster_114403	1.0	LexA	117	recA_1	8	6.838
Cluster_114403	1.0	LexA	117	recA_4	1	0.855
Cluster_114403	1.0	LexA	117	recA_3	4	3.419
Cluster_114403	1.0	LexA	117	recA_2	5	4.274
Cluster_135079	1.007	ColR	147	dgkA_1	6	4.082
Cluster_135079	1.007	ColR	147	dgkA	135	91.837
Cluster_135079	1.007	ColR	147	dgkA_2	7	4.762
Cluster_424	1.008	ColR	127	Unknown_Gene	127	100.0
Cluster_80552	1.503	AmrZ	296	fumC_2	92	31.081
Cluster_80552	1.503	AmrZ	296	Unknown_Gene	148	50.0
Cluster_80552	1.503	AmrZ	296	bolA	148	50.0
Cluster_80552	1.503	AmrZ	296	fumC_1	55	18.581
Cluster_80552	1.503	AmrZ	296	fumC_3	1	0.338
Cluster_80552	1.503	AmrZ	296	fumC_4	1	0.338
Cluster_34358	1.026	LexA	196	tyrB_1	55	28.061
Cluster_34358	1.026	LexA	196	uvrB	81	41.327
Cluster_34358	1.026	LexA	196	tyrB_2	40	20.408
Cluster_34358	1.026	LexA	196	aspC	1	0.51
Cluster_34358	1.026	LexA	196	Unknown_Gene	3	1.531
Cluster_34358	1.026	LexA	196	uvrB_1	12	6.122
Cluster_34358	1.026	LexA	196	uvrB_2	8	4.082
Cluster_34358	1.026	LexA	196	tyrB	1	0.51
Cluster_36660	1.027	ArgR	292	Unknown_Gene	145	49.658
Cluster_36660	1.027	ArgR	292	gdhB	143	48.973
Cluster_36660	1.027	ArgR	292	gdhB_1	3	1.027
Cluster_36660	1.027	ArgR	292	gdhB_2	3	1.027
Cluster_36660	1.027	ArgR	292	gdhB_3	3	1.027
Cluster_36660	1.027	ArgR	292	gdhB_4	2	0.685
Cluster_36660	1.027	ArgR	292	gdhB_5	1	0.342
Cluster_141928	1.008	LexA	125	Unknown_Gene	125	100.0
Cluster_9638	1.838	PsrA	37	Unknown_Gene	6	16.216
Cluster_9638	1.838	PsrA	37	fadB_2	18	48.649
Cluster_9638	1.838	PsrA	37	fadA_2	12	32.432
Cluster_9638	1.838	PsrA	37	fadB	7	18.919
Cluster_9638	1.838	PsrA	37	fadA	3	8.108
Cluster_9638	1.838	PsrA	37	fadB_3	1	2.703
Cluster_9638	1.838	PsrA	37	fadB_1	5	13.514
Cluster_9638	1.838	PsrA	37	fadA_1	4	10.811
Cluster_9638	1.838	PsrA	37	fadA_3	12	32.432
Cluster_53718	2.165	LexA,PsrA	236	sulA_1	52	22.034
Cluster_53718	2.165	LexA,PsrA	236	lexA_1	48	20.339
Cluster_53718	2.165	LexA,PsrA	236	Unknown_Gene	118	50.0
Cluster_53718	2.165	LexA,PsrA	236	sulA	19	8.051
Cluster_53718	2.165	LexA,PsrA	236	nagZ	57	24.153
Cluster_53718	2.165	LexA,PsrA	236	lexA_2	44	18.644
Cluster_53718	2.165	LexA,PsrA	236	sulA_2	47	19.915
Cluster_53718	2.165	LexA,PsrA	236	nagZ_1	13	5.508
Cluster_53718	2.165	LexA,PsrA	236	lexA_3	19	8.051
Cluster_53718	2.165	LexA,PsrA	236	nagZ_2	8	3.39
Cluster_53718	2.165	LexA,PsrA	236	lexA_4	6	2.542
Cluster_53718	2.165	LexA,PsrA	236	lexA_5	2	0.847
Cluster_53718	2.165	LexA,PsrA	236	nagZ_3	1	0.424
Cluster_123942	1.0	CueR	71	Unknown_Gene	71	100.0
Cluster_17657	2.0	LexA	14	Unknown_Gene	14	100.0
Cluster_17657	2.0	LexA	14	xerC_1	5	35.714
Cluster_17657	2.0	LexA	14	xerC_6	2	14.286
Cluster_17657	2.0	LexA	14	xerC_4	3	21.429
Cluster_17657	2.0	LexA	14	xerC_8	1	7.143
Cluster_17657	2.0	LexA	14	xerC_3	1	7.143
Cluster_17657	2.0	LexA	14	xerC_9	1	7.143
Cluster_17657	2.0	LexA	14	xerC_5	1	7.143
Cluster_11011	1.0	ColR	134	Unknown_Gene	134	100.0
Cluster_39890	2.5	PcaR	96	aroE_2	14	14.583
Cluster_39890	2.5	PcaR	96	aroQ_1	25	26.042
Cluster_39890	2.5	PcaR	96	czcC_2	15	15.625
Cluster_39890	2.5	PcaR	96	czcB_2	16	16.667
Cluster_39890	2.5	PcaR	96	czcA_2	22	22.917
Cluster_39890	2.5	PcaR	96	czcC_1	17	17.708
Cluster_39890	2.5	PcaR	96	aroQ_2	23	23.958
Cluster_39890	2.5	PcaR	96	aroE_4	15	15.625
Cluster_39890	2.5	PcaR	96	czcA_1	21	21.875
Cluster_39890	2.5	PcaR	96	czcB_1	16	16.667
Cluster_39890	2.5	PcaR	96	czcA_3	4	4.167
Cluster_39890	2.5	PcaR	96	aroE_1	10	10.417
Cluster_39890	2.5	PcaR	96	czcB	15	15.625
Cluster_39890	2.5	PcaR	96	czcC	15	15.625
Cluster_39890	2.5	PcaR	96	aroE_3	8	8.333
Cluster_39890	2.5	PcaR	96	czcC_3	1	1.042
Cluster_39890	2.5	PcaR	96	czcA_4	1	1.042
Cluster_39890	2.5	PcaR	96	czcB_3	1	1.042
Cluster_39890	2.5	PcaR	96	aroE_5	1	1.042
Cluster_104824	1.065	Zur	31	Unknown_Gene	31	100.0
Cluster_53702	2.0	LexA	20	nucM	20	100.0
Cluster_53702	2.0	LexA	20	Unknown_Gene	20	100.0
Cluster_104878	1.0	PtxS	117	Unknown_Gene	117	100.0
Cluster_33823	1.0	PcaR	148	abaF_1	37	25.0
Cluster_33823	1.0	PcaR	148	Unknown_Gene	74	50.0
Cluster_33823	1.0	PcaR	148	abaF_2	19	12.838
Cluster_33823	1.0	PcaR	148	abaF	1	0.676
Cluster_33823	1.0	PcaR	148	abaF_3	12	8.108
Cluster_33823	1.0	PcaR	148	abaF_7	2	1.351
Cluster_33823	1.0	PcaR	148	abaF_4	2	1.351
Cluster_33823	1.0	PcaR	148	abaF_6	1	0.676
Cluster_99371	2.02	LexA	50	fan1	50	100.0
Cluster_99371	2.02	LexA	50	dinG_3	7	14.0
Cluster_99371	2.02	LexA	50	dinG_4	17	34.0
Cluster_99371	2.02	LexA	50	dinG_2	9	18.0
Cluster_99371	2.02	LexA	50	dinG_1	10	20.0
Cluster_99371	2.02	LexA	50	dinG_5	7	14.0
Cluster_99371	2.02	LexA	50	Unknown_Gene	1	2.0
Cluster_86935	1.5	LexA	44	Unknown_Gene	22	50.0
Cluster_86935	1.5	LexA	44	mqo_3	13	29.545
Cluster_86935	1.5	LexA	44	mqo_1	7	15.909
Cluster_86935	1.5	LexA	44	mqo_2	2	4.545
Cluster_19793	1.0	LexA	10	Unknown_Gene	10	100.0
Cluster_15322	1.548	AmrZ	104	Unknown_Gene	94	90.385
Cluster_15322	1.548	AmrZ	104	tenA	51	49.038
Cluster_15322	1.548	AmrZ	104	ftsP	9	8.654
Cluster_15322	1.548	AmrZ	104	ftsP_1	1	0.962
Cluster_15322	1.548	AmrZ	104	tenA_1	1	0.962
Cluster_15322	1.548	AmrZ	104	tenA_2	1	0.962
Cluster_118926	2.095	Zur	21	hisI_1	7	33.333
Cluster_118926	2.095	Zur	21	Unknown_Gene	9	42.857
Cluster_118926	2.095	Zur	21	hemB_2	7	33.333
Cluster_118926	2.095	Zur	21	yciC_1	4	19.048
Cluster_118926	2.095	Zur	21	folE2	4	19.048
Cluster_118926	2.095	Zur	21	hisI_2	5	23.81
Cluster_118926	2.095	Zur	21	pyrC_2	2	9.524
Cluster_118926	2.095	Zur	21	dksA_3	1	4.762
Cluster_118926	2.095	Zur	21	dksA_4	1	4.762
Cluster_118926	2.095	Zur	21	hemB_1	2	9.524
Cluster_118926	2.095	Zur	21	pyrC_1	1	4.762
Cluster_118926	2.095	Zur	21	dksA_2	1	4.762
Cluster_30372	1.969	Zur	32	cntO_4	7	21.875
Cluster_30372	1.969	Zur	32	Unknown_Gene	31	96.875
Cluster_30372	1.969	Zur	32	cntO_3	9	28.125
Cluster_30372	1.969	Zur	32	cntO_6	3	9.375
Cluster_30372	1.969	Zur	32	cntO_5	6	18.75
Cluster_30372	1.969	Zur	32	cntO_7	3	9.375
Cluster_30372	1.969	Zur	32	cntO_2	3	9.375
Cluster_30372	1.969	Zur	32	cntO_1	1	3.125
Cluster_40116	1.923	PcaR	39	atsA	24	61.538
Cluster_40116	1.923	PcaR	39	Unknown_Gene	36	92.308
Cluster_40116	1.923	PcaR	39	mhpT	12	30.769
Cluster_40116	1.923	PcaR	39	mhpT_1	2	5.128
Cluster_40116	1.923	PcaR	39	atsA_1	1	2.564
Cluster_141141	2.0	PtxS	23	kdgK	23	100.0
Cluster_141141	2.0	PtxS	23	Unknown_Gene	23	100.0
Cluster_7066	1.0	PtxS	6	kdgR_1	6	100.0
Cluster_24293	3.941	PtxS	34	Unknown_Gene	34	100.0
Cluster_44353	2.046	ColR	108	rstB	51	47.222
Cluster_44353	2.046	ColR	108	rstA_2	25	23.148
Cluster_44353	2.046	ColR	108	acrE_2	6	5.556
Cluster_44353	2.046	ColR	108	mexB_2	6	5.556
Cluster_44353	2.046	ColR	108	mexB	18	16.667
Cluster_44353	2.046	ColR	108	mexA	19	17.593
Cluster_44353	2.046	ColR	108	ttgB_1	13	12.037
Cluster_44353	2.046	ColR	108	mexA_1	13	12.037
Cluster_44353	2.046	ColR	108	rstA_1	28	25.926
Cluster_44353	2.046	ColR	108	mexB_1	5	4.63
Cluster_44353	2.046	ColR	108	acrE	10	9.259
Cluster_44353	2.046	ColR	108	rstB_2	3	2.778
Cluster_44353	2.046	ColR	108	acrB	2	1.852
Cluster_44353	2.046	ColR	108	ttgB_2	9	8.333
Cluster_44353	2.046	ColR	108	rstA	1	0.926
Cluster_44353	2.046	ColR	108	mexA_3	1	0.926
Cluster_44353	2.046	ColR	108	srpA_1	1	0.926
Cluster_44353	2.046	ColR	108	acrB_2	1	0.926
Cluster_44353	2.046	ColR	108	mexA_2	2	1.852
Cluster_44353	2.046	ColR	108	ttgB	2	1.852
Cluster_44353	2.046	ColR	108	acrE_1	3	2.778
Cluster_44353	2.046	ColR	108	rstB_1	1	0.926
Cluster_44353	2.046	ColR	108	ttgB_3	1	0.926
Cluster_42628	1.0	ArgR	61	walR	28	45.902
Cluster_42628	1.0	ArgR	61	walR_2	16	26.23
Cluster_42628	1.0	ArgR	61	walR_3	1	1.639
Cluster_42628	1.0	ArgR	61	walR_1	14	22.951
Cluster_42628	1.0	ArgR	61	rssB_3	1	1.639
Cluster_42628	1.0	ArgR	61	rssB_4	1	1.639
Cluster_50541	1.0	ColR	137	gloA	109	79.562
Cluster_50541	1.0	ColR	137	gloA_1	13	9.489
Cluster_50541	1.0	ColR	137	gloA_2	13	9.489
Cluster_50541	1.0	ColR	137	gloA_3	1	0.73
Cluster_50541	1.0	ColR	137	Unknown_Gene	1	0.73
Cluster_47239	1.02	LexA	98	Unknown_Gene	98	100.0
Cluster_70946	1.005	PvdS	222	Unknown_Gene	111	50.0
Cluster_70946	1.005	PvdS	222	pvdA	70	31.532
Cluster_70946	1.005	PvdS	222	pvdA_1	25	11.261
Cluster_70946	1.005	PvdS	222	pvdA_2	17	7.658
Cluster_135759	2.0	LexA	8	Unknown_Gene	8	100.0
Cluster_83971	1.5	LexA	16	Unknown_Gene	16	100.0
Cluster_20942	1.505	PcaR	103	Unknown_Gene	52	50.485
Cluster_20942	1.505	PcaR	103	pcaI	42	40.777
Cluster_20942	1.505	PcaR	103	pcaJ	43	41.748
Cluster_20942	1.505	PcaR	103	pcaJ_2	3	2.913
Cluster_20942	1.505	PcaR	103	pcaI_2	4	3.883
Cluster_20942	1.505	PcaR	103	pcaJ_1	5	4.854
Cluster_20942	1.505	PcaR	103	pcaI_1	6	5.825
Cluster_14618	1.0	ColR	146	Unknown_Gene	146	100.0
Cluster_85081	1.964	PcaR	28	Unknown_Gene	28	100.0
Cluster_94932	2.077	PsrA	39	Unknown_Gene	39	100.0
Cluster_8186	1.508	PsrA	250	etfA	85	34.0
Cluster_8186	1.508	PsrA	250	etfB	87	34.8
Cluster_8186	1.508	PsrA	250	Unknown_Gene	126	50.4
Cluster_8186	1.508	PsrA	250	acrF	1	0.4
Cluster_8186	1.508	PsrA	250	etfA_1	17	6.8
Cluster_8186	1.508	PsrA	250	etfB_1	18	7.2
Cluster_8186	1.508	PsrA	250	etfA_2	13	5.2
Cluster_8186	1.508	PsrA	250	etfB_2	11	4.4
Cluster_8186	1.508	PsrA	250	etfA_3	8	3.2
Cluster_8186	1.508	PsrA	250	etfB_3	9	3.6
Cluster_80540	2.219	PvdS	32	Unknown_Gene	32	100.0
Cluster_80540	2.219	PvdS	32	cefD	13	40.625
Cluster_80540	2.219	PvdS	32	egtB	13	40.625
Cluster_80540	2.219	PvdS	32	yojI	13	40.625
Cluster_111936	1.011	Zur	94	Unknown_Gene	94	100.0
Cluster_26282	1.111	ArgR	18	aruC	17	94.444
Cluster_26282	1.111	ArgR	18	Unknown_Gene	1	5.556
Cluster_26282	1.111	ArgR	18	aruC_1	1	5.556
Cluster_26282	1.111	ArgR	18	aruC_2	1	5.556
Cluster_18341	1.011	AmrZ	186	acs	81	43.548
Cluster_18341	1.011	AmrZ	186	Unknown_Gene	93	50.0
Cluster_18341	1.011	AmrZ	186	acs_2	7	3.763
Cluster_18341	1.011	AmrZ	186	acs_5	1	0.538
Cluster_18341	1.011	AmrZ	186	acs_1	5	2.688
Cluster_18341	1.011	AmrZ	186	acs_3	1	0.538
Cluster_41364	1.351	PhhR	94	tyrR_2	33	35.106
Cluster_41364	1.351	PhhR	94	phhA	31	32.979
Cluster_41364	1.351	PhhR	94	Unknown_Gene	32	34.043
Cluster_41364	1.351	PhhR	94	tyrR_1	31	32.979
Cluster_8180	1.0	LexA	18	psiE	9	50.0
Cluster_8180	1.0	LexA	18	Unknown_Gene	9	50.0
Cluster_62115	1.011	LexA	262	grpE	130	49.618
Cluster_62115	1.011	LexA	262	recN	130	49.618
Cluster_62115	1.011	LexA	262	recN_1	1	0.382
Cluster_62115	1.011	LexA	262	recN_2	1	0.382
Cluster_62115	1.011	LexA	262	Unknown_Gene	1	0.382
Cluster_62115	1.011	LexA	262	grpE_1	1	0.382
Cluster_62115	1.011	LexA	262	grpE_2	1	0.382
Cluster_101329	1.085	VqsM	117	fabR_2	50	42.735
Cluster_101329	1.085	VqsM	117	Unknown_Gene	5	4.274
Cluster_101329	1.085	VqsM	117	fabR_1	31	26.496
Cluster_101329	1.085	VqsM	117	fabR	36	30.769
Cluster_101329	1.085	VqsM	117	ce	5	4.274
Cluster_21140	1.036	ArgR	169	gltB	166	98.225
Cluster_21140	1.036	ArgR	169	gltB_1	2	1.183
Cluster_21140	1.036	ArgR	169	gltB_2	3	1.775
Cluster_21140	1.036	ArgR	169	gltB_3	2	1.183
Cluster_21140	1.036	ArgR	169	gltB_4	1	0.592
Cluster_21140	1.036	ArgR	169	gltB_5	1	0.592
Cluster_10539	2.02	NtrC	50	ubiK	39	78.0
Cluster_10539	2.02	NtrC	50	Unknown_Gene	39	78.0
Cluster_10539	2.02	NtrC	50	glnK	11	22.0
Cluster_10539	2.02	NtrC	50	amtB_3	2	4.0
Cluster_10539	2.02	NtrC	50	amtB_1	4	8.0
Cluster_10539	2.02	NtrC	50	amtB_2	5	10.0
