GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2798
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	LIHDPOLN_00001	nanT_1	Cluster_140235
Operon44	LIHDPOLN_00085	gbpR_1	Cluster_94516
Operon45	LIHDPOLN_00086	benM_1	Cluster_89394
Operon46	LIHDPOLN_00087	abaF_1	Cluster_89394
Operon46	LIHDPOLN_00088	aroQ_1	Cluster_89394
Operon47	LIHDPOLN_00089	gloB_2	Cluster_102101
Operon47	LIHDPOLN_00090	mpdB	Cluster_102101
Operon47	LIHDPOLN_00091	Unknown_Gene	Cluster_102101
Operon48	LIHDPOLN_00092	gloA_1	Cluster_56925
Operon49	LIHDPOLN_00093	Unknown_Gene	Cluster_56925
Operon50	LIHDPOLN_00094	Unknown_Gene	Cluster_43739
Operon51	LIHDPOLN_00095	Unknown_Gene	Cluster_98722
Operon52	LIHDPOLN_00096	aceE_1	Cluster_98722
Operon53	LIHDPOLN_00097	Unknown_Gene	Cluster_30226
Operon54	LIHDPOLN_00098	hldD	Cluster_30226
Operon55	LIHDPOLN_00099	iutA_1	Cluster_148588
Operon56	LIHDPOLN_00100	Unknown_Gene	Cluster_48171
Operon56	LIHDPOLN_00101	Unknown_Gene	Cluster_48171
Operon56	LIHDPOLN_00102	Unknown_Gene	Cluster_48171
Operon56	LIHDPOLN_00103	Unknown_Gene	Cluster_48171
Operon57	LIHDPOLN_00104	Unknown_Gene	Cluster_48171
Operon58	LIHDPOLN_00105	paaX	Cluster_78426
Operon58	LIHDPOLN_00106	caiE	Cluster_78426
Operon59	LIHDPOLN_00107	Unknown_Gene	Cluster_114831
Operon60	LIHDPOLN_00108	paaF	Cluster_114831
Operon60	LIHDPOLN_00109	paaG	Cluster_114831
Operon60	LIHDPOLN_00110	paaH	Cluster_114831
Operon60	LIHDPOLN_00111	paaI	Cluster_114831
Operon60	LIHDPOLN_00112	paaJ	Cluster_114831
Operon61	LIHDPOLN_00113	paaK	Cluster_102102
Operon62	LIHDPOLN_00114	paaA	Cluster_54428
Operon62	LIHDPOLN_00115	paaB	Cluster_54428
Operon62	LIHDPOLN_00116	paaC	Cluster_54428
Operon62	LIHDPOLN_00117	paaD	Cluster_54428
Operon62	LIHDPOLN_00118	paaE	Cluster_54428
Operon63	LIHDPOLN_00119	yjcH_1	Cluster_72849
Operon63	LIHDPOLN_00120	actP_1	Cluster_72849
Operon63	LIHDPOLN_00121	nicP_1	Cluster_72849
Operon63	LIHDPOLN_00122	paaZ_1	Cluster_72849
Operon64	LIHDPOLN_00123	Unknown_Gene	Cluster_77861
Operon65	LIHDPOLN_00124	Unknown_Gene	Cluster_118288
Operon66	LIHDPOLN_00125	Unknown_Gene	Cluster_114832
Operon67	LIHDPOLN_00126	Unknown_Gene	Cluster_39905
Operon68	LIHDPOLN_00127	rppH_1	Cluster_39905
Operon69	LIHDPOLN_00128	clpP_1	Cluster_67664
Operon70	LIHDPOLN_00129	Unknown_Gene	Cluster_67664
Operon70	LIHDPOLN_00130	Unknown_Gene	Cluster_67664
Operon70	LIHDPOLN_00131	clsB	Cluster_67664
Operon70	LIHDPOLN_00132	ybhN	Cluster_67664
Operon70	LIHDPOLN_00133	Unknown_Gene	Cluster_67664
Operon71	LIHDPOLN_00134	Unknown_Gene	Cluster_97517
Operon72	LIHDPOLN_00135	ligD_1	Cluster_97517
Operon72	LIHDPOLN_00136	Unknown_Gene	Cluster_97517
Operon72	LIHDPOLN_00137	Unknown_Gene	Cluster_97517
Operon72	LIHDPOLN_00138	Unknown_Gene	Cluster_97517
Operon72	LIHDPOLN_00139	Unknown_Gene	Cluster_97517
Operon73	LIHDPOLN_00140	mtnN	Cluster_149302
Operon74	LIHDPOLN_00141	Unknown_Gene	Cluster_146068
Operon74	LIHDPOLN_00142	prmC_1	Cluster_146068
Operon74	LIHDPOLN_00143	Unknown_Gene	Cluster_146068
Operon74	LIHDPOLN_00144	Unknown_Gene	Cluster_146068
Operon75	LIHDPOLN_00145	Unknown_Gene	Cluster_76540
Operon76	LIHDPOLN_00146	Unknown_Gene	Cluster_158956
Operon76	LIHDPOLN_00147	Unknown_Gene	Cluster_158956
Operon77	LIHDPOLN_00148	Unknown_Gene	Cluster_66263
Operon78	LIHDPOLN_00149	panS_1	Cluster_66263
Operon79	LIHDPOLN_00150	Unknown_Gene	Cluster_19334
Operon80	LIHDPOLN_00151	mgtC	Cluster_19334
Operon80	LIHDPOLN_00152	Unknown_Gene	Cluster_19334
Operon81	LIHDPOLN_00153	Unknown_Gene	Cluster_76330
Operon81	LIHDPOLN_00154	Unknown_Gene	Cluster_76330
Operon82	LIHDPOLN_00155	Unknown_Gene	Cluster_150178
Operon83	LIHDPOLN_00156	Unknown_Gene	Cluster_33994
Operon84	LIHDPOLN_00157	pht2_1	Cluster_33994
Operon85	LIHDPOLN_00158	Unknown_Gene	Cluster_123885
Operon86	LIHDPOLN_00159	Unknown_Gene	Cluster_87086
Operon86	LIHDPOLN_00160	Unknown_Gene	Cluster_87086
Operon87	LIHDPOLN_00161	galA_1	Cluster_167957
Operon87	LIHDPOLN_00162	Unknown_Gene	Cluster_167957
Operon88	LIHDPOLN_00163	Unknown_Gene	Cluster_167957
Operon89	LIHDPOLN_00164	Unknown_Gene	Cluster_75675
Operon90	LIHDPOLN_00165	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon91	LIHDPOLN_00166	dauR_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon92	LIHDPOLN_00167	tdcB	Cluster_114084
Operon92	LIHDPOLN_00168	Unknown_Gene	Cluster_114084
Operon93	LIHDPOLN_00169	codA_1	Cluster_22787
Operon93	LIHDPOLN_00170	Unknown_Gene	Cluster_22787
Operon93	LIHDPOLN_00171	codB	Cluster_22787
Operon94	LIHDPOLN_00172	tenA	Cluster_15353
Operon94	LIHDPOLN_00173	Unknown_Gene	Cluster_15353
Operon95	LIHDPOLN_00174	ftsP	Cluster_15353
Operon96	LIHDPOLN_00175	Unknown_Gene	Cluster_150179
Operon97	LIHDPOLN_00176	Unknown_Gene	Cluster_130087
Operon98	LIHDPOLN_00177	xerC_1	Cluster_119006
Operon99	LIHDPOLN_00178	hcaB_2	Cluster_98723
Operon100	LIHDPOLN_00179	hcaR_1	Cluster_98723
Operon101	LIHDPOLN_00180	garK	Cluster_50830
Operon102	LIHDPOLN_00181	cdaR	Cluster_76260
Operon103	LIHDPOLN_00182	nicT_1	Cluster_76260
Operon104	LIHDPOLN_00183	hcaD	Cluster_64124
Operon105	LIHDPOLN_00184	yajO_1	Cluster_136622
Operon106	LIHDPOLN_00185	nemA_2	Cluster_93791
Operon107	LIHDPOLN_00186	capB_1	Cluster_73300
Operon108	LIHDPOLN_00187	dmlR_1	Cluster_92459
Operon109	LIHDPOLN_00188	Unknown_Gene	Cluster_159585
Operon109	LIHDPOLN_00189	Unknown_Gene	Cluster_159585
Operon109	LIHDPOLN_00190	nicP_2	Cluster_159585
Operon110	LIHDPOLN_00191	ydcO_1	Cluster_77862
Operon111	LIHDPOLN_00192	catA_1	Cluster_168710
Operon111	LIHDPOLN_00193	pcaK_1	Cluster_168710
Operon112	LIHDPOLN_00194	lvr_1	Cluster_142021
Operon113	LIHDPOLN_00195	benC	Cluster_135244
Operon114	LIHDPOLN_00196	cbdB	Cluster_128666
Operon114	LIHDPOLN_00197	cbdA	Cluster_128666
Operon115	LIHDPOLN_00198	Unknown_Gene	Cluster_128038
Operon116	LIHDPOLN_00199	rhaS_1	Cluster_20784
Operon117	LIHDPOLN_00200	rutD_1	Cluster_20784
Operon118	LIHDPOLN_00201	Unknown_Gene	Cluster_114833
Operon119	LIHDPOLN_00202	hisN	Cluster_73128
Operon120	LIHDPOLN_00203	uspE_1	Cluster_73128
Operon121	LIHDPOLN_00204	cntO_1	Cluster_66312
Operon122	LIHDPOLN_00205	pagL_1	Cluster_41142
Operon123	LIHDPOLN_00206	Unknown_Gene	Cluster_93109
Operon124	LIHDPOLN_00207	gltR_1	Cluster_111906
Operon125	LIHDPOLN_00208	sad	Cluster_111906
Operon126	LIHDPOLN_00209	Unknown_Gene	Cluster_74814
Operon127	LIHDPOLN_00210	rhaS_2	Cluster_66753
Operon128	LIHDPOLN_00211	puuA_1	Cluster_66753
Operon129	LIHDPOLN_00212	spuE_1	Cluster_141187
Operon129	LIHDPOLN_00213	puuB_1	Cluster_141187
Operon130	LIHDPOLN_00214	Unknown_Gene	Cluster_87002
Operon131	LIHDPOLN_00215	tdcG_1	Cluster_85167
Operon132	LIHDPOLN_00216	gcvA_1	Cluster_85167
Operon133	LIHDPOLN_00217	Unknown_Gene	Cluster_80056
Operon134	LIHDPOLN_00218	Unknown_Gene	Cluster_114024
Operon134	LIHDPOLN_00219	Unknown_Gene	Cluster_114024
Operon134	LIHDPOLN_00220	mshA_1	Cluster_114024
Operon134	LIHDPOLN_00221	Unknown_Gene	Cluster_114024
Operon134	LIHDPOLN_00222	Unknown_Gene	Cluster_114024
Operon134	LIHDPOLN_00223	cysE_1	Cluster_114024
Operon134	LIHDPOLN_00224	Unknown_Gene	Cluster_114024
Operon134	LIHDPOLN_00225	dapH_1	Cluster_114024
Operon135	LIHDPOLN_00226	betA_1	Cluster_47269
Operon136	LIHDPOLN_00227	Unknown_Gene	Cluster_120341
Operon137	LIHDPOLN_00228	Unknown_Gene	Cluster_120341
Operon137	LIHDPOLN_00229	Unknown_Gene	Cluster_120341
Operon138	LIHDPOLN_00230	galE	Cluster_113299
Operon139	LIHDPOLN_00231	Unknown_Gene	Cluster_39397
Operon139	LIHDPOLN_00232	Unknown_Gene	Cluster_39397
Operon139	LIHDPOLN_00233	Unknown_Gene	Cluster_39397
Operon139	LIHDPOLN_00234	Unknown_Gene	Cluster_39397
Operon140	LIHDPOLN_00235	Unknown_Gene	Cluster_43740
Operon141	LIHDPOLN_00236	sutR_1	Cluster_72396
Operon142	LIHDPOLN_00237	atoE	Cluster_69466
Operon143	LIHDPOLN_00238	scoB	Cluster_164813
Operon143	LIHDPOLN_00239	scoA	Cluster_164813
Operon144	LIHDPOLN_00240	gltC_1	Cluster_89308
Operon144	LIHDPOLN_00241	Unknown_Gene	Cluster_89308
Operon145	LIHDPOLN_00242	dnaE2	Cluster_158285
Operon145	LIHDPOLN_00243	imuB	Cluster_158285
Operon145	LIHDPOLN_00244	sulA_1	Cluster_158285
Operon145	LIHDPOLN_00245	lexA_1	Cluster_158285
Operon146	LIHDPOLN_00246	vldH	Cluster_158285
Operon147	LIHDPOLN_00247	gltC_2	Cluster_35397
Operon148	LIHDPOLN_00248	pcaK_2	Cluster_135134
Operon149	LIHDPOLN_00249	Unknown_Gene	Cluster_69595
Operon149	LIHDPOLN_00250	kstD_1	Cluster_69595
Operon149	LIHDPOLN_00251	bacC_1	Cluster_69595
Operon150	LIHDPOLN_00252	rhaS_3	Cluster_69595
Operon151	LIHDPOLN_00253	Unknown_Gene	Cluster_139707
Operon152	LIHDPOLN_00254	aam	Cluster_128678
Operon152	LIHDPOLN_00255	proP_1	Cluster_128678
Operon153	LIHDPOLN_00256	hipO_1	Cluster_58464
Operon154	LIHDPOLN_00257	uvrA_1	Cluster_58464
Operon155	LIHDPOLN_00258	Unknown_Gene	Cluster_133667
Operon155	LIHDPOLN_00259	emrA_1	Cluster_133667
Operon155	LIHDPOLN_00260	Unknown_Gene	Cluster_133667
Operon156	LIHDPOLN_00261	Unknown_Gene	Cluster_17757
Operon157	LIHDPOLN_00262	ycaD_1	Cluster_17757
Operon158	LIHDPOLN_00263	Unknown_Gene	Cluster_44634
Operon158	LIHDPOLN_00264	Unknown_Gene	Cluster_44634
Operon159	LIHDPOLN_00265	Unknown_Gene	Cluster_116842
Operon160	LIHDPOLN_00266	aroF_1	Cluster_25986
Operon161	LIHDPOLN_00267	ppiC_1	Cluster_131460
Operon162	LIHDPOLN_00268	Unknown_Gene	Cluster_88150
Operon162	LIHDPOLN_00269	yejB_1	Cluster_88150
Operon162	LIHDPOLN_00270	yejE_1	Cluster_88150
Operon162	LIHDPOLN_00271	bdhA	Cluster_88150
Operon163	LIHDPOLN_00272	eco	Cluster_150067
Operon164	LIHDPOLN_00273	ppiC_2	Cluster_116940
Operon165	LIHDPOLN_00274	Unknown_Gene	Cluster_93547
Operon166	LIHDPOLN_00275	Unknown_Gene	Cluster_110300
Operon167	LIHDPOLN_00276	Unknown_Gene	Cluster_55711
Operon168	LIHDPOLN_00277	rhtB_1	Cluster_55711
Operon169	LIHDPOLN_00278	Unknown_Gene	Cluster_42588
Operon170	LIHDPOLN_00279	Unknown_Gene	Cluster_38354
Operon171	LIHDPOLN_00280	Unknown_Gene	Cluster_77197
Operon172	LIHDPOLN_00281	rhaR_1	Cluster_77197
Operon173	LIHDPOLN_00282	rhtC_1	Cluster_107049
Operon174	LIHDPOLN_00283	pphB_1	Cluster_53709
Operon175	LIHDPOLN_00284	ramA_1	Cluster_53709
Operon175	LIHDPOLN_00285	Unknown_Gene	Cluster_53709
Operon176	LIHDPOLN_00286	ogt	Cluster_138909
Operon177	LIHDPOLN_00287	Unknown_Gene	Cluster_22221
Operon178	LIHDPOLN_00288	ilvA_1	Cluster_66398
Operon179	LIHDPOLN_00289	Unknown_Gene	Cluster_62427
Operon180	LIHDPOLN_00290	Unknown_Gene	Cluster_62427
Operon180	LIHDPOLN_00291	Unknown_Gene	Cluster_62427
Operon180	LIHDPOLN_00292	Unknown_Gene	Cluster_62427
Operon180	LIHDPOLN_00293	Unknown_Gene	Cluster_62427
Operon181	LIHDPOLN_00294	rstB	Cluster_37977
Operon181	LIHDPOLN_00295	rstA_1	Cluster_37977
Operon182	LIHDPOLN_00296	acrE	Cluster_37977
Operon182	LIHDPOLN_00297	ttgB	Cluster_37977
Operon183	LIHDPOLN_00298	hupB_1	Cluster_65597
Operon184	LIHDPOLN_00299	mobA	Cluster_65597
Operon185	LIHDPOLN_00300	fadD3_2	Cluster_95217
Operon186	LIHDPOLN_00301	Unknown_Gene	Cluster_167096
Operon186	LIHDPOLN_00302	Unknown_Gene	Cluster_167096
Operon186	LIHDPOLN_00303	Unknown_Gene	Cluster_167096
Operon186	LIHDPOLN_00304	Unknown_Gene	Cluster_167096
Operon187	LIHDPOLN_00305	styD_1	Cluster_11939
Operon188	LIHDPOLN_00306	Unknown_Gene	Cluster_91249
Operon189	LIHDPOLN_00307	Unknown_Gene	Cluster_40634
Operon189	LIHDPOLN_00308	Unknown_Gene	Cluster_40634
Operon189	LIHDPOLN_00309	Unknown_Gene	Cluster_40634
Operon189	LIHDPOLN_00310	acoR_1	Cluster_40634
Operon190	LIHDPOLN_00311	Unknown_Gene	Cluster_23046
Operon191	LIHDPOLN_00312	Unknown_Gene	Cluster_93792
Operon192	LIHDPOLN_00313	csgG	Cluster_165515
Operon192	LIHDPOLN_00314	Unknown_Gene	Cluster_165515
Operon192	LIHDPOLN_00315	csgE	Cluster_165515
Operon192	LIHDPOLN_00316	Unknown_Gene	Cluster_165515
Operon192	LIHDPOLN_00317	Unknown_Gene	Cluster_165515
Operon192	LIHDPOLN_00318	Unknown_Gene	Cluster_165515
Operon192	LIHDPOLN_00319	sctC_1	Cluster_165515
Operon192	LIHDPOLN_00320	Unknown_Gene	Cluster_165515
Operon192	LIHDPOLN_00321	Unknown_Gene	Cluster_165515
Operon192	LIHDPOLN_00322	Unknown_Gene	Cluster_165515
Operon192	LIHDPOLN_00323	Unknown_Gene	Cluster_165515
Operon192	LIHDPOLN_00324	Unknown_Gene	Cluster_165515
Operon193	LIHDPOLN_00325	walR	Cluster_42673
Operon194	LIHDPOLN_00326	surA_1	Cluster_51668
Operon194	LIHDPOLN_00327	Unknown_Gene	Cluster_51668
Operon195	LIHDPOLN_00328	Unknown_Gene	Cluster_35386
Operon195	LIHDPOLN_00329	Unknown_Gene	Cluster_35386
Operon195	LIHDPOLN_00330	Unknown_Gene	Cluster_35386
Operon195	LIHDPOLN_00331	Unknown_Gene	Cluster_35386
Operon196	LIHDPOLN_00332	Unknown_Gene	Cluster_48564
Operon196	LIHDPOLN_00333	Unknown_Gene	Cluster_48564
Operon197	LIHDPOLN_00334	fabD_1	Cluster_41949
Operon197	LIHDPOLN_00335	mdcG	Cluster_41949
Operon197	LIHDPOLN_00336	Unknown_Gene	Cluster_41949
Operon197	LIHDPOLN_00337	madC	Cluster_41949
Operon197	LIHDPOLN_00338	mdcC	Cluster_41949
Operon197	LIHDPOLN_00339	citG	Cluster_41949
Operon197	LIHDPOLN_00340	madA	Cluster_41949
Operon198	LIHDPOLN_00341	menB	Cluster_41949
Operon198	LIHDPOLN_00342	mmgC_1	Cluster_41949
Operon199	LIHDPOLN_00343	dmlR_2	Cluster_98681
Operon200	LIHDPOLN_00344	Unknown_Gene	Cluster_98681
Operon201	LIHDPOLN_00345	trmK	Cluster_91747
Operon202	LIHDPOLN_00346	Unknown_Gene	Cluster_91747
Operon203	LIHDPOLN_00347	rlhA_1	Cluster_57682
Operon204	LIHDPOLN_00348	atoC_1	Cluster_25391
Operon205	LIHDPOLN_00349	Unknown_Gene	Cluster_25391
Operon206	LIHDPOLN_00350	Unknown_Gene	Cluster_60846
Operon207	LIHDPOLN_00351	Unknown_Gene	Cluster_17239
Operon207	LIHDPOLN_00352	cobN	Cluster_17239
Operon207	LIHDPOLN_00353	Unknown_Gene	Cluster_17239
Operon208	LIHDPOLN_00354	Unknown_Gene	Cluster_17239
Operon208	LIHDPOLN_00355	Unknown_Gene	Cluster_17239
Operon209	LIHDPOLN_00356	yheS_1	Cluster_50307
Operon210	LIHDPOLN_00357	ilvE	Cluster_86328
Operon211	LIHDPOLN_00358	Unknown_Gene	Cluster_164943
Operon212	LIHDPOLN_00359	Unknown_Gene	Cluster_164943
Operon213	LIHDPOLN_00360	Unknown_Gene	Cluster_54057
Operon214	LIHDPOLN_00361	Unknown_Gene	Cluster_130088
Operon215	LIHDPOLN_00362	Unknown_Gene	Cluster_116925
Operon216	LIHDPOLN_00363	Unknown_Gene	Cluster_62450
Operon217	LIHDPOLN_00364	Unknown_Gene	Cluster_77915
Operon218	LIHDPOLN_00365	cdhR_1	Cluster_77915
Operon219	LIHDPOLN_00366	nicS_1	Cluster_72340
Operon220	LIHDPOLN_00367	Unknown_Gene	Cluster_72340
Operon221	LIHDPOLN_00368	Unknown_Gene	Cluster_60863
Operon222	LIHDPOLN_00369	ssuA_1	Cluster_60863
Operon222	LIHDPOLN_00370	dmoA_1	Cluster_60863
Operon223	LIHDPOLN_00371	allE	Cluster_112598
Operon224	LIHDPOLN_00372	Unknown_Gene	Cluster_120079
Operon225	LIHDPOLN_00373	cycA_1	Cluster_25263
Operon226	LIHDPOLN_00374	asnC_1	Cluster_63268
Operon227	LIHDPOLN_00375	ocd	Cluster_63268
Operon228	LIHDPOLN_00376	Unknown_Gene	Cluster_137379
Operon229	LIHDPOLN_00377	argP_1	Cluster_158189
Operon229	LIHDPOLN_00378	ggt_1	Cluster_158189
Operon230	LIHDPOLN_00379	Unknown_Gene	Cluster_100534
Operon231	LIHDPOLN_00380	pobA	Cluster_69810
Operon232	LIHDPOLN_00381	rhaR_2	Cluster_69810
Operon233	LIHDPOLN_00382	cueR	Cluster_59637
Operon233	LIHDPOLN_00383	liuE	Cluster_59637
Operon234	LIHDPOLN_00384	Unknown_Gene	Cluster_64125
Operon235	LIHDPOLN_00385	Unknown_Gene	Cluster_64125
Operon236	LIHDPOLN_00386	Unknown_Gene	Cluster_102049
Operon237	LIHDPOLN_00387	norG_1	Cluster_152729
Operon238	LIHDPOLN_00388	rcsC_2	Cluster_149406
Operon239	LIHDPOLN_00389	rcsC_3	Cluster_143618
Operon240	LIHDPOLN_00390	ygfF	Cluster_21764
Operon241	LIHDPOLN_00391	emrB_1	Cluster_49038
Operon241	LIHDPOLN_00392	emrA_2	Cluster_49038
Operon241	LIHDPOLN_00393	marR	Cluster_49038
Operon242	LIHDPOLN_00394	tdiR	Cluster_53774
Operon242	LIHDPOLN_00395	todS	Cluster_53774
Operon243	LIHDPOLN_00396	Unknown_Gene	Cluster_53774
Operon244	LIHDPOLN_00397	dmdC_1	Cluster_73835
Operon244	LIHDPOLN_00398	Unknown_Gene	Cluster_73835
Operon245	LIHDPOLN_00399	Unknown_Gene	Cluster_122479
Operon246	LIHDPOLN_00400	Unknown_Gene	Cluster_51998
Operon247	LIHDPOLN_00401	mcpU_1	Cluster_51998
Operon248	LIHDPOLN_00402	Unknown_Gene	Cluster_119007
Operon248	LIHDPOLN_00403	opuAB_1	Cluster_119007
Operon249	LIHDPOLN_00404	cmpR_2	Cluster_123886
Operon250	LIHDPOLN_00405	Unknown_Gene	Cluster_51321
Operon250	LIHDPOLN_00406	Unknown_Gene	Cluster_51321
Operon251	LIHDPOLN_00407	Unknown_Gene	Cluster_57302
Operon252	LIHDPOLN_00408	cdhR_2	Cluster_113394
Operon253	LIHDPOLN_00409	rhtB_2	Cluster_113394
Operon254	LIHDPOLN_00410	sotB_1	Cluster_113395
Operon255	LIHDPOLN_00411	dmlR_3	Cluster_35174
Operon256	LIHDPOLN_00412	quiA	Cluster_35174
Operon257	LIHDPOLN_00413	oprB_1	Cluster_110665
Operon258	LIHDPOLN_00414	argE_1	Cluster_25500
Operon258	LIHDPOLN_00415	Unknown_Gene	Cluster_25500
Operon259	LIHDPOLN_00416	czcO_1	Cluster_25500
Operon259	LIHDPOLN_00417	Unknown_Gene	Cluster_25500
Operon260	LIHDPOLN_00418	Unknown_Gene	Cluster_85129
Operon260	LIHDPOLN_00419	LRA5	Cluster_85129
Operon260	LIHDPOLN_00420	gudP_1	Cluster_85129
Operon260	LIHDPOLN_00421	Unknown_Gene	Cluster_85129
Operon261	LIHDPOLN_00422	Unknown_Gene	Cluster_85129
Operon262	LIHDPOLN_00423	fcuA_1	Cluster_140316
Operon263	LIHDPOLN_00424	fecR_1	Cluster_132167
Operon263	LIHDPOLN_00425	fecI_1	Cluster_132167
Operon264	LIHDPOLN_00426	pgm	Cluster_67083
Operon265	LIHDPOLN_00427	Unknown_Gene	Cluster_67083
Operon266	LIHDPOLN_00428	Unknown_Gene	Cluster_37506
Operon267	LIHDPOLN_00429	Unknown_Gene	Cluster_31718
Operon268	LIHDPOLN_00430	ttgI_1	Cluster_24975
