GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2523
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	CPKLKDOD_00001	nanT_1	Cluster_140235
Operon49	CPKLKDOD_00096	ygiD_1	Cluster_47845
Operon49	CPKLKDOD_00097	Unknown_Gene	Cluster_47845
Operon50	CPKLKDOD_00098	ydjP	Cluster_127984
Operon51	CPKLKDOD_00099	yodC	Cluster_133617
Operon51	CPKLKDOD_00100	Unknown_Gene	Cluster_133617
Operon52	CPKLKDOD_00101	Unknown_Gene	Cluster_31980
Operon53	CPKLKDOD_00102	Unknown_Gene	Cluster_90581
Operon54	CPKLKDOD_00103	dmlR_2	Cluster_90581
Operon55	CPKLKDOD_00104	fabG_4	Cluster_80023
Operon56	CPKLKDOD_00105	Unknown_Gene	Cluster_150869
Operon57	CPKLKDOD_00106	Unknown_Gene	Cluster_96591
Operon57	CPKLKDOD_00107	Unknown_Gene	Cluster_96591
Operon57	CPKLKDOD_00108	Unknown_Gene	Cluster_96591
Operon58	CPKLKDOD_00109	pgrR_1	Cluster_96591
Operon59	CPKLKDOD_00110	Unknown_Gene	Cluster_137414
Operon60	CPKLKDOD_00111	pcpR_1	Cluster_33081
Operon60	CPKLKDOD_00112	benM_2	Cluster_33081
Operon61	CPKLKDOD_00113	Unknown_Gene	Cluster_33081
Operon61	CPKLKDOD_00114	atsA_1	Cluster_33081
Operon61	CPKLKDOD_00115	Unknown_Gene	Cluster_33081
Operon62	CPKLKDOD_00116	genK_1	Cluster_71888
Operon63	CPKLKDOD_00117	nahG	Cluster_101398
Operon64	CPKLKDOD_00118	catA_1	Cluster_135075
Operon64	CPKLKDOD_00119	xylB	Cluster_135075
Operon64	CPKLKDOD_00120	vdh_1	Cluster_135075
Operon65	CPKLKDOD_00121	rhaS_1	Cluster_69560
Operon66	CPKLKDOD_00122	cetB	Cluster_95170
Operon66	CPKLKDOD_00123	Unknown_Gene	Cluster_95170
Operon67	CPKLKDOD_00124	frmR	Cluster_18429
Operon68	CPKLKDOD_00125	frmA_1	Cluster_18429
Operon69	CPKLKDOD_00126	gfa	Cluster_24535
Operon70	CPKLKDOD_00127	dmlR_3	Cluster_57662
Operon71	CPKLKDOD_00128	ttgF_1	Cluster_128708
Operon71	CPKLKDOD_00129	oqxB20	Cluster_128708
Operon72	CPKLKDOD_00130	bepF_1	Cluster_103616
Operon73	CPKLKDOD_00131	dmlR_4	Cluster_103616
Operon74	CPKLKDOD_00132	jefA	Cluster_118240
Operon75	CPKLKDOD_00133	hdfR_1	Cluster_118240
Operon76	CPKLKDOD_00134	Unknown_Gene	Cluster_13283
Operon76	CPKLKDOD_00135	Unknown_Gene	Cluster_13283
Operon77	CPKLKDOD_00136	tyrR_1	Cluster_13283
Operon78	CPKLKDOD_00137	glyA_1	Cluster_28898
Operon79	CPKLKDOD_00138	lipA_1	Cluster_121556
Operon80	CPKLKDOD_00139	yjhB	Cluster_147686
Operon81	CPKLKDOD_00140	carC	Cluster_145993
Operon82	CPKLKDOD_00141	tsaQ1	Cluster_46986
Operon83	CPKLKDOD_00142	paaF_1	Cluster_46986
Operon83	CPKLKDOD_00143	paaH_1	Cluster_46986
Operon83	CPKLKDOD_00144	paaJ_1	Cluster_46986
Operon83	CPKLKDOD_00145	uctC_2	Cluster_46986
Operon84	CPKLKDOD_00146	etfB_2	Cluster_145994
Operon84	CPKLKDOD_00147	etfA_2	Cluster_145994
Operon85	CPKLKDOD_00148	acoR_1	Cluster_29384
Operon86	CPKLKDOD_00149	budC_1	Cluster_29384
Operon87	CPKLKDOD_00150	Unknown_Gene	Cluster_82818
Operon88	CPKLKDOD_00151	davD_1	Cluster_116203
Operon89	CPKLKDOD_00152	oprB_1	Cluster_115484
Operon90	CPKLKDOD_00153	oprB_2	Cluster_90487
Operon91	CPKLKDOD_00154	budC_2	Cluster_124461
Operon92	CPKLKDOD_00155	gldA	Cluster_144442
Operon93	CPKLKDOD_00156	Unknown_Gene	Cluster_60411
Operon94	CPKLKDOD_00157	pcpR_2	Cluster_60411
Operon95	CPKLKDOD_00158	Unknown_Gene	Cluster_50344
Operon95	CPKLKDOD_00159	hipO_2	Cluster_50344
Operon95	CPKLKDOD_00160	Unknown_Gene	Cluster_50344
Operon96	CPKLKDOD_00161	Unknown_Gene	Cluster_50344
Operon97	CPKLKDOD_00162	emrB_1	Cluster_99390
Operon97	CPKLKDOD_00163	emrA_1	Cluster_99390
Operon97	CPKLKDOD_00164	ttgF_2	Cluster_99390
Operon98	CPKLKDOD_00165	Unknown_Gene	Cluster_85126
Operon99	CPKLKDOD_00166	dmlR_5	Cluster_85126
Operon100	CPKLKDOD_00167	iolS_1	Cluster_40073
Operon101	CPKLKDOD_00168	pgrR_2	Cluster_40073
Operon102	CPKLKDOD_00169	xerC_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon102	CPKLKDOD_00170	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon103	CPKLKDOD_00171	Unknown_Gene	Cluster_7135
Operon104	CPKLKDOD_00172	Unknown_Gene	Cluster_7135
Operon105	CPKLKDOD_00173	Unknown_Gene	Cluster_26695
Operon105	CPKLKDOD_00174	Unknown_Gene	Cluster_26695
Operon106	CPKLKDOD_00175	Unknown_Gene	Cluster_26695
Operon107	CPKLKDOD_00176	Unknown_Gene	Cluster_18569
Operon108	CPKLKDOD_00177	amtB_1	Cluster_57190
Operon109	CPKLKDOD_00178	fni_1	Cluster_135811
Operon109	CPKLKDOD_00179	Unknown_Gene	Cluster_135811
Operon109	CPKLKDOD_00180	purF_1	Cluster_135811
Operon110	CPKLKDOD_00181	Unknown_Gene	Cluster_36219
Operon111	CPKLKDOD_00182	puuR_1	Cluster_36219
Operon112	CPKLKDOD_00183	purU_1	Cluster_41948
Operon112	CPKLKDOD_00184	folD_1	Cluster_41948
Operon112	CPKLKDOD_00185	soxB_1	Cluster_41948
Operon112	CPKLKDOD_00186	soxD_1	Cluster_41948
Operon112	CPKLKDOD_00187	soxA_1	Cluster_41948
Operon112	CPKLKDOD_00188	Unknown_Gene	Cluster_41948
Operon113	CPKLKDOD_00189	pcaR_1	Cluster_109823
Operon114	CPKLKDOD_00190	rep_1	Cluster_116080
Operon114	CPKLKDOD_00191	Unknown_Gene	Cluster_116080
Operon115	CPKLKDOD_00192	Unknown_Gene	Cluster_5533
Operon115	CPKLKDOD_00193	Unknown_Gene	Cluster_5533
Operon115	CPKLKDOD_00194	Unknown_Gene	Cluster_5533
Operon116	CPKLKDOD_00195	Unknown_Gene	Cluster_71809
Operon117	CPKLKDOD_00196	nodD2_1	Cluster_38373
Operon118	CPKLKDOD_00197	Unknown_Gene	Cluster_38373
Operon118	CPKLKDOD_00198	Unknown_Gene	Cluster_38373
Operon119	CPKLKDOD_00199	pqsH	Cluster_112504
Operon120	CPKLKDOD_00200	Unknown_Gene	Cluster_127891
Operon120	CPKLKDOD_00201	Unknown_Gene	Cluster_127891
Operon121	CPKLKDOD_00202	hcf136_2	Cluster_149174
Operon121	CPKLKDOD_00203	Unknown_Gene	Cluster_149174
Operon122	CPKLKDOD_00204	Unknown_Gene	Cluster_117449
Operon122	CPKLKDOD_00205	Unknown_Gene	Cluster_117449
Operon122	CPKLKDOD_00206	Unknown_Gene	Cluster_117449
Operon122	CPKLKDOD_00207	denD_1	Cluster_117449
Operon122	CPKLKDOD_00208	kynB_1	Cluster_117449
Operon123	CPKLKDOD_00209	Unknown_Gene	Cluster_113923
Operon124	CPKLKDOD_00210	Unknown_Gene	Cluster_113923
Operon125	CPKLKDOD_00211	smc_1	Cluster_68976
Operon126	CPKLKDOD_00212	Unknown_Gene	Cluster_68976
Operon127	CPKLKDOD_00213	Unknown_Gene	Cluster_3709
Operon128	CPKLKDOD_00214	Unknown_Gene	Cluster_33755
Operon129	CPKLKDOD_00215	frlR_1	Cluster_10183
Operon130	CPKLKDOD_00216	gdh	Cluster_10183
Operon130	CPKLKDOD_00217	ald2	Cluster_10183
Operon130	CPKLKDOD_00218	ydjH	Cluster_10183
Operon131	CPKLKDOD_00219	csbX_1	Cluster_123006
Operon132	CPKLKDOD_00220	puuC_1	Cluster_131316
Operon133	CPKLKDOD_00221	hipO_3	Cluster_104753
Operon134	CPKLKDOD_00222	murI_1	Cluster_94333
Operon135	CPKLKDOD_00223	gltP_1	Cluster_14154
Operon136	CPKLKDOD_00224	yjiE_1	Cluster_14154
Operon137	CPKLKDOD_00225	tgnB_1	Cluster_16705
Operon137	CPKLKDOD_00226	hsaB_1	Cluster_16705
Operon137	CPKLKDOD_00227	Unknown_Gene	Cluster_16705
Operon137	CPKLKDOD_00228	betB_1	Cluster_16705
Operon138	CPKLKDOD_00229	Unknown_Gene	Cluster_143616
Operon139	CPKLKDOD_00230	ribBA_1	Cluster_163228
Operon139	CPKLKDOD_00231	yjiA_1	Cluster_163228
Operon140	CPKLKDOD_00232	nfdA_1	Cluster_46714
Operon141	CPKLKDOD_00233	Unknown_Gene	Cluster_8399
Operon142	CPKLKDOD_00234	Unknown_Gene	Cluster_143397
Operon143	CPKLKDOD_00235	pgi_1	Cluster_134186
Operon144	CPKLKDOD_00236	zwf_1	Cluster_86854
Operon145	CPKLKDOD_00237	csbX_2	Cluster_93574
Operon146	CPKLKDOD_00238	Unknown_Gene	Cluster_93574
Operon146	CPKLKDOD_00239	Unknown_Gene	Cluster_93574
Operon147	CPKLKDOD_00240	pheP	Cluster_123687
Operon148	CPKLKDOD_00241	kynU	Cluster_97831
Operon148	CPKLKDOD_00242	kynB_2	Cluster_97831
Operon149	CPKLKDOD_00243	decR_1	Cluster_97831
Operon150	CPKLKDOD_00244	bpoC	Cluster_86855
Operon151	CPKLKDOD_00245	cdhR_1	Cluster_112119
Operon152	CPKLKDOD_00246	Unknown_Gene	Cluster_112119
Operon152	CPKLKDOD_00247	Unknown_Gene	Cluster_112119
Operon153	CPKLKDOD_00248	Unknown_Gene	Cluster_84417
Operon154	CPKLKDOD_00249	Unknown_Gene	Cluster_95729
Operon155	CPKLKDOD_00250	Unknown_Gene	Cluster_95729
Operon156	CPKLKDOD_00251	Unknown_Gene	Cluster_149974
Operon157	CPKLKDOD_00252	cpdA_1	Cluster_127204
Operon158	CPKLKDOD_00253	Unknown_Gene	Cluster_49251
Operon158	CPKLKDOD_00254	Unknown_Gene	Cluster_49251
Operon159	CPKLKDOD_00255	Unknown_Gene	Cluster_49251
Operon160	CPKLKDOD_00256	Unknown_Gene	Cluster_4520
Operon160	CPKLKDOD_00257	Unknown_Gene	Cluster_4520
Operon160	CPKLKDOD_00258	Unknown_Gene	Cluster_4520
Operon160	CPKLKDOD_00259	Unknown_Gene	Cluster_4520
Operon161	CPKLKDOD_00260	hldD	Cluster_4520
Operon162	CPKLKDOD_00261	Unknown_Gene	Cluster_81115
Operon163	CPKLKDOD_00262	pfyP_1	Cluster_81115
Operon164	CPKLKDOD_00263	Unknown_Gene	Cluster_14549
Operon164	CPKLKDOD_00264	Unknown_Gene	Cluster_14549
Operon164	CPKLKDOD_00265	Unknown_Gene	Cluster_14549
Operon164	CPKLKDOD_00266	Unknown_Gene	Cluster_14549
Operon165	CPKLKDOD_00267	phrB_1	Cluster_78440
Operon165	CPKLKDOD_00268	Unknown_Gene	Cluster_78440
Operon165	CPKLKDOD_00269	Unknown_Gene	Cluster_78440
Operon165	CPKLKDOD_00270	Unknown_Gene	Cluster_78440
Operon166	CPKLKDOD_00271	chrA	Cluster_78440
Operon167	CPKLKDOD_00272	Unknown_Gene	Cluster_17906
Operon168	CPKLKDOD_00273	patZ_1	Cluster_59646
Operon169	CPKLKDOD_00274	Unknown_Gene	Cluster_67726
Operon169	CPKLKDOD_00275	Unknown_Gene	Cluster_67726
Operon169	CPKLKDOD_00276	Unknown_Gene	Cluster_67726
Operon170	CPKLKDOD_00277	patZ_2	Cluster_67726
Operon171	CPKLKDOD_00278	uspE_1	Cluster_19832
Operon172	CPKLKDOD_00279	fnr	Cluster_19832
Operon173	CPKLKDOD_00280	paaX	Cluster_24084
Operon173	CPKLKDOD_00281	yrdA_1	Cluster_24084
Operon174	CPKLKDOD_00282	paaF_2	Cluster_24084
Operon174	CPKLKDOD_00283	paaG	Cluster_24084
Operon174	CPKLKDOD_00284	paaH_2	Cluster_24084
Operon174	CPKLKDOD_00285	paaI_1	Cluster_24084
Operon174	CPKLKDOD_00286	paaJ_2	Cluster_24084
Operon175	CPKLKDOD_00287	paaK	Cluster_93084
Operon176	CPKLKDOD_00288	paaA	Cluster_53724
Operon176	CPKLKDOD_00289	paaB	Cluster_53724
Operon176	CPKLKDOD_00290	paaC	Cluster_53724
Operon176	CPKLKDOD_00291	paaD	Cluster_53724
Operon176	CPKLKDOD_00292	paaE	Cluster_53724
Operon177	CPKLKDOD_00293	yjcH_1	Cluster_72849
Operon177	CPKLKDOD_00294	actP_1	Cluster_72849
Operon177	CPKLKDOD_00295	nicP_1	Cluster_72849
Operon177	CPKLKDOD_00296	paaZ_1	Cluster_72849
Operon178	CPKLKDOD_00297	Unknown_Gene	Cluster_77876
Operon179	CPKLKDOD_00298	rpfC	Cluster_133015
Operon180	CPKLKDOD_00299	narL	Cluster_133015
Operon181	CPKLKDOD_00300	Unknown_Gene	Cluster_67861
Operon182	CPKLKDOD_00301	Unknown_Gene	Cluster_40875
Operon183	CPKLKDOD_00302	rppH_1	Cluster_40875
Operon184	CPKLKDOD_00303	clpP_1	Cluster_45008
Operon185	CPKLKDOD_00304	Unknown_Gene	Cluster_45008
Operon186	CPKLKDOD_00305	mtnN	Cluster_149302
Operon187	CPKLKDOD_00306	Unknown_Gene	Cluster_146093
Operon187	CPKLKDOD_00307	prmC_1	Cluster_146093
Operon187	CPKLKDOD_00308	Unknown_Gene	Cluster_146093
Operon187	CPKLKDOD_00309	Unknown_Gene	Cluster_146093
Operon188	CPKLKDOD_00310	Unknown_Gene	Cluster_76540
Operon189	CPKLKDOD_00311	Unknown_Gene	Cluster_124570
Operon189	CPKLKDOD_00312	Unknown_Gene	Cluster_124570
Operon190	CPKLKDOD_00313	Unknown_Gene	Cluster_65922
Operon191	CPKLKDOD_00314	panS_1	Cluster_65922
Operon192	CPKLKDOD_00315	Unknown_Gene	Cluster_15722
Operon193	CPKLKDOD_00316	mgtC	Cluster_15722
Operon193	CPKLKDOD_00317	Unknown_Gene	Cluster_15722
Operon194	CPKLKDOD_00318	Unknown_Gene	Cluster_81172
Operon194	CPKLKDOD_00319	Unknown_Gene	Cluster_81172
Operon195	CPKLKDOD_00320	Unknown_Gene	Cluster_150178
Operon196	CPKLKDOD_00321	Unknown_Gene	Cluster_46420
Operon197	CPKLKDOD_00322	dauR_1	Cluster_46420
Operon198	CPKLKDOD_00323	tdcB	Cluster_112684
Operon198	CPKLKDOD_00324	Unknown_Gene	Cluster_112684
Operon199	CPKLKDOD_00325	codA_1	Cluster_41168
Operon199	CPKLKDOD_00326	Unknown_Gene	Cluster_41168
Operon199	CPKLKDOD_00327	codB	Cluster_41168
Operon200	CPKLKDOD_00328	tenA	Cluster_15353
Operon200	CPKLKDOD_00329	Unknown_Gene	Cluster_15353
Operon201	CPKLKDOD_00330	ftsP	Cluster_15353
Operon202	CPKLKDOD_00331	Unknown_Gene	Cluster_116961
Operon203	CPKLKDOD_00332	Unknown_Gene	Cluster_130068
Operon204	CPKLKDOD_00333	xerC_2	Cluster_117636
Operon205	CPKLKDOD_00334	hcaB_2	Cluster_97500
Operon206	CPKLKDOD_00335	hcaR_1	Cluster_97500
Operon207	CPKLKDOD_00336	garK	Cluster_50957
Operon208	CPKLKDOD_00337	cdaR	Cluster_76260
Operon209	CPKLKDOD_00338	nicT_1	Cluster_76260
Operon210	CPKLKDOD_00339	hcaD	Cluster_61255
Operon211	CPKLKDOD_00340	yajO_1	Cluster_136647
Operon212	CPKLKDOD_00341	nemA_2	Cluster_54426
Operon213	CPKLKDOD_00342	capB_1	Cluster_57942
Operon214	CPKLKDOD_00343	dmlR_6	Cluster_133014
Operon215	CPKLKDOD_00344	Unknown_Gene	Cluster_159585
Operon215	CPKLKDOD_00345	Unknown_Gene	Cluster_159585
Operon216	CPKLKDOD_00346	nicP_2	Cluster_150142
Operon217	CPKLKDOD_00347	ydcO_1	Cluster_67672
Operon218	CPKLKDOD_00348	genK_2	Cluster_149425
Operon219	CPKLKDOD_00349	Unknown_Gene	Cluster_140530
Operon220	CPKLKDOD_00350	benC	Cluster_135244
Operon221	CPKLKDOD_00351	cbdB	Cluster_128666
Operon221	CPKLKDOD_00352	cbdA	Cluster_128666
Operon222	CPKLKDOD_00353	Unknown_Gene	Cluster_128038
Operon223	CPKLKDOD_00354	rhaS_2	Cluster_13328
Operon224	CPKLKDOD_00355	Unknown_Gene	Cluster_13328
Operon225	CPKLKDOD_00356	Unknown_Gene	Cluster_135971
Operon226	CPKLKDOD_00357	hisN	Cluster_73106
Operon227	CPKLKDOD_00358	uspE_2	Cluster_73106
Operon228	CPKLKDOD_00359	pagL_1	Cluster_61192
Operon229	CPKLKDOD_00360	Unknown_Gene	Cluster_149510
Operon230	CPKLKDOD_00361	Unknown_Gene	Cluster_93807
Operon231	CPKLKDOD_00362	gltR_1	Cluster_111906
Operon232	CPKLKDOD_00363	sad	Cluster_111906
Operon233	CPKLKDOD_00364	Unknown_Gene	Cluster_72418
Operon234	CPKLKDOD_00365	rhaS_3	Cluster_66762
Operon235	CPKLKDOD_00366	puuA_1	Cluster_66762
Operon236	CPKLKDOD_00367	spuE_1	Cluster_138954
Operon236	CPKLKDOD_00368	puuB_1	Cluster_138954
Operon237	CPKLKDOD_00369	Unknown_Gene	Cluster_87024
Operon238	CPKLKDOD_00370	sdaA_1	Cluster_85167
Operon239	CPKLKDOD_00371	gcvA_1	Cluster_85167
Operon240	CPKLKDOD_00372	Unknown_Gene	Cluster_80056
Operon241	CPKLKDOD_00373	tagA	Cluster_114024
Operon241	CPKLKDOD_00374	Unknown_Gene	Cluster_114024
Operon241	CPKLKDOD_00375	mshA_1	Cluster_114024
Operon241	CPKLKDOD_00376	Unknown_Gene	Cluster_114024
Operon241	CPKLKDOD_00377	Unknown_Gene	Cluster_114024
Operon241	CPKLKDOD_00378	cysE_1	Cluster_114024
Operon241	CPKLKDOD_00379	Unknown_Gene	Cluster_114024
Operon241	CPKLKDOD_00380	dapH_1	Cluster_114024
Operon242	CPKLKDOD_00381	betA_1	Cluster_47269
Operon243	CPKLKDOD_00382	Unknown_Gene	Cluster_120341
Operon244	CPKLKDOD_00383	Unknown_Gene	Cluster_120341
Operon244	CPKLKDOD_00384	Unknown_Gene	Cluster_120341
Operon245	CPKLKDOD_00385	galE	Cluster_113299
Operon246	CPKLKDOD_00386	Unknown_Gene	Cluster_38927
Operon246	CPKLKDOD_00387	Unknown_Gene	Cluster_38927
Operon246	CPKLKDOD_00388	Unknown_Gene	Cluster_38927
Operon246	CPKLKDOD_00389	Unknown_Gene	Cluster_38927
Operon247	CPKLKDOD_00390	Unknown_Gene	Cluster_42746
Operon248	CPKLKDOD_00391	sutR_1	Cluster_65059
Operon249	CPKLKDOD_00392	atoE	Cluster_69466
Operon250	CPKLKDOD_00393	scoB	Cluster_164813
Operon250	CPKLKDOD_00394	scoA	Cluster_164813
Operon251	CPKLKDOD_00395	gltC_1	Cluster_89308
Operon251	CPKLKDOD_00396	Unknown_Gene	Cluster_89308
Operon252	CPKLKDOD_00397	dnaE2	Cluster_122481
Operon252	CPKLKDOD_00398	imuB	Cluster_122481
Operon252	CPKLKDOD_00399	sulA_1	Cluster_122481
Operon252	CPKLKDOD_00400	lexA_1	Cluster_122481
Operon253	CPKLKDOD_00401	vldH	Cluster_122481
Operon254	CPKLKDOD_00402	gltC_2	Cluster_123169
Operon255	CPKLKDOD_00403	pcaK_1	Cluster_80069
Operon256	CPKLKDOD_00404	Unknown_Gene	Cluster_69595
Operon256	CPKLKDOD_00405	kstD_1	Cluster_69595
Operon256	CPKLKDOD_00406	bacC	Cluster_69595
Operon257	CPKLKDOD_00407	rhaS_4	Cluster_69595
Operon258	CPKLKDOD_00408	yfdC	NO_CLUSTER_ASSOCIATION_FOUND
Operon259	CPKLKDOD_00409	Unknown_Gene	Cluster_75006
Operon260	CPKLKDOD_00410	dgcC	Cluster_75006
Operon261	CPKLKDOD_00411	Unknown_Gene	Cluster_154073
Operon262	CPKLKDOD_00412	Unknown_Gene	Cluster_71841
Operon263	CPKLKDOD_00413	pgrR_3	Cluster_109328
Operon264	CPKLKDOD_00414	fabG_5	Cluster_109328
Operon265	CPKLKDOD_00415	aaeA_1	Cluster_49409
Operon265	CPKLKDOD_00416	aaeX	Cluster_49409
Operon265	CPKLKDOD_00417	aaeB_1	Cluster_49409
Operon266	CPKLKDOD_00418	Unknown_Gene	Cluster_91740
Operon267	CPKLKDOD_00419	Unknown_Gene	Cluster_139616
Operon268	CPKLKDOD_00420	Unknown_Gene	Cluster_143499
Operon269	CPKLKDOD_00421	Unknown_Gene	Cluster_76839
Operon270	CPKLKDOD_00422	rapA	Cluster_76839
Operon271	CPKLKDOD_00423	Unknown_Gene	Cluster_33248
Operon272	CPKLKDOD_00424	garR	Cluster_72119
Operon273	CPKLKDOD_00425	Unknown_Gene	Cluster_22775
Operon274	CPKLKDOD_00426	braC_1	Cluster_22775
Operon275	CPKLKDOD_00427	livH_1	Cluster_64945
Operon275	CPKLKDOD_00428	Unknown_Gene	Cluster_64945
Operon275	CPKLKDOD_00429	lptB_1	Cluster_64945
Operon275	CPKLKDOD_00430	livF_1	Cluster_64945
