GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	1963
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	BCBAIBPD_00001	maeB	Cluster_69611
Operon108	BCBAIBPD_00151	Unknown_Gene	Cluster_80625
Operon109	BCBAIBPD_00152	gcvA_2	Cluster_81178
Operon110	BCBAIBPD_00153	mdtK	Cluster_81178
Operon111	BCBAIBPD_00154	Unknown_Gene	Cluster_33812
Operon112	BCBAIBPD_00155	rep_1	Cluster_33812
Operon113	BCBAIBPD_00156	xpt	Cluster_144526
Operon114	BCBAIBPD_00157	Unknown_Gene	Cluster_38368
Operon115	BCBAIBPD_00158	Unknown_Gene	Cluster_110528
Operon116	BCBAIBPD_00159	puuR_1	Cluster_121142
Operon117	BCBAIBPD_00160	dadX	Cluster_130834
Operon118	BCBAIBPD_00161	dadA1_1	Cluster_81566
Operon119	BCBAIBPD_00162	lrp_1	Cluster_81566
Operon120	BCBAIBPD_00163	Unknown_Gene	Cluster_115571
Operon121	BCBAIBPD_00164	puuB_2	Cluster_115571
Operon122	BCBAIBPD_00165	Unknown_Gene	Cluster_70448
Operon123	BCBAIBPD_00166	norG_1	Cluster_70448
Operon124	BCBAIBPD_00167	clsC	Cluster_147792
Operon125	BCBAIBPD_00168	ycaD_1	Cluster_69453
Operon126	BCBAIBPD_00169	puuC	Cluster_61963
Operon127	BCBAIBPD_00170	Unknown_Gene	Cluster_61963
Operon128	BCBAIBPD_00171	rpmG	Cluster_22931
Operon128	BCBAIBPD_00172	rpmB	Cluster_22931
Operon129	BCBAIBPD_00173	dppA_1	Cluster_22931
Operon130	BCBAIBPD_00174	Unknown_Gene	Cluster_98341
Operon131	BCBAIBPD_00175	coaBC	Cluster_98341
Operon131	BCBAIBPD_00176	dut	Cluster_98341
Operon132	BCBAIBPD_00177	algC_1	Cluster_109848
Operon132	BCBAIBPD_00178	argB	Cluster_109848
Operon133	BCBAIBPD_00179	pyrE	Cluster_129573
Operon134	BCBAIBPD_00180	exoA	Cluster_129573
Operon135	BCBAIBPD_00181	Unknown_Gene	Cluster_50644
Operon135	BCBAIBPD_00182	rph	Cluster_50644
Operon136	BCBAIBPD_00183	Unknown_Gene	Cluster_50644
Operon136	BCBAIBPD_00184	gmk	Cluster_50644
Operon137	BCBAIBPD_00185	Unknown_Gene	Cluster_110312
Operon138	BCBAIBPD_00186	puuA_3	Cluster_57585
Operon139	BCBAIBPD_00187	hdfR_1	Cluster_57585
Operon140	BCBAIBPD_00188	rpoZ	Cluster_47013
Operon141	BCBAIBPD_00189	spoT	Cluster_146964
Operon141	BCBAIBPD_00190	yabJ	Cluster_146964
Operon142	BCBAIBPD_00191	Unknown_Gene	Cluster_148323
Operon143	BCBAIBPD_00192	Unknown_Gene	Cluster_75304
Operon144	BCBAIBPD_00193	tolQ_1	Cluster_75304
Operon144	BCBAIBPD_00194	exbD_1	Cluster_75304
Operon144	BCBAIBPD_00195	Unknown_Gene	Cluster_75304
Operon145	BCBAIBPD_00196	oxyR	Cluster_120981
Operon145	BCBAIBPD_00197	recG	Cluster_120981
Operon146	BCBAIBPD_00198	Unknown_Gene	Cluster_134406
Operon147	BCBAIBPD_00199	Unknown_Gene	Cluster_86243
Operon148	BCBAIBPD_00200	hupB_1	Cluster_64140
Operon149	BCBAIBPD_00201	alkT	Cluster_74350
Operon149	BCBAIBPD_00202	rubA1	Cluster_74350
Operon150	BCBAIBPD_00203	ubiC	Cluster_74350
Operon150	BCBAIBPD_00204	ubiA	Cluster_74350
Operon151	BCBAIBPD_00205	phoB	Cluster_48946
Operon152	BCBAIBPD_00206	phoR	Cluster_107069
Operon153	BCBAIBPD_00207	Unknown_Gene	Cluster_90041
Operon154	BCBAIBPD_00208	Unknown_Gene	Cluster_109847
Operon155	BCBAIBPD_00209	cheB_1	Cluster_76350
Operon156	BCBAIBPD_00210	phoU	Cluster_112013
Operon157	BCBAIBPD_00211	pstB	Cluster_114109
Operon158	BCBAIBPD_00212	Unknown_Gene	Cluster_91258
Operon158	BCBAIBPD_00213	Unknown_Gene	Cluster_91258
Operon159	BCBAIBPD_00214	pstS_1	Cluster_78442
Operon160	BCBAIBPD_00215	proP_1	Cluster_24017
Operon161	BCBAIBPD_00216	Unknown_Gene	Cluster_24017
Operon162	BCBAIBPD_00217	yeaD_1	Cluster_138179
Operon163	BCBAIBPD_00218	Unknown_Gene	Cluster_154929
Operon163	BCBAIBPD_00219	Unknown_Gene	Cluster_154929
Operon164	BCBAIBPD_00220	purK	Cluster_46027
Operon164	BCBAIBPD_00221	purE	Cluster_46027
Operon165	BCBAIBPD_00222	yjiE	Cluster_83973
Operon166	BCBAIBPD_00223	aspA	Cluster_83973
Operon167	BCBAIBPD_00224	Unknown_Gene	Cluster_69609
Operon168	BCBAIBPD_00225	aphA	Cluster_84998
Operon168	BCBAIBPD_00226	spuD_2	Cluster_84998
Operon169	BCBAIBPD_00227	gabR_1	Cluster_123133
Operon170	BCBAIBPD_00228	paiB	Cluster_123133
Operon170	BCBAIBPD_00229	Unknown_Gene	Cluster_123133
Operon170	BCBAIBPD_00230	Unknown_Gene	Cluster_123133
Operon171	BCBAIBPD_00231	Unknown_Gene	Cluster_146715
Operon172	BCBAIBPD_00232	oadA	Cluster_118830
Operon173	BCBAIBPD_00233	cfiB	Cluster_63672
Operon174	BCBAIBPD_00234	cmpR_1	Cluster_63672
Operon175	BCBAIBPD_00235	Unknown_Gene	Cluster_101917
Operon176	BCBAIBPD_00236	hexR_1	Cluster_114092
Operon177	BCBAIBPD_00237	zwf_1	Cluster_114092
Operon178	BCBAIBPD_00238	Unknown_Gene	Cluster_128066
Operon179	BCBAIBPD_00239	uvrD	Cluster_91642
Operon180	BCBAIBPD_00240	Unknown_Gene	Cluster_74674
Operon181	BCBAIBPD_00241	Unknown_Gene	Cluster_36812
Operon182	BCBAIBPD_00242	kefB	Cluster_27228
Operon183	BCBAIBPD_00243	Unknown_Gene	Cluster_27228
Operon184	BCBAIBPD_00244	pdxY	Cluster_103558
Operon185	BCBAIBPD_00245	Unknown_Gene	Cluster_103558
Operon186	BCBAIBPD_00246	yeiR	Cluster_161631
Operon186	BCBAIBPD_00247	Unknown_Gene	Cluster_161631
Operon186	BCBAIBPD_00248	yciC	Cluster_161631
Operon187	BCBAIBPD_00249	folE2	Cluster_51894
Operon188	BCBAIBPD_00250	Unknown_Gene	Cluster_95974
Operon189	BCBAIBPD_00251	clsA_1	Cluster_95974
Operon190	BCBAIBPD_00252	COQ3_1	Cluster_109162
Operon191	BCBAIBPD_00253	cntO_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon192	BCBAIBPD_00254	arsR1	NO_CLUSTER_ASSOCIATION_FOUND
Operon192	BCBAIBPD_00255	arsB_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon192	BCBAIBPD_00256	arsC	NO_CLUSTER_ASSOCIATION_FOUND
Operon192	BCBAIBPD_00257	arsH	NO_CLUSTER_ASSOCIATION_FOUND
Operon192	BCBAIBPD_00258	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon192	BCBAIBPD_00259	czcO	NO_CLUSTER_ASSOCIATION_FOUND
Operon192	BCBAIBPD_00260	pat	NO_CLUSTER_ASSOCIATION_FOUND
Operon193	BCBAIBPD_00261	Unknown_Gene	Cluster_10908
Operon194	BCBAIBPD_00262	yhjQ	Cluster_77811
Operon195	BCBAIBPD_00263	Unknown_Gene	Cluster_126615
Operon195	BCBAIBPD_00264	cusA	Cluster_126615
Operon195	BCBAIBPD_00265	cusB	Cluster_126615
Operon195	BCBAIBPD_00266	Unknown_Gene	Cluster_126615
Operon196	BCBAIBPD_00267	Unknown_Gene	Cluster_164116
Operon196	BCBAIBPD_00268	sasA_1	Cluster_164116
Operon196	BCBAIBPD_00269	copR_1	Cluster_164116
Operon197	BCBAIBPD_00270	Unknown_Gene	Cluster_75250
Operon198	BCBAIBPD_00271	copA_1	Cluster_67624
Operon198	BCBAIBPD_00272	Unknown_Gene	Cluster_67624
Operon198	BCBAIBPD_00273	copB	Cluster_67624
Operon198	BCBAIBPD_00274	Unknown_Gene	Cluster_67624
Operon198	BCBAIBPD_00275	Unknown_Gene	Cluster_67624
Operon199	BCBAIBPD_00276	Unknown_Gene	Cluster_91183
Operon200	BCBAIBPD_00277	Unknown_Gene	Cluster_86420
Operon201	BCBAIBPD_00278	Unknown_Gene	Cluster_91254
Operon202	BCBAIBPD_00279	Unknown_Gene	Cluster_91254
Operon203	BCBAIBPD_00280	Unknown_Gene	Cluster_38278
Operon203	BCBAIBPD_00281	tnsC	Cluster_38278
Operon203	BCBAIBPD_00282	tnsB	Cluster_38278
Operon203	BCBAIBPD_00283	Unknown_Gene	Cluster_38278
Operon204	BCBAIBPD_00284	glmS	Cluster_63993
Operon204	BCBAIBPD_00285	srlR	Cluster_63993
Operon205	BCBAIBPD_00286	glmU	Cluster_103342
Operon206	BCBAIBPD_00287	atpC	Cluster_158281
Operon206	BCBAIBPD_00288	atpD	Cluster_158281
Operon206	BCBAIBPD_00289	atpG	Cluster_158281
Operon206	BCBAIBPD_00290	atpA	Cluster_158281
Operon206	BCBAIBPD_00291	atpH_1	Cluster_158281
Operon206	BCBAIBPD_00292	atpF	Cluster_158281
Operon207	BCBAIBPD_00293	atpH_2	Cluster_85917
Operon208	BCBAIBPD_00294	atpB	Cluster_83980
Operon208	BCBAIBPD_00295	Unknown_Gene	Cluster_83980
Operon209	BCBAIBPD_00296	parB	Cluster_12763
Operon209	BCBAIBPD_00297	parA	Cluster_12763
Operon209	BCBAIBPD_00298	rsmG	Cluster_12763
Operon209	BCBAIBPD_00299	mnmG	Cluster_12763
Operon210	BCBAIBPD_00300	mnmE	Cluster_125874
Operon211	BCBAIBPD_00301	yidC	Cluster_45519
Operon212	BCBAIBPD_00302	rnpA	Cluster_15782
Operon212	BCBAIBPD_00303	rpmH	Cluster_15782
Operon213	BCBAIBPD_00304	dnaA_1	Cluster_15782
Operon213	BCBAIBPD_00305	dnaN	Cluster_15782
Operon213	BCBAIBPD_00306	recF	Cluster_15782
Operon213	BCBAIBPD_00307	gyrB	Cluster_15782
Operon214	BCBAIBPD_00308	Unknown_Gene	Cluster_70880
Operon215	BCBAIBPD_00309	norR_1	Cluster_48664
Operon216	BCBAIBPD_00310	Unknown_Gene	Cluster_48664
Operon216	BCBAIBPD_00311	Unknown_Gene	Cluster_48664
Operon216	BCBAIBPD_00312	Unknown_Gene	Cluster_48664
Operon217	BCBAIBPD_00313	hdfR_2	Cluster_73316
Operon218	BCBAIBPD_00314	alkJ	Cluster_73316
Operon219	BCBAIBPD_00315	nanT_1	Cluster_121817
Operon220	BCBAIBPD_00316	Unknown_Gene	Cluster_145048
Operon221	BCBAIBPD_00317	gmhB	Cluster_126047
Operon221	BCBAIBPD_00318	glyS	Cluster_126047
Operon221	BCBAIBPD_00319	glyQ	Cluster_126047
Operon222	BCBAIBPD_00320	tag	Cluster_126047
Operon222	BCBAIBPD_00321	lpxP	Cluster_126047
Operon223	BCBAIBPD_00322	Unknown_Gene	Cluster_144713
Operon223	BCBAIBPD_00323	trkA	Cluster_144713
Operon223	BCBAIBPD_00324	rsmB	Cluster_144713
Operon223	BCBAIBPD_00325	fmt	Cluster_144713
Operon224	BCBAIBPD_00326	def	Cluster_56926
Operon225	BCBAIBPD_00327	Unknown_Gene	Cluster_56926
Operon225	BCBAIBPD_00328	tsaC	Cluster_56926
Operon226	BCBAIBPD_00329	Unknown_Gene	Cluster_21337
Operon227	BCBAIBPD_00330	qorA_2	Cluster_122489
Operon228	BCBAIBPD_00331	hemF	Cluster_122489
Operon228	BCBAIBPD_00332	aroE	Cluster_122489
Operon229	BCBAIBPD_00333	Unknown_Gene	Cluster_123678
Operon230	BCBAIBPD_00334	Unknown_Gene	Cluster_168748
Operon230	BCBAIBPD_00335	betC	Cluster_168748
Operon231	BCBAIBPD_00336	gcvA_3	Cluster_168748
Operon232	BCBAIBPD_00337	Unknown_Gene	Cluster_150206
Operon233	BCBAIBPD_00338	trpA	Cluster_146714
Operon233	BCBAIBPD_00339	trpB	Cluster_146714
Operon234	BCBAIBPD_00340	trpI	Cluster_146714
Operon235	BCBAIBPD_00341	yqjD_1	Cluster_83460
Operon236	BCBAIBPD_00342	Unknown_Gene	Cluster_83460
Operon237	BCBAIBPD_00343	Unknown_Gene	Cluster_116279
Operon238	BCBAIBPD_00344	limB	Cluster_82867
Operon239	BCBAIBPD_00345	osmC	Cluster_82867
Operon240	BCBAIBPD_00346	Unknown_Gene	Cluster_137491
Operon241	BCBAIBPD_00347	Unknown_Gene	Cluster_148361
Operon242	BCBAIBPD_00348	Unknown_Gene	Cluster_141222
Operon243	BCBAIBPD_00349	Unknown_Gene	Cluster_141222
Operon244	BCBAIBPD_00350	Unknown_Gene	Cluster_105486
Operon245	BCBAIBPD_00351	yrdA_1	Cluster_141166
Operon246	BCBAIBPD_00352	prlC_1	Cluster_141166
Operon246	BCBAIBPD_00353	Unknown_Gene	Cluster_141166
Operon247	BCBAIBPD_00354	prlC_2	Cluster_103341
Operon248	BCBAIBPD_00355	Unknown_Gene	Cluster_145277
Operon249	BCBAIBPD_00356	Unknown_Gene	Cluster_5340
Operon250	BCBAIBPD_00357	Unknown_Gene	Cluster_58726
Operon251	BCBAIBPD_00358	cynT	Cluster_19510
Operon252	BCBAIBPD_00359	dauA	Cluster_63671
Operon253	BCBAIBPD_00360	Unknown_Gene	Cluster_23624
Operon254	BCBAIBPD_00361	Unknown_Gene	Cluster_23624
Operon255	BCBAIBPD_00362	Unknown_Gene	Cluster_139670
Operon256	BCBAIBPD_00363	metP	Cluster_51682
Operon256	BCBAIBPD_00364	metN_1	Cluster_51682
Operon257	BCBAIBPD_00365	katE	Cluster_51682
Operon258	BCBAIBPD_00366	Unknown_Gene	Cluster_98431
Operon259	BCBAIBPD_00367	znuB_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon259	BCBAIBPD_00368	znuC	NO_CLUSTER_ASSOCIATION_FOUND
Operon259	BCBAIBPD_00369	zur	NO_CLUSTER_ASSOCIATION_FOUND
Operon260	BCBAIBPD_00370	znuA	NO_CLUSTER_ASSOCIATION_FOUND
Operon261	BCBAIBPD_00371	thrB	Cluster_139732
Operon262	BCBAIBPD_00372	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon263	BCBAIBPD_00373	polA	NO_CLUSTER_ASSOCIATION_FOUND
Operon264	BCBAIBPD_00374	engB	Cluster_9885
Operon265	BCBAIBPD_00375	cc4	Cluster_9885
Operon266	BCBAIBPD_00376	dsbA	Cluster_83282
Operon266	BCBAIBPD_00377	Unknown_Gene	Cluster_83282
Operon267	BCBAIBPD_00378	Unknown_Gene	Cluster_120454
Operon268	BCBAIBPD_00379	amiD	Cluster_133688
Operon269	BCBAIBPD_00380	pdeB	Cluster_113429
Operon270	BCBAIBPD_00381	kinB	Cluster_55364
Operon270	BCBAIBPD_00382	algB	Cluster_55364
Operon271	BCBAIBPD_00383	Unknown_Gene	Cluster_55364
Operon272	BCBAIBPD_00384	Unknown_Gene	Cluster_71477
Operon272	BCBAIBPD_00385	Unknown_Gene	Cluster_71477
Operon272	BCBAIBPD_00386	ivy	Cluster_71477
Operon273	BCBAIBPD_00387	gltP	Cluster_3621
Operon274	BCBAIBPD_00388	Unknown_Gene	Cluster_92484
Operon275	BCBAIBPD_00389	Unknown_Gene	Cluster_133687
Operon276	BCBAIBPD_00390	Unknown_Gene	Cluster_168746
Operon276	BCBAIBPD_00391	Unknown_Gene	Cluster_168746
Operon277	BCBAIBPD_00392	Unknown_Gene	Cluster_138178
Operon278	BCBAIBPD_00393	citN_1	Cluster_34120
Operon279	BCBAIBPD_00394	Unknown_Gene	Cluster_35320
Operon279	BCBAIBPD_00395	Unknown_Gene	Cluster_35320
Operon279	BCBAIBPD_00396	Unknown_Gene	Cluster_35320
Operon279	BCBAIBPD_00397	Unknown_Gene	Cluster_35320
Operon280	BCBAIBPD_00398	Unknown_Gene	Cluster_26245
Operon281	BCBAIBPD_00399	cat1	Cluster_65422
Operon282	BCBAIBPD_00400	pntB	Cluster_17644
Operon282	BCBAIBPD_00401	pntA	Cluster_17644
Operon282	BCBAIBPD_00402	pntAA	Cluster_17644
Operon283	BCBAIBPD_00403	gcvA_4	Cluster_79931
Operon284	BCBAIBPD_00404	mmgC_1	Cluster_79931
Operon284	BCBAIBPD_00405	uctC_1	Cluster_79931
Operon285	BCBAIBPD_00406	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon286	BCBAIBPD_00407	recC	Cluster_41872
Operon286	BCBAIBPD_00408	recB	Cluster_41872
Operon286	BCBAIBPD_00409	recD	Cluster_41872
Operon287	BCBAIBPD_00410	hdfR_3	Cluster_93820
Operon288	BCBAIBPD_00411	mmsA	Cluster_93820
Operon288	BCBAIBPD_00412	mmsB	Cluster_93820
Operon289	BCBAIBPD_00413	xerC_2	Cluster_29026
Operon290	BCBAIBPD_00414	Unknown_Gene	Cluster_391
Operon291	BCBAIBPD_00415	Unknown_Gene	Cluster_126182
Operon292	BCBAIBPD_00416	Unknown_Gene	Cluster_126182
Operon293	BCBAIBPD_00417	Unknown_Gene	Cluster_48353
Operon294	BCBAIBPD_00418	Unknown_Gene	Cluster_56049
Operon294	BCBAIBPD_00419	Unknown_Gene	Cluster_56049
Operon295	BCBAIBPD_00420	Unknown_Gene	Cluster_33354
Operon295	BCBAIBPD_00421	ftsH_1	Cluster_33354
Operon296	BCBAIBPD_00422	Unknown_Gene	Cluster_33354
Operon296	BCBAIBPD_00423	Unknown_Gene	Cluster_33354
Operon297	BCBAIBPD_00424	Unknown_Gene	Cluster_97109
Operon298	BCBAIBPD_00425	Unknown_Gene	Cluster_131226
Operon299	BCBAIBPD_00426	Unknown_Gene	Cluster_134100
Operon300	BCBAIBPD_00427	czcR_1	Cluster_12245
Operon301	BCBAIBPD_00428	oprD_1	Cluster_18496
Operon302	BCBAIBPD_00429	czcC	Cluster_18496
Operon303	BCBAIBPD_00430	czcB	Cluster_139613
Operon303	BCBAIBPD_00431	czcA_2	Cluster_139613
Operon304	BCBAIBPD_00432	Unknown_Gene	Cluster_76759
Operon305	BCBAIBPD_00433	cadA_2	Cluster_58772
