GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2937
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	HFFFMDPO_00001	dctA2_1	Cluster_135791
Operon18	HFFFMDPO_00032	Unknown_Gene	Cluster_49034
Operon19	HFFFMDPO_00033	Unknown_Gene	Cluster_12248
Operon20	HFFFMDPO_00034	sbcD	Cluster_12248
Operon20	HFFFMDPO_00035	Unknown_Gene	Cluster_12248
Operon20	HFFFMDPO_00036	Unknown_Gene	Cluster_12248
Operon21	HFFFMDPO_00037	Unknown_Gene	Cluster_101363
Operon22	HFFFMDPO_00038	pgl_1	Cluster_82808
Operon22	HFFFMDPO_00039	Unknown_Gene	Cluster_82808
Operon23	HFFFMDPO_00040	Unknown_Gene	Cluster_37489
Operon23	HFFFMDPO_00041	hcf136	Cluster_37489
Operon24	HFFFMDPO_00042	pepN	Cluster_158852
Operon24	HFFFMDPO_00043	Unknown_Gene	Cluster_158852
Operon24	HFFFMDPO_00044	Unknown_Gene	Cluster_158852
Operon24	HFFFMDPO_00045	glpG	Cluster_158852
Operon24	HFFFMDPO_00046	apaH_1	Cluster_158852
Operon24	HFFFMDPO_00047	nadK	Cluster_158852
Operon25	HFFFMDPO_00048	Unknown_Gene	Cluster_158852
Operon26	HFFFMDPO_00049	yodB	Cluster_51292
Operon27	HFFFMDPO_00050	Unknown_Gene	Cluster_46214
Operon28	HFFFMDPO_00051	fadH	Cluster_39720
Operon29	HFFFMDPO_00052	rhaS_1	Cluster_91743
Operon30	HFFFMDPO_00053	Unknown_Gene	Cluster_34549
Operon31	HFFFMDPO_00054	tdh_1	Cluster_147672
Operon32	HFFFMDPO_00055	Unknown_Gene	Cluster_101593
Operon33	HFFFMDPO_00056	Unknown_Gene	Cluster_101593
Operon33	HFFFMDPO_00057	Unknown_Gene	Cluster_101593
Operon34	HFFFMDPO_00058	rhaR_1	Cluster_54731
Operon35	HFFFMDPO_00059	yahB_1	Cluster_32593
Operon36	HFFFMDPO_00060	bacC_1	Cluster_32593
Operon36	HFFFMDPO_00061	Unknown_Gene	Cluster_32593
Operon36	HFFFMDPO_00062	hcaB_1	Cluster_32593
Operon37	HFFFMDPO_00063	Unknown_Gene	Cluster_60796
Operon38	HFFFMDPO_00064	lpfB	Cluster_60796
Operon38	HFFFMDPO_00065	Unknown_Gene	Cluster_60796
Operon38	HFFFMDPO_00066	rcsC_1	Cluster_60796
Operon38	HFFFMDPO_00067	rcsC_2	Cluster_60796
Operon39	HFFFMDPO_00068	rcsC_3	Cluster_127961
Operon39	HFFFMDPO_00069	rcsB	Cluster_127961
Operon40	HFFFMDPO_00070	Unknown_Gene	Cluster_104847
Operon41	HFFFMDPO_00071	Unknown_Gene	Cluster_136536
Operon42	HFFFMDPO_00072	fimD_1	Cluster_128689
Operon43	HFFFMDPO_00073	Unknown_Gene	Cluster_71874
Operon43	HFFFMDPO_00074	Unknown_Gene	Cluster_71874
Operon44	HFFFMDPO_00075	Unknown_Gene	Cluster_59178
Operon45	HFFFMDPO_00076	Unknown_Gene	Cluster_87966
Operon46	HFFFMDPO_00077	Unknown_Gene	Cluster_116374
Operon47	HFFFMDPO_00078	Unknown_Gene	Cluster_141118
Operon48	HFFFMDPO_00079	Unknown_Gene	Cluster_52631
Operon49	HFFFMDPO_00080	gdhI	Cluster_60007
Operon49	HFFFMDPO_00081	metZ	Cluster_60007
Operon49	HFFFMDPO_00082	purF_1	Cluster_60007
Operon49	HFFFMDPO_00083	Unknown_Gene	Cluster_60007
Operon50	HFFFMDPO_00084	dedD	Cluster_51552
Operon50	HFFFMDPO_00085	folC	Cluster_51552
Operon50	HFFFMDPO_00086	accD	Cluster_51552
Operon51	HFFFMDPO_00087	trpF	Cluster_145140
Operon52	HFFFMDPO_00088	truA	Cluster_91159
Operon53	HFFFMDPO_00089	Unknown_Gene	Cluster_136953
Operon54	HFFFMDPO_00090	usg	Cluster_6687
Operon55	HFFFMDPO_00091	asd	Cluster_143500
Operon56	HFFFMDPO_00092	leuB	Cluster_150147
Operon57	HFFFMDPO_00093	COQ5_1	Cluster_105622
Operon58	HFFFMDPO_00094	leuD1	Cluster_95132
Operon58	HFFFMDPO_00095	leuC	Cluster_95132
Operon59	HFFFMDPO_00096	cmpR_1	Cluster_95132
Operon60	HFFFMDPO_00097	Unknown_Gene	Cluster_145169
Operon61	HFFFMDPO_00098	ibpB	Cluster_6544
Operon62	HFFFMDPO_00099	dusC	Cluster_152575
Operon63	HFFFMDPO_00100	Unknown_Gene	Cluster_114013
Operon64	HFFFMDPO_00101	rutD_1	Cluster_72686
Operon64	HFFFMDPO_00102	Unknown_Gene	Cluster_72686
Operon65	HFFFMDPO_00103	Unknown_Gene	Cluster_159350
Operon65	HFFFMDPO_00104	Unknown_Gene	Cluster_159350
Operon66	HFFFMDPO_00105	Unknown_Gene	Cluster_159544
Operon66	HFFFMDPO_00106	Unknown_Gene	Cluster_159544
Operon67	HFFFMDPO_00107	Unknown_Gene	Cluster_136511
Operon68	HFFFMDPO_00108	Unknown_Gene	Cluster_24466
Operon69	HFFFMDPO_00109	gltX	Cluster_87052
Operon70	HFFFMDPO_00110	emrA_1	Cluster_87052
Operon70	HFFFMDPO_00111	emrB_1	Cluster_87052
Operon71	HFFFMDPO_00112	uvrB	Cluster_34358
Operon72	HFFFMDPO_00113	tyrB_1	Cluster_34358
Operon73	HFFFMDPO_00114	Unknown_Gene	Cluster_144390
Operon74	HFFFMDPO_00115	Unknown_Gene	Cluster_13314
Operon75	HFFFMDPO_00116	Unknown_Gene	Cluster_140159
Operon75	HFFFMDPO_00117	Unknown_Gene	Cluster_140159
Operon76	HFFFMDPO_00118	moaA_1	Cluster_41380
Operon77	HFFFMDPO_00119	Unknown_Gene	Cluster_4883
Operon78	HFFFMDPO_00120	ycfH	Cluster_168592
Operon78	HFFFMDPO_00121	Unknown_Gene	Cluster_168592
Operon78	HFFFMDPO_00122	tmk_1	Cluster_168592
Operon78	HFFFMDPO_00123	mltG	Cluster_168592
Operon78	HFFFMDPO_00124	pabC	Cluster_168592
Operon78	HFFFMDPO_00125	fabF_1	Cluster_168592
Operon79	HFFFMDPO_00126	acpP_1	Cluster_58142
Operon80	HFFFMDPO_00127	fabG_1	Cluster_97916
Operon80	HFFFMDPO_00128	fabD	Cluster_97916
Operon81	HFFFMDPO_00129	plsX	Cluster_165612
Operon81	HFFFMDPO_00130	rpmF	Cluster_165612
Operon81	HFFFMDPO_00131	yceD_1	Cluster_165612
Operon82	HFFFMDPO_00132	yceF	Cluster_119628
Operon83	HFFFMDPO_00133	Unknown_Gene	Cluster_2178
Operon83	HFFFMDPO_00134	ppaX	Cluster_2178
Operon83	HFFFMDPO_00135	rluC	Cluster_2178
Operon84	HFFFMDPO_00136	rne	Cluster_2178
Operon85	HFFFMDPO_00137	murB	Cluster_105623
Operon85	HFFFMDPO_00138	Unknown_Gene	Cluster_105623
Operon85	HFFFMDPO_00139	kdsB_1	Cluster_105623
Operon85	HFFFMDPO_00140	Unknown_Gene	Cluster_105623
Operon85	HFFFMDPO_00141	lpxK	Cluster_105623
Operon85	HFFFMDPO_00142	tolR	Cluster_105623
Operon85	HFFFMDPO_00143	tolQ_1	Cluster_105623
Operon86	HFFFMDPO_00144	Unknown_Gene	Cluster_88160
Operon87	HFFFMDPO_00145	Unknown_Gene	Cluster_88160
Operon88	HFFFMDPO_00146	yadH	Cluster_86949
Operon88	HFFFMDPO_00147	yadG	Cluster_86949
Operon89	HFFFMDPO_00148	gstB_1	Cluster_19821
Operon90	HFFFMDPO_00149	fadE	Cluster_19821
Operon91	HFFFMDPO_00150	Unknown_Gene	Cluster_139619
Operon92	HFFFMDPO_00151	Unknown_Gene	Cluster_52630
Operon93	HFFFMDPO_00152	yadV	Cluster_130716
Operon93	HFFFMDPO_00153	fimD_2	Cluster_130716
Operon94	HFFFMDPO_00154	Unknown_Gene	Cluster_149296
Operon95	HFFFMDPO_00155	Unknown_Gene	Cluster_38118
Operon96	HFFFMDPO_00156	Unknown_Gene	Cluster_38118
Operon97	HFFFMDPO_00157	Unknown_Gene	Cluster_127311
Operon98	HFFFMDPO_00158	Unknown_Gene	Cluster_122365
Operon98	HFFFMDPO_00159	Unknown_Gene	Cluster_122365
Operon99	HFFFMDPO_00160	Unknown_Gene	Cluster_26718
Operon99	HFFFMDPO_00161	Unknown_Gene	Cluster_26718
Operon100	HFFFMDPO_00162	Unknown_Gene	Cluster_26718
Operon101	HFFFMDPO_00163	msrC	Cluster_57918
Operon101	HFFFMDPO_00164	Unknown_Gene	Cluster_57918
Operon102	HFFFMDPO_00165	rcsC_4	Cluster_57918
Operon103	HFFFMDPO_00166	gpx1	Cluster_73834
Operon103	HFFFMDPO_00167	msrB	Cluster_73834
Operon104	HFFFMDPO_00168	alaA	Cluster_73834
Operon105	HFFFMDPO_00169	Unknown_Gene	Cluster_85778
Operon106	HFFFMDPO_00170	lpxL	Cluster_109031
Operon107	HFFFMDPO_00171	minC	Cluster_109031
Operon108	HFFFMDPO_00172	minD	Cluster_109763
Operon108	HFFFMDPO_00173	minE	Cluster_109763
Operon109	HFFFMDPO_00174	rluA	Cluster_82556
Operon110	HFFFMDPO_00175	apeB	Cluster_72788
Operon111	HFFFMDPO_00176	Unknown_Gene	Cluster_61606
Operon111	HFFFMDPO_00177	Unknown_Gene	Cluster_61606
Operon112	HFFFMDPO_00178	phnR	Cluster_27642
Operon113	HFFFMDPO_00179	Unknown_Gene	Cluster_27642
Operon114	HFFFMDPO_00180	Unknown_Gene	Cluster_96548
Operon114	HFFFMDPO_00181	Unknown_Gene	Cluster_96548
Operon114	HFFFMDPO_00182	cysW_1	Cluster_96548
Operon114	HFFFMDPO_00183	potA_1	Cluster_96548
Operon114	HFFFMDPO_00184	Unknown_Gene	Cluster_96548
Operon115	HFFFMDPO_00185	ppsC_1	Cluster_89941
Operon116	HFFFMDPO_00186	prc	Cluster_89941
Operon117	HFFFMDPO_00187	Unknown_Gene	Cluster_104593
Operon118	HFFFMDPO_00188	Unknown_Gene	Cluster_106937
Operon118	HFFFMDPO_00189	Unknown_Gene	Cluster_106937
Operon119	HFFFMDPO_00190	Unknown_Gene	Cluster_34154
Operon120	HFFFMDPO_00191	fklB_1	Cluster_34744
Operon121	HFFFMDPO_00192	hdfR_1	Cluster_69522
Operon122	HFFFMDPO_00193	Unknown_Gene	Cluster_69522
Operon123	HFFFMDPO_00194	rhaR_2	Cluster_20396
Operon124	HFFFMDPO_00195	dgoT	Cluster_20396
Operon125	HFFFMDPO_00196	Unknown_Gene	Cluster_95885
Operon125	HFFFMDPO_00197	Unknown_Gene	Cluster_95885
Operon125	HFFFMDPO_00198	Unknown_Gene	Cluster_95885
Operon126	HFFFMDPO_00199	nirD	Cluster_34394
Operon126	HFFFMDPO_00200	nasD	Cluster_34394
Operon127	HFFFMDPO_00201	napA	Cluster_38899
Operon128	HFFFMDPO_00202	map_1	Cluster_38899
Operon129	HFFFMDPO_00203	Unknown_Gene	Cluster_72017
Operon129	HFFFMDPO_00204	Unknown_Gene	Cluster_72017
Operon130	HFFFMDPO_00205	Unknown_Gene	Cluster_53093
Operon130	HFFFMDPO_00206	Unknown_Gene	Cluster_53093
Operon131	HFFFMDPO_00207	rdgC_1	Cluster_53093
Operon132	HFFFMDPO_00208	gdx	Cluster_29725
Operon133	HFFFMDPO_00209	lplT	Cluster_79434
Operon134	HFFFMDPO_00210	pmdD	Cluster_120372
Operon134	HFFFMDPO_00211	yjhB	Cluster_120372
Operon135	HFFFMDPO_00212	dasR_1	Cluster_67595
Operon136	HFFFMDPO_00213	mdrP	Cluster_67595
Operon137	HFFFMDPO_00214	rcsC_5	Cluster_98629
Operon138	HFFFMDPO_00215	Unknown_Gene	Cluster_32613
Operon139	HFFFMDPO_00216	Unknown_Gene	Cluster_424
Operon140	HFFFMDPO_00217	Unknown_Gene	Cluster_424
Operon141	HFFFMDPO_00218	Unknown_Gene	Cluster_43190
Operon142	HFFFMDPO_00219	fadL	Cluster_85074
Operon143	HFFFMDPO_00220	dmlR_1	Cluster_106795
Operon144	HFFFMDPO_00221	Unknown_Gene	Cluster_106795
Operon145	HFFFMDPO_00222	btuE_1	Cluster_156790
Operon145	HFFFMDPO_00223	Unknown_Gene	Cluster_156790
Operon145	HFFFMDPO_00224	Unknown_Gene	Cluster_156790
Operon146	HFFFMDPO_00225	Unknown_Gene	Cluster_144388
Operon147	HFFFMDPO_00226	Unknown_Gene	Cluster_77514
Operon148	HFFFMDPO_00227	cobS_1	Cluster_8620
Operon148	HFFFMDPO_00228	cobC	Cluster_8620
Operon148	HFFFMDPO_00229	cobT	Cluster_8620
Operon148	HFFFMDPO_00230	cobP	Cluster_8620
Operon148	HFFFMDPO_00231	cobQ	Cluster_8620
Operon148	HFFFMDPO_00232	hisC_1	Cluster_8620
Operon148	HFFFMDPO_00233	cobD	Cluster_8620
Operon148	HFFFMDPO_00234	bluB	Cluster_8620
Operon148	HFFFMDPO_00235	cbiA	Cluster_8620
Operon148	HFFFMDPO_00236	cobO_1	Cluster_8620
Operon149	HFFFMDPO_00237	Unknown_Gene	Cluster_88135
Operon150	HFFFMDPO_00238	mepS	Cluster_97912
Operon151	HFFFMDPO_00239	hda	Cluster_46295
Operon152	HFFFMDPO_00240	Unknown_Gene	Cluster_28750
Operon152	HFFFMDPO_00241	Unknown_Gene	Cluster_28750
Operon153	HFFFMDPO_00242	purM	Cluster_28750
Operon153	HFFFMDPO_00243	purN	Cluster_28750
Operon153	HFFFMDPO_00244	Unknown_Gene	Cluster_28750
Operon154	HFFFMDPO_00245	Unknown_Gene	Cluster_57125
Operon155	HFFFMDPO_00246	fdhL	Cluster_25994
Operon155	HFFFMDPO_00247	Unknown_Gene	Cluster_25994
Operon155	HFFFMDPO_00248	Unknown_Gene	Cluster_25994
Operon156	HFFFMDPO_00249	Unknown_Gene	Cluster_91206
Operon156	HFFFMDPO_00250	mazG	Cluster_91206
Operon157	HFFFMDPO_00251	relA	Cluster_119625
Operon158	HFFFMDPO_00252	rlmD	Cluster_115467
Operon158	HFFFMDPO_00253	cysM	Cluster_115467
Operon159	HFFFMDPO_00254	pfeS_1	Cluster_62420
Operon159	HFFFMDPO_00255	cseB	Cluster_62420
Operon160	HFFFMDPO_00256	barA	Cluster_62420
Operon161	HFFFMDPO_00257	ldhA	Cluster_134110
Operon161	HFFFMDPO_00258	Unknown_Gene	Cluster_134110
Operon161	HFFFMDPO_00259	Unknown_Gene	Cluster_134110
Operon162	HFFFMDPO_00260	resA_1	Cluster_126260
Operon163	HFFFMDPO_00261	yfgD	Cluster_126260
Operon163	HFFFMDPO_00262	Unknown_Gene	Cluster_126260
Operon163	HFFFMDPO_00263	Unknown_Gene	Cluster_126260
Operon164	HFFFMDPO_00264	Unknown_Gene	Cluster_39863
Operon164	HFFFMDPO_00265	ttcA	Cluster_39863
Operon165	HFFFMDPO_00266	yohC_1	Cluster_39863
Operon166	HFFFMDPO_00267	sprT_1	Cluster_95131
Operon167	HFFFMDPO_00268	fpr_1	Cluster_90550
Operon168	HFFFMDPO_00269	cmpR_2	Cluster_90550
Operon169	HFFFMDPO_00270	dgkA	Cluster_135079
Operon170	HFFFMDPO_00271	lnrK	Cluster_68561
Operon171	HFFFMDPO_00272	Unknown_Gene	Cluster_53084
Operon172	HFFFMDPO_00273	Unknown_Gene	Cluster_53084
Operon173	HFFFMDPO_00274	Unknown_Gene	Cluster_77785
Operon174	HFFFMDPO_00275	Unknown_Gene	Cluster_77785
Operon175	HFFFMDPO_00276	recX	Cluster_141088
Operon176	HFFFMDPO_00277	recA_1	Cluster_114403
Operon177	HFFFMDPO_00278	pncC_1	Cluster_149338
Operon178	HFFFMDPO_00279	Unknown_Gene	Cluster_9733
Operon179	HFFFMDPO_00280	Unknown_Gene	Cluster_12310
Operon180	HFFFMDPO_00281	Unknown_Gene	Cluster_112433
Operon181	HFFFMDPO_00282	Unknown_Gene	Cluster_145775
Operon181	HFFFMDPO_00283	Unknown_Gene	Cluster_145775
Operon182	HFFFMDPO_00284	Unknown_Gene	Cluster_144197
Operon183	HFFFMDPO_00285	Unknown_Gene	Cluster_97119
Operon183	HFFFMDPO_00286	Unknown_Gene	Cluster_97119
Operon183	HFFFMDPO_00287	Unknown_Gene	Cluster_97119
Operon183	HFFFMDPO_00288	Unknown_Gene	Cluster_97119
Operon183	HFFFMDPO_00289	Unknown_Gene	Cluster_97119
Operon183	HFFFMDPO_00290	Unknown_Gene	Cluster_97119
Operon183	HFFFMDPO_00291	Unknown_Gene	Cluster_97119
Operon183	HFFFMDPO_00292	Unknown_Gene	Cluster_97119
Operon184	HFFFMDPO_00293	Unknown_Gene	Cluster_151682
Operon184	HFFFMDPO_00294	Unknown_Gene	Cluster_151682
Operon185	HFFFMDPO_00295	Unknown_Gene	Cluster_144198
Operon185	HFFFMDPO_00296	Unknown_Gene	Cluster_144198
Operon185	HFFFMDPO_00297	Unknown_Gene	Cluster_144198
Operon185	HFFFMDPO_00298	Unknown_Gene	Cluster_144198
Operon185	HFFFMDPO_00299	Unknown_Gene	Cluster_144198
Operon185	HFFFMDPO_00300	Unknown_Gene	Cluster_144198
Operon185	HFFFMDPO_00301	Unknown_Gene	Cluster_144198
Operon185	HFFFMDPO_00302	Unknown_Gene	Cluster_144198
Operon186	HFFFMDPO_00303	Unknown_Gene	Cluster_88000
Operon186	HFFFMDPO_00304	Unknown_Gene	Cluster_88000
Operon186	HFFFMDPO_00305	Unknown_Gene	Cluster_88000
Operon186	HFFFMDPO_00306	Unknown_Gene	Cluster_88000
Operon186	HFFFMDPO_00307	Unknown_Gene	Cluster_88000
Operon187	HFFFMDPO_00308	Unknown_Gene	Cluster_66580
Operon187	HFFFMDPO_00309	Unknown_Gene	Cluster_66580
Operon188	HFFFMDPO_00310	Unknown_Gene	Cluster_28049
Operon189	HFFFMDPO_00311	Unknown_Gene	Cluster_99214
Operon189	HFFFMDPO_00312	Unknown_Gene	Cluster_99214
Operon189	HFFFMDPO_00313	Unknown_Gene	Cluster_99214
Operon190	HFFFMDPO_00314	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon191	HFFFMDPO_00315	lexA_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon192	HFFFMDPO_00316	Unknown_Gene	Cluster_96398
Operon192	HFFFMDPO_00317	Unknown_Gene	Cluster_96398
Operon192	HFFFMDPO_00318	Unknown_Gene	Cluster_96398
Operon193	HFFFMDPO_00319	Unknown_Gene	Cluster_128512
Operon193	HFFFMDPO_00320	Unknown_Gene	Cluster_128512
Operon193	HFFFMDPO_00321	Unknown_Gene	Cluster_128512
Operon193	HFFFMDPO_00322	intQ_1	Cluster_128512
Operon194	HFFFMDPO_00323	Unknown_Gene	Cluster_33526
Operon194	HFFFMDPO_00324	Unknown_Gene	Cluster_33526
Operon195	HFFFMDPO_00325	mutS	Cluster_33526
Operon196	HFFFMDPO_00326	fdxA	Cluster_89022
Operon197	HFFFMDPO_00327	rpoS_1	Cluster_110439
Operon198	HFFFMDPO_00328	nlpD	Cluster_46948
Operon199	HFFFMDPO_00329	pcm	Cluster_108338
Operon199	HFFFMDPO_00330	surE	Cluster_108338
Operon199	HFFFMDPO_00331	truD	Cluster_108338
Operon199	HFFFMDPO_00332	ispF	Cluster_108338
Operon200	HFFFMDPO_00333	yeiG	Cluster_111804
Operon200	HFFFMDPO_00334	frmA	Cluster_111804
Operon201	HFFFMDPO_00335	dmlR_2	Cluster_111804
Operon202	HFFFMDPO_00336	ispD_1	Cluster_73774
Operon202	HFFFMDPO_00337	ftsB	Cluster_73774
Operon203	HFFFMDPO_00338	eno	Cluster_81074
Operon204	HFFFMDPO_00339	kdsA_1	Cluster_37547
Operon204	HFFFMDPO_00340	pyrG	Cluster_37547
Operon205	HFFFMDPO_00341	tilS	Cluster_71559
Operon206	HFFFMDPO_00342	accA	Cluster_111408
Operon207	HFFFMDPO_00343	dnaE	Cluster_65352
Operon208	HFFFMDPO_00344	rnhB	Cluster_106679
Operon208	HFFFMDPO_00345	lpxB	Cluster_106679
Operon208	HFFFMDPO_00346	lpxA	Cluster_106679
Operon208	HFFFMDPO_00347	fabZ	Cluster_106679
Operon209	HFFFMDPO_00348	lpxD_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon209	HFFFMDPO_00349	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon209	HFFFMDPO_00350	bamA_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon210	HFFFMDPO_00351	birA	NO_CLUSTER_ASSOCIATION_FOUND
Operon210	HFFFMDPO_00352	coaX	NO_CLUSTER_ASSOCIATION_FOUND
Operon210	HFFFMDPO_00353	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon211	HFFFMDPO_00354	Unknown_Gene	Cluster_81271
Operon211	HFFFMDPO_00355	Unknown_Gene	Cluster_81271
Operon211	HFFFMDPO_00356	Unknown_Gene	Cluster_81271
Operon212	HFFFMDPO_00357	tufA_1	Cluster_130792
Operon213	HFFFMDPO_00358	Unknown_Gene	Cluster_150172
Operon213	HFFFMDPO_00359	secE	Cluster_150172
Operon214	HFFFMDPO_00360	nusG	Cluster_143496
Operon215	HFFFMDPO_00361	rplK	Cluster_103434
Operon215	HFFFMDPO_00362	rplA	Cluster_103434
Operon216	HFFFMDPO_00363	rplJ	Cluster_60586
Operon217	HFFFMDPO_00364	rplL	Cluster_131227
Operon218	HFFFMDPO_00365	rpoB	Cluster_52288
Operon219	HFFFMDPO_00366	rpoC	Cluster_142668
Operon220	HFFFMDPO_00367	rpsL	Cluster_55151
Operon221	HFFFMDPO_00368	rpsG	Cluster_112385
Operon221	HFFFMDPO_00369	fusA	Cluster_112385
Operon221	HFFFMDPO_00370	tufA_2	Cluster_112385
Operon222	HFFFMDPO_00371	rpsJ	Cluster_87585
Operon223	HFFFMDPO_00372	rplC	Cluster_130094
Operon223	HFFFMDPO_00373	rplD	Cluster_130094
Operon223	HFFFMDPO_00374	rplW	Cluster_130094
Operon223	HFFFMDPO_00375	rplB	Cluster_130094
Operon223	HFFFMDPO_00376	rpsS	Cluster_130094
Operon223	HFFFMDPO_00377	rplV	Cluster_130094
Operon223	HFFFMDPO_00378	rpsC	Cluster_130094
Operon223	HFFFMDPO_00379	rplP	Cluster_130094
Operon223	HFFFMDPO_00380	rpmC	Cluster_130094
Operon223	HFFFMDPO_00381	rpsQ	Cluster_130094
Operon223	HFFFMDPO_00382	rplN	Cluster_130094
Operon223	HFFFMDPO_00383	rplX	Cluster_130094
Operon223	HFFFMDPO_00384	rplE	Cluster_130094
Operon223	HFFFMDPO_00385	rpsN	Cluster_130094
Operon224	HFFFMDPO_00386	rpsH	Cluster_56461
Operon224	HFFFMDPO_00387	rplF	Cluster_56461
Operon224	HFFFMDPO_00388	rplR	Cluster_56461
Operon224	HFFFMDPO_00389	rpsE	Cluster_56461
Operon224	HFFFMDPO_00390	rpmD	Cluster_56461
Operon224	HFFFMDPO_00391	rplO	Cluster_56461
Operon224	HFFFMDPO_00392	secY	Cluster_56461
Operon224	HFFFMDPO_00393	rpmJ	Cluster_56461
Operon225	HFFFMDPO_00394	rpsM	Cluster_95128
Operon225	HFFFMDPO_00395	rpsK	Cluster_95128
Operon225	HFFFMDPO_00396	rpsD	Cluster_95128
Operon225	HFFFMDPO_00397	rpoA	Cluster_95128
Operon225	HFFFMDPO_00398	rplQ	Cluster_95128
Operon226	HFFFMDPO_00399	cat	Cluster_71102
Operon227	HFFFMDPO_00400	bfr_1	Cluster_75817
Operon228	HFFFMDPO_00401	uvrA_1	Cluster_96544
Operon229	HFFFMDPO_00402	yajR	Cluster_96544
Operon229	HFFFMDPO_00403	ssb	Cluster_96544
Operon230	HFFFMDPO_00404	hisC_2	Cluster_78819
Operon231	HFFFMDPO_00405	yfcA_1	Cluster_78819
Operon231	HFFFMDPO_00406	ydfG	Cluster_78819
Operon232	HFFFMDPO_00407	fdoG_1	Cluster_85071
Operon232	HFFFMDPO_00408	fdoG_2	Cluster_85071
Operon232	HFFFMDPO_00409	fdoH	Cluster_85071
Operon232	HFFFMDPO_00410	fdoI	Cluster_85071
Operon232	HFFFMDPO_00411	fdhE	Cluster_85071
Operon233	HFFFMDPO_00412	selA	Cluster_86934
Operon233	HFFFMDPO_00413	selB	Cluster_86934
Operon233	HFFFMDPO_00414	Unknown_Gene	Cluster_86934
Operon234	HFFFMDPO_00415	ansA	Cluster_136507
Operon235	HFFFMDPO_00416	alsT	Cluster_68696
Operon236	HFFFMDPO_00417	Unknown_Gene	Cluster_68696
Operon237	HFFFMDPO_00418	Unknown_Gene	Cluster_3113
Operon238	HFFFMDPO_00419	rmlD	Cluster_3113
Operon238	HFFFMDPO_00420	wbgU_1	Cluster_3113
Operon239	HFFFMDPO_00421	Unknown_Gene	Cluster_114470
Operon240	HFFFMDPO_00422	Unknown_Gene	Cluster_114470
Operon241	HFFFMDPO_00423	ompW	Cluster_107193
Operon242	HFFFMDPO_00424	Unknown_Gene	Cluster_98624
Operon243	HFFFMDPO_00425	Unknown_Gene	Cluster_95814
Operon243	HFFFMDPO_00426	ytrE	Cluster_95814
Operon243	HFFFMDPO_00427	Unknown_Gene	Cluster_95814
Operon244	HFFFMDPO_00428	Unknown_Gene	Cluster_95814
Operon245	HFFFMDPO_00429	cnoX	Cluster_167845
Operon245	HFFFMDPO_00430	Unknown_Gene	Cluster_167845
Operon245	HFFFMDPO_00431	Unknown_Gene	Cluster_167845
Operon246	HFFFMDPO_00432	nrdR	Cluster_112135
Operon246	HFFFMDPO_00433	ribD	Cluster_112135
