GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2222
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	JLPMBEPE_00001	xerC_1	Cluster_29991
Operon36	JLPMBEPE_00054	Unknown_Gene	Cluster_72041
Operon37	JLPMBEPE_00055	livF_1	Cluster_95886
Operon37	JLPMBEPE_00056	lptB_1	Cluster_95886
Operon37	JLPMBEPE_00057	Unknown_Gene	Cluster_95886
Operon37	JLPMBEPE_00058	livH_1	Cluster_95886
Operon38	JLPMBEPE_00059	braC_1	Cluster_28406
Operon39	JLPMBEPE_00060	lutR_1	Cluster_28406
Operon40	JLPMBEPE_00061	gabD_1	Cluster_143026
Operon41	JLPMBEPE_00062	ilvG	Cluster_138379
Operon41	JLPMBEPE_00063	soxB_1	Cluster_138379
Operon42	JLPMBEPE_00064	udh_2	Cluster_81886
Operon42	JLPMBEPE_00065	aatB	Cluster_81886
Operon42	JLPMBEPE_00066	apc4_1	Cluster_81886
Operon42	JLPMBEPE_00067	apc3_1	Cluster_81886
Operon43	JLPMBEPE_00068	isfD2	NO_CLUSTER_ASSOCIATION_FOUND
Operon43	JLPMBEPE_00069	fabG_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon44	JLPMBEPE_00070	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon45	JLPMBEPE_00071	Unknown_Gene	Cluster_143306
Operon46	JLPMBEPE_00072	mct	Cluster_128249
Operon47	JLPMBEPE_00073	dctA2_1	Cluster_162110
Operon47	JLPMBEPE_00074	Unknown_Gene	Cluster_162110
Operon47	JLPMBEPE_00075	Unknown_Gene	Cluster_162110
Operon47	JLPMBEPE_00076	yngG_1	Cluster_162110
Operon47	JLPMBEPE_00077	smtB_1	Cluster_162110
Operon48	JLPMBEPE_00078	gltC_1	Cluster_107227
Operon49	JLPMBEPE_00079	gmd	Cluster_102987
Operon50	JLPMBEPE_00080	exuT_2	Cluster_140646
Operon51	JLPMBEPE_00081	argP_1	Cluster_74455
Operon51	JLPMBEPE_00082	metR_1	Cluster_74455
Operon52	JLPMBEPE_00083	dadA1_1	Cluster_74455
Operon52	JLPMBEPE_00084	ridA	Cluster_74455
Operon53	JLPMBEPE_00085	gltP_1	Cluster_75980
Operon54	JLPMBEPE_00086	thadh_2	Cluster_88368
Operon55	JLPMBEPE_00087	Unknown_Gene	Cluster_136338
Operon56	JLPMBEPE_00088	rutC	Cluster_89565
Operon57	JLPMBEPE_00089	glnQ_2	Cluster_150391
Operon57	JLPMBEPE_00090	glnP_1	Cluster_150391
Operon57	JLPMBEPE_00091	glnM_1	Cluster_150391
Operon58	JLPMBEPE_00092	glnH_1	Cluster_30099
Operon59	JLPMBEPE_00093	ydfG	Cluster_30099
Operon60	JLPMBEPE_00094	yofA_1	Cluster_61762
Operon61	JLPMBEPE_00095	proA_1	Cluster_61762
Operon61	JLPMBEPE_00096	aatA_1	Cluster_61762
Operon62	JLPMBEPE_00097	gltP_2	Cluster_122662
Operon63	JLPMBEPE_00098	Unknown_Gene	Cluster_31970
Operon63	JLPMBEPE_00099	Unknown_Gene	Cluster_31970
Operon63	JLPMBEPE_00100	Unknown_Gene	Cluster_31970
Operon63	JLPMBEPE_00101	Unknown_Gene	Cluster_31970
Operon64	JLPMBEPE_00102	Unknown_Gene	Cluster_56378
Operon65	JLPMBEPE_00103	Unknown_Gene	Cluster_103990
Operon66	JLPMBEPE_00104	Unknown_Gene	Cluster_151771
Operon67	JLPMBEPE_00105	xyl3A	Cluster_12262
Operon67	JLPMBEPE_00106	Unknown_Gene	Cluster_12262
Operon68	JLPMBEPE_00107	xpsE	Cluster_12262
Operon68	JLPMBEPE_00108	epsF_1	Cluster_12262
Operon68	JLPMBEPE_00109	xcpT	Cluster_12262
Operon68	JLPMBEPE_00110	Unknown_Gene	Cluster_12262
Operon68	JLPMBEPE_00111	Unknown_Gene	Cluster_12262
Operon68	JLPMBEPE_00112	Unknown_Gene	Cluster_12262
Operon68	JLPMBEPE_00113	Unknown_Gene	Cluster_12262
Operon68	JLPMBEPE_00114	Unknown_Gene	Cluster_12262
Operon68	JLPMBEPE_00115	Unknown_Gene	Cluster_12262
Operon68	JLPMBEPE_00116	Unknown_Gene	Cluster_12262
Operon68	JLPMBEPE_00117	xpsD	Cluster_12262
Operon68	JLPMBEPE_00118	Unknown_Gene	Cluster_12262
Operon68	JLPMBEPE_00119	Unknown_Gene	Cluster_12262
Operon69	JLPMBEPE_00120	Unknown_Gene	Cluster_81115
Operon70	JLPMBEPE_00121	pfyP	Cluster_81115
Operon71	JLPMBEPE_00122	Unknown_Gene	Cluster_106374
Operon71	JLPMBEPE_00123	Unknown_Gene	Cluster_106374
Operon71	JLPMBEPE_00124	Unknown_Gene	Cluster_106374
Operon71	JLPMBEPE_00125	Unknown_Gene	Cluster_106374
Operon71	JLPMBEPE_00126	Unknown_Gene	Cluster_106374
Operon71	JLPMBEPE_00127	Unknown_Gene	Cluster_106374
Operon72	JLPMBEPE_00128	phrB_1	Cluster_119046
Operon72	JLPMBEPE_00129	Unknown_Gene	Cluster_119046
Operon72	JLPMBEPE_00130	Unknown_Gene	Cluster_119046
Operon72	JLPMBEPE_00131	Unknown_Gene	Cluster_119046
Operon73	JLPMBEPE_00132	Unknown_Gene	Cluster_65235
Operon74	JLPMBEPE_00133	chrA	Cluster_65235
Operon75	JLPMBEPE_00134	qseC_1	Cluster_113826
Operon75	JLPMBEPE_00135	qseB_1	Cluster_113826
Operon75	JLPMBEPE_00136	Unknown_Gene	Cluster_113826
Operon75	JLPMBEPE_00137	fabG_2	Cluster_113826
Operon75	JLPMBEPE_00138	Unknown_Gene	Cluster_113826
Operon75	JLPMBEPE_00139	menE	Cluster_113826
Operon75	JLPMBEPE_00140	Unknown_Gene	Cluster_113826
Operon76	JLPMBEPE_00141	Unknown_Gene	Cluster_113826
Operon77	JLPMBEPE_00142	adh_1	Cluster_83816
Operon78	JLPMBEPE_00143	Unknown_Gene	Cluster_139745
Operon78	JLPMBEPE_00144	exbD_1	Cluster_139745
Operon78	JLPMBEPE_00145	tolQ_1	Cluster_139745
Operon79	JLPMBEPE_00146	Unknown_Gene	Cluster_21863
Operon79	JLPMBEPE_00147	btuB_1	Cluster_21863
Operon80	JLPMBEPE_00148	cpdA_1	Cluster_21863
Operon81	JLPMBEPE_00149	Unknown_Gene	Cluster_121809
Operon81	JLPMBEPE_00150	Unknown_Gene	Cluster_121809
Operon82	JLPMBEPE_00151	ku	Cluster_104260
Operon83	JLPMBEPE_00152	cdhR_1	Cluster_113437
Operon84	JLPMBEPE_00153	Unknown_Gene	Cluster_113437
Operon85	JLPMBEPE_00154	Unknown_Gene	Cluster_71039
Operon86	JLPMBEPE_00155	metR_2	Cluster_37106
Operon86	JLPMBEPE_00156	xecA1	Cluster_37106
Operon86	JLPMBEPE_00157	Unknown_Gene	Cluster_37106
Operon87	JLPMBEPE_00158	Unknown_Gene	Cluster_37106
Operon88	JLPMBEPE_00159	Unknown_Gene	Cluster_32837
Operon89	JLPMBEPE_00160	proQ	Cluster_32837
Operon90	JLPMBEPE_00161	gcvA_1	Cluster_100785
Operon91	JLPMBEPE_00162	yfcG_1	Cluster_100785
Operon91	JLPMBEPE_00163	ssuD_1	Cluster_100785
Operon92	JLPMBEPE_00164	phnW_1	Cluster_18470
Operon93	JLPMBEPE_00165	Unknown_Gene	Cluster_78777
Operon94	JLPMBEPE_00166	Unknown_Gene	Cluster_78777
Operon95	JLPMBEPE_00167	Unknown_Gene	Cluster_95250
Operon95	JLPMBEPE_00168	Unknown_Gene	Cluster_95250
Operon95	JLPMBEPE_00169	Unknown_Gene	Cluster_95250
Operon96	JLPMBEPE_00170	Unknown_Gene	Cluster_95250
Operon97	JLPMBEPE_00171	paoA	Cluster_56366
Operon97	JLPMBEPE_00172	paoB	Cluster_56366
Operon97	JLPMBEPE_00173	paoC	Cluster_56366
Operon98	JLPMBEPE_00174	Unknown_Gene	Cluster_50506
Operon99	JLPMBEPE_00175	hcaB_1	Cluster_50506
Operon100	JLPMBEPE_00176	Unknown_Gene	Cluster_68442
Operon101	JLPMBEPE_00177	rcsC_1	Cluster_38207
Operon101	JLPMBEPE_00178	luxQ	Cluster_38207
Operon101	JLPMBEPE_00179	Unknown_Gene	Cluster_38207
Operon101	JLPMBEPE_00180	rsbT	Cluster_38207
Operon101	JLPMBEPE_00181	rsbS	Cluster_38207
Operon101	JLPMBEPE_00182	Unknown_Gene	Cluster_38207
Operon102	JLPMBEPE_00183	yhbO_1	Cluster_38207
Operon103	JLPMBEPE_00184	Unknown_Gene	Cluster_60864
Operon104	JLPMBEPE_00185	ydaD	Cluster_60864
Operon105	JLPMBEPE_00186	pncC_1	Cluster_115587
Operon106	JLPMBEPE_00187	Unknown_Gene	Cluster_102139
Operon107	JLPMBEPE_00188	Unknown_Gene	Cluster_92228
Operon108	JLPMBEPE_00189	Unknown_Gene	Cluster_19385
Operon109	JLPMBEPE_00190	ydaP	Cluster_19385
Operon110	JLPMBEPE_00191	xthA_1	Cluster_25341
Operon110	JLPMBEPE_00192	Unknown_Gene	Cluster_25341
Operon111	JLPMBEPE_00193	hipO_1	Cluster_21510
Operon111	JLPMBEPE_00194	proP_1	Cluster_21510
Operon112	JLPMBEPE_00195	Unknown_Gene	Cluster_21510
Operon113	JLPMBEPE_00196	tsaR	Cluster_130540
Operon114	JLPMBEPE_00197	Unknown_Gene	Cluster_125310
Operon115	JLPMBEPE_00198	Unknown_Gene	Cluster_48052
Operon116	JLPMBEPE_00199	cynR_1	Cluster_119886
Operon117	JLPMBEPE_00200	aldHT	Cluster_119886
Operon117	JLPMBEPE_00201	Unknown_Gene	Cluster_119886
Operon118	JLPMBEPE_00202	Unknown_Gene	Cluster_147348
Operon118	JLPMBEPE_00203	Unknown_Gene	Cluster_147348
Operon118	JLPMBEPE_00204	Unknown_Gene	Cluster_147348
Operon118	JLPMBEPE_00205	yabJ_1	Cluster_147348
Operon119	JLPMBEPE_00206	Unknown_Gene	Cluster_22182
Operon119	JLPMBEPE_00207	Unknown_Gene	Cluster_22182
Operon119	JLPMBEPE_00208	Unknown_Gene	Cluster_22182
Operon120	JLPMBEPE_00209	Unknown_Gene	Cluster_135770
Operon121	JLPMBEPE_00210	nanT_1	Cluster_52692
Operon122	JLPMBEPE_00211	dsdX	Cluster_89950
Operon122	JLPMBEPE_00212	dsdA	Cluster_89950
Operon122	JLPMBEPE_00213	dsdC	Cluster_89950
Operon123	JLPMBEPE_00214	Unknown_Gene	Cluster_7365
Operon124	JLPMBEPE_00215	rcsC_2	Cluster_11560
Operon124	JLPMBEPE_00216	adhB_2	Cluster_11560
Operon125	JLPMBEPE_00217	adh_2	Cluster_88797
Operon126	JLPMBEPE_00218	qedA_1	Cluster_69117
Operon127	JLPMBEPE_00219	gloB_1	Cluster_161159
Operon127	JLPMBEPE_00220	Unknown_Gene	Cluster_161159
Operon128	JLPMBEPE_00221	mltF_1	Cluster_36662
Operon128	JLPMBEPE_00222	Unknown_Gene	Cluster_36662
Operon129	JLPMBEPE_00223	qedA_2	Cluster_36662
Operon130	JLPMBEPE_00224	Unknown_Gene	Cluster_71486
Operon131	JLPMBEPE_00225	exaE	Cluster_76856
Operon131	JLPMBEPE_00226	Unknown_Gene	Cluster_76856
Operon132	JLPMBEPE_00227	Unknown_Gene	Cluster_76856
Operon132	JLPMBEPE_00228	Unknown_Gene	Cluster_76856
Operon132	JLPMBEPE_00229	lnrL	Cluster_76856
Operon132	JLPMBEPE_00230	Unknown_Gene	Cluster_76856
Operon133	JLPMBEPE_00231	Unknown_Gene	Cluster_64811
Operon134	JLPMBEPE_00232	degU_1	Cluster_152419
Operon135	JLPMBEPE_00233	rcsC_3	Cluster_46898
Operon135	JLPMBEPE_00234	Unknown_Gene	Cluster_46898
Operon136	JLPMBEPE_00235	Unknown_Gene	Cluster_23800
Operon137	JLPMBEPE_00236	Unknown_Gene	Cluster_121033
Operon137	JLPMBEPE_00237	Unknown_Gene	Cluster_121033
Operon138	JLPMBEPE_00238	pstB3	Cluster_153628
Operon139	JLPMBEPE_00239	pstA	Cluster_138066
Operon139	JLPMBEPE_00240	pstC	Cluster_138066
Operon140	JLPMBEPE_00241	pstS_1	Cluster_13816
Operon141	JLPMBEPE_00242	Unknown_Gene	Cluster_75110
Operon142	JLPMBEPE_00243	mhpD	Cluster_41957
Operon143	JLPMBEPE_00244	lgoT_2	Cluster_157541
Operon143	JLPMBEPE_00245	dhaT	Cluster_157541
Operon144	JLPMBEPE_00246	gbpR_3	Cluster_87827
Operon145	JLPMBEPE_00247	sfnC_1	Cluster_105702
Operon145	JLPMBEPE_00248	metI_1	Cluster_105702
Operon145	JLPMBEPE_00249	Unknown_Gene	Cluster_105702
Operon145	JLPMBEPE_00250	metN_1	Cluster_105702
Operon146	JLPMBEPE_00251	lrp_1	Cluster_103571
Operon147	JLPMBEPE_00252	Unknown_Gene	Cluster_103571
Operon148	JLPMBEPE_00253	Unknown_Gene	Cluster_81173
Operon149	JLPMBEPE_00254	hdfR_2	Cluster_101470
Operon150	JLPMBEPE_00255	Unknown_Gene	Cluster_101470
Operon151	JLPMBEPE_00256	rutR_1	Cluster_150979
Operon152	JLPMBEPE_00257	nepI_1	Cluster_66323
Operon153	JLPMBEPE_00258	Unknown_Gene	Cluster_115972
Operon154	JLPMBEPE_00259	Unknown_Gene	Cluster_115972
Operon155	JLPMBEPE_00260	rutD_1	Cluster_49958
Operon156	JLPMBEPE_00261	Unknown_Gene	Cluster_49958
Operon157	JLPMBEPE_00262	gabR_1	Cluster_130842
Operon158	JLPMBEPE_00263	nqrF	Cluster_130842
Operon159	JLPMBEPE_00264	gcvA_2	Cluster_104682
Operon160	JLPMBEPE_00265	puuB_1	Cluster_104682
Operon160	JLPMBEPE_00266	spuD_1	Cluster_104682
Operon160	JLPMBEPE_00267	potF	Cluster_104682
Operon161	JLPMBEPE_00268	ndvB	Cluster_70824
Operon162	JLPMBEPE_00269	Unknown_Gene	Cluster_122661
Operon162	JLPMBEPE_00270	Unknown_Gene	Cluster_122661
Operon163	JLPMBEPE_00271	Unknown_Gene	Cluster_130843
Operon164	JLPMBEPE_00272	lysN_1	Cluster_130843
Operon165	JLPMBEPE_00273	Unknown_Gene	Cluster_450
Operon165	JLPMBEPE_00274	Unknown_Gene	Cluster_450
Operon165	JLPMBEPE_00275	Unknown_Gene	Cluster_450
Operon165	JLPMBEPE_00276	Unknown_Gene	Cluster_450
Operon165	JLPMBEPE_00277	Unknown_Gene	Cluster_450
Operon165	JLPMBEPE_00278	Unknown_Gene	Cluster_450
Operon166	JLPMBEPE_00279	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon167	JLPMBEPE_00280	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon168	JLPMBEPE_00281	Unknown_Gene	Cluster_43544
Operon168	JLPMBEPE_00282	soxA_1	Cluster_43544
Operon169	JLPMBEPE_00283	Unknown_Gene	Cluster_43544
Operon169	JLPMBEPE_00284	Unknown_Gene	Cluster_43544
Operon170	JLPMBEPE_00285	sasA_1	Cluster_10334
Operon171	JLPMBEPE_00286	arsR2	Cluster_10334
Operon171	JLPMBEPE_00287	arsB_1	Cluster_10334
Operon171	JLPMBEPE_00288	arsC	Cluster_10334
Operon171	JLPMBEPE_00289	arsH	Cluster_10334
Operon172	JLPMBEPE_00290	fecI_1	Cluster_2731
Operon172	JLPMBEPE_00291	Unknown_Gene	Cluster_2731
Operon173	JLPMBEPE_00292	fpvA_1	Cluster_85543
Operon174	JLPMBEPE_00293	lysN_2	Cluster_130843
Operon175	JLPMBEPE_00294	Unknown_Gene	Cluster_130843
Operon176	JLPMBEPE_00295	rclR	Cluster_151772
Operon177	JLPMBEPE_00296	nepI_2	Cluster_151772
Operon178	JLPMBEPE_00297	Unknown_Gene	Cluster_26375
Operon179	JLPMBEPE_00298	dapA_1	Cluster_22665
Operon180	JLPMBEPE_00299	Unknown_Gene	Cluster_22665
Operon181	JLPMBEPE_00300	kdgR_1	Cluster_43435
Operon182	JLPMBEPE_00301	btuD_1	Cluster_43435
Operon182	JLPMBEPE_00302	potB	Cluster_43435
Operon182	JLPMBEPE_00303	ydcV_1	Cluster_43435
Operon182	JLPMBEPE_00304	Unknown_Gene	Cluster_43435
Operon182	JLPMBEPE_00305	hcnB	Cluster_43435
Operon182	JLPMBEPE_00306	hcnC	Cluster_43435
Operon182	JLPMBEPE_00307	Unknown_Gene	Cluster_43435
Operon183	JLPMBEPE_00308	pcaR_1	Cluster_82303
Operon184	JLPMBEPE_00309	aroE_1	Cluster_82303
Operon184	JLPMBEPE_00310	kstD_1	Cluster_82303
Operon184	JLPMBEPE_00311	Unknown_Gene	Cluster_82303
Operon184	JLPMBEPE_00312	ksdD	Cluster_82303
Operon184	JLPMBEPE_00313	Unknown_Gene	Cluster_82303
Operon184	JLPMBEPE_00314	Unknown_Gene	Cluster_82303
Operon184	JLPMBEPE_00315	Unknown_Gene	Cluster_82303
Operon185	JLPMBEPE_00316	Unknown_Gene	Cluster_275
Operon186	JLPMBEPE_00317	Unknown_Gene	Cluster_61245
Operon187	JLPMBEPE_00318	Unknown_Gene	Cluster_49542
Operon188	JLPMBEPE_00319	Unknown_Gene	Cluster_27061
Operon189	JLPMBEPE_00320	garP_1	Cluster_34573
Operon190	JLPMBEPE_00321	Unknown_Gene	Cluster_168448
Operon190	JLPMBEPE_00322	iolX	Cluster_168448
Operon191	JLPMBEPE_00323	iclR	Cluster_62313
Operon192	JLPMBEPE_00324	kstD_2	Cluster_62313
Operon193	JLPMBEPE_00325	puuC_1	Cluster_60795
Operon194	JLPMBEPE_00326	spuC_1	Cluster_159546
Operon194	JLPMBEPE_00327	Unknown_Gene	Cluster_159546
Operon195	JLPMBEPE_00328	puuP_1	Cluster_35608
Operon196	JLPMBEPE_00329	Unknown_Gene	Cluster_104150
Operon197	JLPMBEPE_00330	cmpR_1	Cluster_108350
Operon198	JLPMBEPE_00331	ptxB	Cluster_108350
Operon198	JLPMBEPE_00332	glnQ_3	Cluster_108350
Operon198	JLPMBEPE_00333	phnE_1	Cluster_108350
Operon199	JLPMBEPE_00334	Unknown_Gene	Cluster_132767
Operon200	JLPMBEPE_00335	glpT	Cluster_125237
Operon200	JLPMBEPE_00336	cmpR_2	Cluster_125237
Operon201	JLPMBEPE_00337	phnX_1	Cluster_130105
Operon202	JLPMBEPE_00338	dmlR_2	Cluster_73311
Operon203	JLPMBEPE_00339	ydhP_1	Cluster_62079
Operon204	JLPMBEPE_00340	Unknown_Gene	Cluster_62079
Operon205	JLPMBEPE_00341	uacT_1	Cluster_101472
Operon206	JLPMBEPE_00342	Unknown_Gene	Cluster_50515
Operon207	JLPMBEPE_00343	hsrA_1	Cluster_154682
Operon207	JLPMBEPE_00344	Unknown_Gene	Cluster_154682
Operon208	JLPMBEPE_00345	pigA_1	Cluster_103556
Operon209	JLPMBEPE_00346	Unknown_Gene	Cluster_68171
Operon210	JLPMBEPE_00347	Unknown_Gene	Cluster_58067
Operon211	JLPMBEPE_00348	eptC	Cluster_58067
Operon212	JLPMBEPE_00349	Unknown_Gene	Cluster_44548
Operon212	JLPMBEPE_00350	bmr3_1	Cluster_44548
Operon213	JLPMBEPE_00351	Unknown_Gene	Cluster_84341
Operon213	JLPMBEPE_00352	pqiB	Cluster_84341
Operon213	JLPMBEPE_00353	pqiA_1	Cluster_84341
Operon213	JLPMBEPE_00354	yebS	Cluster_84341
Operon214	JLPMBEPE_00355	Unknown_Gene	Cluster_84341
Operon215	JLPMBEPE_00356	gltC_2	Cluster_54064
Operon216	JLPMBEPE_00357	Unknown_Gene	Cluster_54064
Operon216	JLPMBEPE_00358	Unknown_Gene	Cluster_54064
Operon217	JLPMBEPE_00359	nanT_2	Cluster_56914
Operon218	JLPMBEPE_00360	Unknown_Gene	Cluster_56914
Operon219	JLPMBEPE_00361	Unknown_Gene	Cluster_132982
Operon219	JLPMBEPE_00362	Unknown_Gene	Cluster_132982
Operon219	JLPMBEPE_00363	Unknown_Gene	Cluster_132982
Operon220	JLPMBEPE_00364	menH_1	Cluster_68172
Operon221	JLPMBEPE_00365	Unknown_Gene	Cluster_68172
Operon222	JLPMBEPE_00366	Unknown_Gene	Cluster_73635
Operon223	JLPMBEPE_00367	rep_1	Cluster_52521
Operon224	JLPMBEPE_00368	yhhW	Cluster_52521
Operon225	JLPMBEPE_00369	dltA	Cluster_41139
Operon226	JLPMBEPE_00370	fecI_2	Cluster_118937
Operon226	JLPMBEPE_00371	fecR_1	Cluster_118937
Operon227	JLPMBEPE_00372	fpvA_2	Cluster_126766
Operon228	JLPMBEPE_00373	Unknown_Gene	Cluster_131608
Operon229	JLPMBEPE_00374	Unknown_Gene	Cluster_146932
Operon230	JLPMBEPE_00375	fhuA_1	Cluster_39078
Operon231	JLPMBEPE_00376	fecR_2	Cluster_97091
Operon231	JLPMBEPE_00377	fecI_3	Cluster_97091
Operon232	JLPMBEPE_00378	Unknown_Gene	Cluster_82324
Operon232	JLPMBEPE_00379	Unknown_Gene	Cluster_82324
Operon233	JLPMBEPE_00380	dmlR_3	Cluster_61229
Operon234	JLPMBEPE_00381	dctA_1	Cluster_61229
Operon235	JLPMBEPE_00382	ttdA	Cluster_150856
Operon235	JLPMBEPE_00383	ttdB	Cluster_150856
Operon236	JLPMBEPE_00384	sfnR_1	Cluster_33432
Operon237	JLPMBEPE_00385	ssuA_1	Cluster_33432
Operon237	JLPMBEPE_00386	Unknown_Gene	Cluster_33432
Operon237	JLPMBEPE_00387	ssuD_2	Cluster_33432
Operon237	JLPMBEPE_00388	hbpA	Cluster_33432
Operon238	JLPMBEPE_00389	Unknown_Gene	Cluster_56379
Operon238	JLPMBEPE_00390	msuD_1	Cluster_56379
Operon239	JLPMBEPE_00391	Unknown_Gene	Cluster_75516
Operon239	JLPMBEPE_00392	ddpC_1	Cluster_75516
Operon239	JLPMBEPE_00393	gsiC	Cluster_75516
Operon239	JLPMBEPE_00394	Unknown_Gene	Cluster_75516
Operon239	JLPMBEPE_00395	ssuD_3	Cluster_75516
Operon240	JLPMBEPE_00396	Unknown_Gene	Cluster_29582
Operon240	JLPMBEPE_00397	soxB_2	Cluster_29582
Operon241	JLPMBEPE_00398	soxC_1	Cluster_29582
Operon242	JLPMBEPE_00399	Unknown_Gene	Cluster_122379
Operon242	JLPMBEPE_00400	Unknown_Gene	Cluster_122379
Operon243	JLPMBEPE_00401	ssuD_4	Cluster_37984
Operon243	JLPMBEPE_00402	soxB_3	Cluster_37984
Operon243	JLPMBEPE_00403	Unknown_Gene	Cluster_37984
Operon244	JLPMBEPE_00404	fyuA_1	Cluster_57323
Operon245	JLPMBEPE_00405	btuB_2	Cluster_89391
Operon246	JLPMBEPE_00406	ssuC_1	Cluster_41140
Operon246	JLPMBEPE_00407	ssuC_2	Cluster_41140
Operon246	JLPMBEPE_00408	ssuB_1	Cluster_41140
Operon247	JLPMBEPE_00409	Unknown_Gene	Cluster_9186
Operon248	JLPMBEPE_00410	prsD	Cluster_9186
Operon248	JLPMBEPE_00411	prsE_1	Cluster_9186
Operon248	JLPMBEPE_00412	tolC_1	Cluster_9186
Operon249	JLPMBEPE_00413	fatA_1	Cluster_112709
Operon250	JLPMBEPE_00414	fecR_3	Cluster_123784
Operon250	JLPMBEPE_00415	fecI_4	Cluster_123784
Operon251	JLPMBEPE_00416	Unknown_Gene	Cluster_123784
Operon252	JLPMBEPE_00417	Unknown_Gene	Cluster_33823
Operon253	JLPMBEPE_00418	abaF_1	Cluster_33823
Operon254	JLPMBEPE_00419	Unknown_Gene	Cluster_59080
Operon255	JLPMBEPE_00420	syrM1	Cluster_82443
Operon256	JLPMBEPE_00421	pmpR_1	Cluster_118924
Operon257	JLPMBEPE_00422	puuB_2	Cluster_44889
Operon257	JLPMBEPE_00423	uhpC	Cluster_44889
Operon258	JLPMBEPE_00424	cmpR_3	Cluster_44889
Operon259	JLPMBEPE_00425	Unknown_Gene	Cluster_100505
Operon260	JLPMBEPE_00426	tam	Cluster_76857
Operon261	JLPMBEPE_00427	pupA_1	Cluster_86771
Operon262	JLPMBEPE_00428	Unknown_Gene	Cluster_83814
