GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2243
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	NMOILELG_00001	htpX	Cluster_43325
Operon130	NMOILELG_00201	Unknown_Gene	Cluster_144033
Operon130	NMOILELG_00202	Unknown_Gene	Cluster_144033
Operon130	NMOILELG_00203	ctaA	Cluster_144033
Operon130	NMOILELG_00204	ctaB	Cluster_144033
Operon130	NMOILELG_00205	Unknown_Gene	Cluster_144033
Operon131	NMOILELG_00206	Unknown_Gene	Cluster_139670
Operon132	NMOILELG_00207	metP	Cluster_50953
Operon132	NMOILELG_00208	metN_1	Cluster_50953
Operon133	NMOILELG_00209	katE	Cluster_50953
Operon134	NMOILELG_00210	Unknown_Gene	Cluster_96659
Operon135	NMOILELG_00211	znuB_1	Cluster_141194
Operon135	NMOILELG_00212	znuC	Cluster_141194
Operon135	NMOILELG_00213	zur	Cluster_141194
Operon136	NMOILELG_00214	znuA	Cluster_141194
Operon137	NMOILELG_00215	thrB	Cluster_136611
Operon138	NMOILELG_00216	Unknown_Gene	Cluster_134370
Operon139	NMOILELG_00217	polA	Cluster_134370
Operon140	NMOILELG_00218	engB	Cluster_56506
Operon141	NMOILELG_00219	Unknown_Gene	Cluster_56506
Operon141	NMOILELG_00220	cc4	Cluster_56506
Operon142	NMOILELG_00221	dsbA	Cluster_61845
Operon142	NMOILELG_00222	Unknown_Gene	Cluster_61845
Operon142	NMOILELG_00223	Unknown_Gene	Cluster_61845
Operon143	NMOILELG_00224	Unknown_Gene	Cluster_119346
Operon144	NMOILELG_00225	amiD	Cluster_130092
Operon145	NMOILELG_00226	pdeB	Cluster_116251
Operon146	NMOILELG_00227	kinB	Cluster_54586
Operon146	NMOILELG_00228	algB_1	Cluster_54586
Operon147	NMOILELG_00229	Unknown_Gene	Cluster_54586
Operon148	NMOILELG_00230	Unknown_Gene	Cluster_71218
Operon148	NMOILELG_00231	Unknown_Gene	Cluster_71218
Operon148	NMOILELG_00232	ivy	Cluster_71218
Operon149	NMOILELG_00233	gltP_1	Cluster_3581
Operon150	NMOILELG_00234	Unknown_Gene	Cluster_30454
Operon151	NMOILELG_00235	Unknown_Gene	Cluster_121658
Operon151	NMOILELG_00236	Unknown_Gene	Cluster_121658
Operon151	NMOILELG_00237	mkl	Cluster_121658
Operon151	NMOILELG_00238	Unknown_Gene	Cluster_121658
Operon152	NMOILELG_00239	Unknown_Gene	Cluster_111591
Operon153	NMOILELG_00240	Unknown_Gene	Cluster_166387
Operon153	NMOILELG_00241	Unknown_Gene	Cluster_166387
Operon154	NMOILELG_00242	Unknown_Gene	Cluster_138914
Operon155	NMOILELG_00243	citN_1	Cluster_37097
Operon156	NMOILELG_00244	Unknown_Gene	Cluster_37097
Operon157	NMOILELG_00245	Unknown_Gene	Cluster_79780
Operon157	NMOILELG_00246	Unknown_Gene	Cluster_79780
Operon157	NMOILELG_00247	Unknown_Gene	Cluster_79780
Operon158	NMOILELG_00248	Unknown_Gene	Cluster_33125
Operon159	NMOILELG_00249	Unknown_Gene	Cluster_21200
Operon160	NMOILELG_00250	cat1	Cluster_58050
Operon161	NMOILELG_00251	pntB	Cluster_17209
Operon161	NMOILELG_00252	Unknown_Gene	Cluster_17209
Operon161	NMOILELG_00253	pntAA	Cluster_17209
Operon162	NMOILELG_00254	gcvA_2	Cluster_76337
Operon163	NMOILELG_00255	mmgC_1	Cluster_76337
Operon163	NMOILELG_00256	uctC	Cluster_76337
Operon164	NMOILELG_00257	yddE	Cluster_40744
Operon165	NMOILELG_00258	Unknown_Gene	Cluster_66947
Operon165	NMOILELG_00259	Unknown_Gene	Cluster_66947
Operon165	NMOILELG_00260	ccmH	Cluster_66947
Operon165	NMOILELG_00261	dsbE	Cluster_66947
Operon165	NMOILELG_00262	ccmF	Cluster_66947
Operon165	NMOILELG_00263	ccmE	Cluster_66947
Operon165	NMOILELG_00264	Unknown_Gene	Cluster_66947
Operon165	NMOILELG_00265	ccmC	Cluster_66947
Operon165	NMOILELG_00266	ccmB	Cluster_66947
Operon165	NMOILELG_00267	ccmA	Cluster_66947
Operon166	NMOILELG_00268	Unknown_Gene	Cluster_66947
Operon166	NMOILELG_00269	Unknown_Gene	Cluster_66947
Operon167	NMOILELG_00270	Unknown_Gene	Cluster_144873
Operon168	NMOILELG_00271	Unknown_Gene	Cluster_140424
Operon168	NMOILELG_00272	cheW	Cluster_140424
Operon169	NMOILELG_00273	Unknown_Gene	Cluster_133003
Operon169	NMOILELG_00274	soj_1	Cluster_133003
Operon170	NMOILELG_00275	motB_1	Cluster_122473
Operon170	NMOILELG_00276	pomA	Cluster_122473
Operon170	NMOILELG_00277	cheB1	Cluster_122473
Operon170	NMOILELG_00278	Unknown_Gene	Cluster_122473
Operon170	NMOILELG_00279	cheZ	Cluster_122473
Operon170	NMOILELG_00280	cheY	Cluster_122473
Operon171	NMOILELG_00281	fliA	Cluster_125663
Operon171	NMOILELG_00282	ylxH	Cluster_125663
Operon172	NMOILELG_00283	srp54	Cluster_49179
Operon172	NMOILELG_00284	flhA	Cluster_49179
Operon173	NMOILELG_00285	flhB	Cluster_89709
Operon173	NMOILELG_00286	fliR	Cluster_89709
Operon173	NMOILELG_00287	fliQ	Cluster_89709
Operon173	NMOILELG_00288	fliP	Cluster_89709
Operon173	NMOILELG_00289	Unknown_Gene	Cluster_89709
Operon173	NMOILELG_00290	fliN	Cluster_89709
Operon173	NMOILELG_00291	fliM	Cluster_89709
Operon173	NMOILELG_00292	Unknown_Gene	Cluster_89709
Operon174	NMOILELG_00293	Unknown_Gene	Cluster_138168
Operon175	NMOILELG_00294	Unknown_Gene	Cluster_146086
Operon176	NMOILELG_00295	cheB_1	Cluster_85476
Operon176	NMOILELG_00296	Unknown_Gene	Cluster_85476
Operon177	NMOILELG_00297	fliJ	Cluster_80330
Operon177	NMOILELG_00298	fliI	Cluster_80330
Operon177	NMOILELG_00299	Unknown_Gene	Cluster_80330
Operon178	NMOILELG_00300	fliG	Cluster_113411
Operon178	NMOILELG_00301	fliF	Cluster_113411
Operon178	NMOILELG_00302	fliE	Cluster_113411
Operon179	NMOILELG_00303	atoC_1	Cluster_68376
Operon179	NMOILELG_00304	atoS	Cluster_68376
Operon180	NMOILELG_00305	norR_2	Cluster_73524
Operon181	NMOILELG_00306	Unknown_Gene	Cluster_91813
Operon181	NMOILELG_00307	fliS	Cluster_91813
Operon182	NMOILELG_00308	fliD	Cluster_133674
Operon183	NMOILELG_00309	Unknown_Gene	Cluster_136558
Operon184	NMOILELG_00310	hag	Cluster_39513
Operon185	NMOILELG_00311	fabH	Cluster_79225
Operon186	NMOILELG_00312	fcl	Cluster_130447
Operon186	NMOILELG_00313	Unknown_Gene	Cluster_130447
Operon187	NMOILELG_00314	Unknown_Gene	Cluster_115886
Operon187	NMOILELG_00315	Unknown_Gene	Cluster_115886
Operon188	NMOILELG_00316	kduD	Cluster_70781
Operon188	NMOILELG_00317	iolG	Cluster_70781
Operon188	NMOILELG_00318	Unknown_Gene	Cluster_70781
Operon188	NMOILELG_00319	ilvB	Cluster_70781
Operon188	NMOILELG_00320	Unknown_Gene	Cluster_70781
Operon188	NMOILELG_00321	Unknown_Gene	Cluster_70781
Operon188	NMOILELG_00322	galK	Cluster_70781
Operon188	NMOILELG_00323	hddC	Cluster_70781
Operon188	NMOILELG_00324	spnQ	Cluster_70781
Operon188	NMOILELG_00325	rfbG	Cluster_70781
Operon188	NMOILELG_00326	rfbF	Cluster_70781
Operon189	NMOILELG_00327	Unknown_Gene	Cluster_144245
Operon190	NMOILELG_00328	Unknown_Gene	Cluster_136219
Operon191	NMOILELG_00329	Unknown_Gene	Cluster_68476
Operon191	NMOILELG_00330	Unknown_Gene	Cluster_68476
Operon191	NMOILELG_00331	Unknown_Gene	Cluster_68476
Operon191	NMOILELG_00332	flgI	Cluster_68476
Operon191	NMOILELG_00333	flgH	Cluster_68476
Operon191	NMOILELG_00334	flgG	Cluster_68476
Operon191	NMOILELG_00335	flgF	Cluster_68476
Operon192	NMOILELG_00336	Unknown_Gene	Cluster_135877
Operon193	NMOILELG_00337	flgE	Cluster_167891
Operon193	NMOILELG_00338	flgD	Cluster_167891
Operon193	NMOILELG_00339	flgC	Cluster_167891
Operon193	NMOILELG_00340	flgB	Cluster_167891
Operon194	NMOILELG_00341	cheR2	Cluster_152428
Operon195	NMOILELG_00342	cheV_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon196	NMOILELG_00343	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon197	NMOILELG_00344	Unknown_Gene	Cluster_65629
Operon197	NMOILELG_00345	Unknown_Gene	Cluster_65629
Operon198	NMOILELG_00346	ycgR	Cluster_129350
Operon199	NMOILELG_00347	Unknown_Gene	Cluster_75054
Operon200	NMOILELG_00348	ycaD_1	Cluster_95227
Operon201	NMOILELG_00349	ipuC	Cluster_35054
Operon202	NMOILELG_00350	lrp_1	Cluster_60998
Operon203	NMOILELG_00351	bkdA1	Cluster_60998
Operon203	NMOILELG_00352	bkdA2	Cluster_60998
Operon203	NMOILELG_00353	bkdB	Cluster_60998
Operon203	NMOILELG_00354	lpdV	Cluster_60998
Operon204	NMOILELG_00355	Unknown_Gene	Cluster_53018
Operon205	NMOILELG_00356	Unknown_Gene	Cluster_53018
Operon206	NMOILELG_00357	Unknown_Gene	Cluster_88488
Operon206	NMOILELG_00358	Unknown_Gene	Cluster_88488
Operon206	NMOILELG_00359	Unknown_Gene	Cluster_88488
Operon207	NMOILELG_00360	ghrB_1	Cluster_142031
Operon207	NMOILELG_00361	ttuB	Cluster_142031
Operon208	NMOILELG_00362	kdgK	Cluster_129394
Operon208	NMOILELG_00363	Unknown_Gene	Cluster_129394
Operon209	NMOILELG_00364	kdgR	Cluster_71692
Operon210	NMOILELG_00365	Unknown_Gene	Cluster_62269
Operon211	NMOILELG_00366	phnN	Cluster_25715
Operon212	NMOILELG_00367	Unknown_Gene	Cluster_25715
Operon213	NMOILELG_00368	Unknown_Gene	Cluster_166395
Operon213	NMOILELG_00369	Unknown_Gene	Cluster_166395
Operon214	NMOILELG_00370	Unknown_Gene	Cluster_63576
Operon215	NMOILELG_00371	hisC_1	Cluster_56323
Operon216	NMOILELG_00372	pal_1	Cluster_132232
Operon216	NMOILELG_00373	Unknown_Gene	Cluster_132232
Operon216	NMOILELG_00374	Unknown_Gene	Cluster_132232
Operon217	NMOILELG_00375	etfA	Cluster_23795
Operon217	NMOILELG_00376	etfB	Cluster_23795
Operon218	NMOILELG_00377	Unknown_Gene	Cluster_142818
Operon219	NMOILELG_00378	Unknown_Gene	Cluster_142818
Operon220	NMOILELG_00379	Unknown_Gene	Cluster_87311
Operon221	NMOILELG_00380	proP_1	Cluster_141204
Operon222	NMOILELG_00381	Unknown_Gene	Cluster_55138
Operon223	NMOILELG_00382	fecI_1	Cluster_59812
Operon224	NMOILELG_00383	macA	Cluster_59812
Operon224	NMOILELG_00384	macB	Cluster_59812
Operon224	NMOILELG_00385	ttgF_1	Cluster_59812
Operon225	NMOILELG_00386	Unknown_Gene	Cluster_99098
Operon226	NMOILELG_00387	dat	Cluster_47124
Operon227	NMOILELG_00388	qseC_1	Cluster_57093
Operon227	NMOILELG_00389	qseB_1	Cluster_57093
Operon228	NMOILELG_00390	dsbD_1	Cluster_57093
Operon228	NMOILELG_00391	resA_1	Cluster_57093
Operon228	NMOILELG_00392	dsbG	Cluster_57093
Operon229	NMOILELG_00393	lgrB_1	Cluster_27444
Operon230	NMOILELG_00394	Unknown_Gene	Cluster_27444
Operon231	NMOILELG_00395	Unknown_Gene	Cluster_143634
Operon232	NMOILELG_00396	Unknown_Gene	Cluster_52833
Operon233	NMOILELG_00397	dinG_1	Cluster_52833
Operon234	NMOILELG_00398	ppnP	Cluster_135151
Operon235	NMOILELG_00399	Unknown_Gene	Cluster_154199
Operon236	NMOILELG_00400	ccoN1_1	Cluster_154199
Operon236	NMOILELG_00401	Unknown_Gene	Cluster_154199
Operon236	NMOILELG_00402	Unknown_Gene	Cluster_154199
Operon236	NMOILELG_00403	ccoP2_1	Cluster_154199
Operon237	NMOILELG_00404	ccoN1_2	Cluster_10626
Operon237	NMOILELG_00405	Unknown_Gene	Cluster_10626
Operon237	NMOILELG_00406	Unknown_Gene	Cluster_10626
Operon237	NMOILELG_00407	ccoP2_2	Cluster_10626
Operon238	NMOILELG_00408	Unknown_Gene	Cluster_80329
Operon239	NMOILELG_00409	Unknown_Gene	Cluster_55292
Operon239	NMOILELG_00410	Unknown_Gene	Cluster_55292
Operon240	NMOILELG_00411	copA_1	Cluster_142390
Operon240	NMOILELG_00412	Unknown_Gene	Cluster_142390
Operon240	NMOILELG_00413	Unknown_Gene	Cluster_142390
Operon241	NMOILELG_00414	hemN	Cluster_112330
Operon242	NMOILELG_00415	anr	Cluster_64551
Operon242	NMOILELG_00416	apt	Cluster_64551
Operon243	NMOILELG_00417	recR	Cluster_24111
Operon244	NMOILELG_00418	ybaB	Cluster_142034
Operon245	NMOILELG_00419	ruvB_1	Cluster_95229
Operon246	NMOILELG_00420	Unknown_Gene	Cluster_95229
Operon247	NMOILELG_00421	Unknown_Gene	Cluster_159269
Operon247	NMOILELG_00422	Unknown_Gene	Cluster_159269
Operon248	NMOILELG_00423	Unknown_Gene	Cluster_159269
Operon249	NMOILELG_00424	ligA	Cluster_117631
Operon250	NMOILELG_00425	zipA	Cluster_58471
Operon251	NMOILELG_00426	smc	Cluster_38604
Operon251	NMOILELG_00427	Unknown_Gene	Cluster_38604
Operon252	NMOILELG_00428	Unknown_Gene	Cluster_38604
Operon252	NMOILELG_00429	pucD	Cluster_38604
Operon253	NMOILELG_00430	Unknown_Gene	Cluster_106006
Operon253	NMOILELG_00431	guaD_1	Cluster_106006
Operon254	NMOILELG_00432	aqpZ	Cluster_46554
Operon255	NMOILELG_00433	nanR_1	Cluster_23150
Operon256	NMOILELG_00434	adeP	Cluster_23150
Operon257	NMOILELG_00435	aroP_1	Cluster_5792
Operon258	NMOILELG_00436	Unknown_Gene	Cluster_54591
Operon259	NMOILELG_00437	scpB	NO_CLUSTER_ASSOCIATION_FOUND
Operon259	NMOILELG_00438	scpA	NO_CLUSTER_ASSOCIATION_FOUND
Operon259	NMOILELG_00439	yciO	NO_CLUSTER_ASSOCIATION_FOUND
Operon259	NMOILELG_00440	yciV	NO_CLUSTER_ASSOCIATION_FOUND
Operon260	NMOILELG_00441	yciB	NO_CLUSTER_ASSOCIATION_FOUND
Operon260	NMOILELG_00442	yciI	NO_CLUSTER_ASSOCIATION_FOUND
Operon261	NMOILELG_00443	Unknown_Gene	Cluster_119357
Operon261	NMOILELG_00444	cpxR	Cluster_119357
Operon262	NMOILELG_00445	Unknown_Gene	Cluster_71691
Operon263	NMOILELG_00446	sasA_1	Cluster_141208
Operon264	NMOILELG_00447	ydjA	Cluster_78826
Operon265	NMOILELG_00448	trkI_1	Cluster_78826
Operon266	NMOILELG_00449	Unknown_Gene	Cluster_80616
Operon267	NMOILELG_00450	Unknown_Gene	Cluster_80616
Operon268	NMOILELG_00451	lpxH_1	Cluster_52141
Operon269	NMOILELG_00452	rhaS_1	Cluster_52141
Operon270	NMOILELG_00453	Unknown_Gene	Cluster_79224
Operon271	NMOILELG_00454	Unknown_Gene	Cluster_139253
Operon272	NMOILELG_00455	bamA_1	Cluster_139253
Operon273	NMOILELG_00456	slyA_1	Cluster_105684
