GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2848
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	LCEOCHIL_00001	pmpR_1	Cluster_106935
Operon55	LCEOCHIL_00076	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon55	LCEOCHIL_00077	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon55	LCEOCHIL_00078	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon56	LCEOCHIL_00079	pxpC_1	Cluster_123795
Operon56	LCEOCHIL_00080	Unknown_Gene	Cluster_123795
Operon57	LCEOCHIL_00081	pxpA	Cluster_101420
Operon58	LCEOCHIL_00082	gltC_1	Cluster_101420
Operon59	LCEOCHIL_00083	Unknown_Gene	Cluster_44931
Operon60	LCEOCHIL_00084	kdgR_2	Cluster_43435
Operon61	LCEOCHIL_00085	btuD_1	Cluster_43435
Operon61	LCEOCHIL_00086	potB	Cluster_43435
Operon61	LCEOCHIL_00087	ydcV_1	Cluster_43435
Operon61	LCEOCHIL_00088	Unknown_Gene	Cluster_43435
Operon61	LCEOCHIL_00089	hcnB	Cluster_43435
Operon61	LCEOCHIL_00090	hcnC	Cluster_43435
Operon61	LCEOCHIL_00091	Unknown_Gene	Cluster_43435
Operon62	LCEOCHIL_00092	pcaU	Cluster_80698
Operon63	LCEOCHIL_00093	aroE_1	Cluster_80698
Operon63	LCEOCHIL_00094	kstD_1	Cluster_80698
Operon63	LCEOCHIL_00095	Unknown_Gene	Cluster_80698
Operon63	LCEOCHIL_00096	ksdD	Cluster_80698
Operon64	LCEOCHIL_00097	garP	Cluster_63235
Operon65	LCEOCHIL_00098	Unknown_Gene	Cluster_89325
Operon65	LCEOCHIL_00099	iolX	Cluster_89325
Operon66	LCEOCHIL_00100	iclR_1	Cluster_61629
Operon67	LCEOCHIL_00101	kstD_2	Cluster_61629
Operon68	LCEOCHIL_00102	Unknown_Gene	Cluster_10517
Operon69	LCEOCHIL_00103	Unknown_Gene	Cluster_37404
Operon70	LCEOCHIL_00104	puuC_1	Cluster_61593
Operon71	LCEOCHIL_00105	spuC_1	Cluster_159546
Operon71	LCEOCHIL_00106	Unknown_Gene	Cluster_159546
Operon72	LCEOCHIL_00107	puuP_1	Cluster_35788
Operon73	LCEOCHIL_00108	Unknown_Gene	Cluster_41983
Operon74	LCEOCHIL_00109	Unknown_Gene	Cluster_40114
Operon75	LCEOCHIL_00110	Unknown_Gene	Cluster_40114
Operon76	LCEOCHIL_00111	Unknown_Gene	Cluster_81227
Operon77	LCEOCHIL_00112	cptA	Cluster_81227
Operon78	LCEOCHIL_00113	Unknown_Gene	Cluster_82687
Operon78	LCEOCHIL_00114	pqiB	Cluster_82687
Operon78	LCEOCHIL_00115	pqiA_1	Cluster_82687
Operon78	LCEOCHIL_00116	yebS	Cluster_82687
Operon79	LCEOCHIL_00117	Unknown_Gene	Cluster_82687
Operon80	LCEOCHIL_00118	gltC_2	Cluster_83374
Operon81	LCEOCHIL_00119	Unknown_Gene	Cluster_57677
Operon82	LCEOCHIL_00120	Unknown_Gene	Cluster_57677
Operon83	LCEOCHIL_00121	qseC_1	Cluster_108398
Operon83	LCEOCHIL_00122	qseB_1	Cluster_108398
Operon83	LCEOCHIL_00123	Unknown_Gene	Cluster_108398
Operon83	LCEOCHIL_00124	fabG_1	Cluster_108398
Operon83	LCEOCHIL_00125	Unknown_Gene	Cluster_108398
Operon83	LCEOCHIL_00126	menE	Cluster_108398
Operon83	LCEOCHIL_00127	Unknown_Gene	Cluster_108398
Operon84	LCEOCHIL_00128	Unknown_Gene	Cluster_108398
Operon85	LCEOCHIL_00129	dat	Cluster_53258
Operon86	LCEOCHIL_00130	qseC_2	Cluster_32037
Operon86	LCEOCHIL_00131	qseB_2	Cluster_32037
Operon87	LCEOCHIL_00132	Unknown_Gene	Cluster_32037
Operon87	LCEOCHIL_00133	Unknown_Gene	Cluster_32037
Operon87	LCEOCHIL_00134	Unknown_Gene	Cluster_32037
Operon88	LCEOCHIL_00135	pucB	Cluster_21987
Operon88	LCEOCHIL_00136	pucA_1	Cluster_21987
Operon88	LCEOCHIL_00137	Unknown_Gene	Cluster_21987
Operon88	LCEOCHIL_00138	hcrC	Cluster_21987
Operon88	LCEOCHIL_00139	Unknown_Gene	Cluster_21987
Operon89	LCEOCHIL_00140	dsbD_1	Cluster_21987
Operon89	LCEOCHIL_00141	resA_1	Cluster_21987
Operon89	LCEOCHIL_00142	dsbG	Cluster_21987
Operon90	LCEOCHIL_00143	Unknown_Gene	Cluster_3894
Operon90	LCEOCHIL_00144	lnrL_1	Cluster_3894
Operon91	LCEOCHIL_00145	lgrB	NO_CLUSTER_ASSOCIATION_FOUND
Operon92	LCEOCHIL_00146	nagR_1	Cluster_147729
Operon93	LCEOCHIL_00147	yjaB_2	Cluster_47864
Operon94	LCEOCHIL_00148	lysA_1	Cluster_99894
Operon95	LCEOCHIL_00149	Unknown_Gene	Cluster_99894
Operon96	LCEOCHIL_00150	Unknown_Gene	Cluster_36660
Operon97	LCEOCHIL_00151	gdhB	Cluster_36660
Operon98	LCEOCHIL_00152	ppsR	Cluster_68627
Operon99	LCEOCHIL_00153	ppsA	Cluster_68627
Operon100	LCEOCHIL_00154	Unknown_Gene	Cluster_140342
Operon101	LCEOCHIL_00155	Unknown_Gene	Cluster_53483
Operon101	LCEOCHIL_00156	zntB_1	Cluster_53483
Operon102	LCEOCHIL_00157	tyrR_1	Cluster_73819
Operon103	LCEOCHIL_00158	Unknown_Gene	Cluster_150081
Operon104	LCEOCHIL_00159	arcC1	Cluster_87602
Operon105	LCEOCHIL_00160	arcB	Cluster_138134
Operon106	LCEOCHIL_00161	arcA_1	Cluster_166243
Operon106	LCEOCHIL_00162	arcD_1	Cluster_166243
Operon107	LCEOCHIL_00163	arcD_2	Cluster_15963
Operon108	LCEOCHIL_00164	ybaN	Cluster_149318
Operon109	LCEOCHIL_00165	pigA	Cluster_58817
Operon110	LCEOCHIL_00166	tbp1	NO_CLUSTER_ASSOCIATION_FOUND
Operon111	LCEOCHIL_00167	argC_1	Cluster_107183
Operon112	LCEOCHIL_00168	cysL_1	Cluster_107183
Operon113	LCEOCHIL_00169	Unknown_Gene	Cluster_18024
Operon113	LCEOCHIL_00170	Unknown_Gene	Cluster_18024
Operon114	LCEOCHIL_00171	Unknown_Gene	Cluster_109269
Operon115	LCEOCHIL_00172	Unknown_Gene	Cluster_105072
Operon116	LCEOCHIL_00173	rclR_1	Cluster_105072
Operon117	LCEOCHIL_00174	hin_1	Cluster_10685
Operon117	LCEOCHIL_00175	Unknown_Gene	Cluster_10685
Operon118	LCEOCHIL_00176	Unknown_Gene	Cluster_18131
Operon119	LCEOCHIL_00177	cdhR_1	Cluster_105807
Operon120	LCEOCHIL_00178	Unknown_Gene	Cluster_105807
Operon120	LCEOCHIL_00179	Unknown_Gene	Cluster_105807
Operon121	LCEOCHIL_00180	Unknown_Gene	Cluster_38971
Operon122	LCEOCHIL_00181	Unknown_Gene	Cluster_112120
Operon123	LCEOCHIL_00182	Unknown_Gene	Cluster_13997
Operon123	LCEOCHIL_00183	Unknown_Gene	Cluster_13997
Operon123	LCEOCHIL_00184	Unknown_Gene	Cluster_13997
Operon123	LCEOCHIL_00185	hin_2	Cluster_13997
Operon124	LCEOCHIL_00186	Unknown_Gene	Cluster_13232
Operon125	LCEOCHIL_00187	Unknown_Gene	Cluster_112121
Operon126	LCEOCHIL_00188	Unknown_Gene	Cluster_112121
Operon126	LCEOCHIL_00189	Unknown_Gene	Cluster_112121
Operon126	LCEOCHIL_00190	Unknown_Gene	Cluster_112121
Operon127	LCEOCHIL_00191	Unknown_Gene	Cluster_92581
Operon128	LCEOCHIL_00192	Unknown_Gene	Cluster_156347
Operon128	LCEOCHIL_00193	Unknown_Gene	Cluster_156347
Operon128	LCEOCHIL_00194	Unknown_Gene	Cluster_156347
Operon128	LCEOCHIL_00195	Unknown_Gene	Cluster_156347
Operon129	LCEOCHIL_00196	Unknown_Gene	Cluster_6669
Operon130	LCEOCHIL_00197	Unknown_Gene	Cluster_152557
Operon130	LCEOCHIL_00198	Unknown_Gene	Cluster_152557
Operon131	LCEOCHIL_00199	Unknown_Gene	Cluster_63245
Operon131	LCEOCHIL_00200	Unknown_Gene	Cluster_63245
Operon131	LCEOCHIL_00201	Unknown_Gene	Cluster_63245
Operon132	LCEOCHIL_00202	hin_3	Cluster_63245
Operon132	LCEOCHIL_00203	Unknown_Gene	Cluster_63245
Operon133	LCEOCHIL_00204	acuR_1	Cluster_49722
Operon134	LCEOCHIL_00205	alkJ_1	Cluster_130235
Operon134	LCEOCHIL_00206	yfdE	Cluster_130235
Operon134	LCEOCHIL_00207	echA8_1	Cluster_130235
Operon135	LCEOCHIL_00208	Unknown_Gene	Cluster_25586
Operon136	LCEOCHIL_00209	Unknown_Gene	Cluster_25586
Operon137	LCEOCHIL_00210	Unknown_Gene	Cluster_86528
Operon138	LCEOCHIL_00211	ssuD_1	Cluster_142967
Operon139	LCEOCHIL_00212	nemA_1	Cluster_144660
Operon140	LCEOCHIL_00213	aldA_1	Cluster_48494
Operon141	LCEOCHIL_00214	acuI	Cluster_48494
Operon142	LCEOCHIL_00215	cdhR_2	Cluster_32078
Operon143	LCEOCHIL_00216	pucA_2	Cluster_142188
Operon144	LCEOCHIL_00217	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon144	LCEOCHIL_00218	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon144	LCEOCHIL_00219	iorA_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon145	LCEOCHIL_00220	Unknown_Gene	Cluster_162858
Operon145	LCEOCHIL_00221	rclC	Cluster_162858
Operon146	LCEOCHIL_00222	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon147	LCEOCHIL_00223	Unknown_Gene	Cluster_56979
Operon147	LCEOCHIL_00224	Unknown_Gene	Cluster_56979
Operon148	LCEOCHIL_00225	Unknown_Gene	Cluster_114970
Operon149	LCEOCHIL_00226	Unknown_Gene	Cluster_44347
Operon150	LCEOCHIL_00227	smc_1	Cluster_44347
Operon150	LCEOCHIL_00228	uvrD_1	Cluster_44347
Operon151	LCEOCHIL_00229	intA_1	Cluster_31559
Operon152	LCEOCHIL_00230	Unknown_Gene	Cluster_68715
Operon152	LCEOCHIL_00231	Unknown_Gene	Cluster_68715
Operon152	LCEOCHIL_00232	xerC_1	Cluster_68715
Operon153	LCEOCHIL_00233	smc_2	Cluster_68715
Operon153	LCEOCHIL_00234	Unknown_Gene	Cluster_68715
Operon153	LCEOCHIL_00235	cysQ_1	Cluster_68715
Operon153	LCEOCHIL_00236	Unknown_Gene	Cluster_68715
Operon154	LCEOCHIL_00237	Unknown_Gene	Cluster_45590
Operon155	LCEOCHIL_00238	macA_1	Cluster_129537
Operon156	LCEOCHIL_00239	Unknown_Gene	Cluster_74424
Operon157	LCEOCHIL_00240	fecI_1	Cluster_74424
Operon158	LCEOCHIL_00241	Unknown_Gene	Cluster_84667
Operon159	LCEOCHIL_00242	pvdA_1	Cluster_18968
Operon160	LCEOCHIL_00243	katA	Cluster_160587
Operon160	LCEOCHIL_00244	Unknown_Gene	Cluster_160587
Operon160	LCEOCHIL_00245	sttH_1	Cluster_160587
Operon160	LCEOCHIL_00246	cpo_1	Cluster_160587
Operon161	LCEOCHIL_00247	Unknown_Gene	Cluster_47602
Operon162	LCEOCHIL_00248	Unknown_Gene	Cluster_98155
Operon163	LCEOCHIL_00249	Unknown_Gene	Cluster_98155
Operon164	LCEOCHIL_00250	proQ	Cluster_102939
Operon165	LCEOCHIL_00251	potE_1	Cluster_10155
Operon165	LCEOCHIL_00252	Unknown_Gene	Cluster_10155
Operon166	LCEOCHIL_00253	Unknown_Gene	Cluster_110648
Operon167	LCEOCHIL_00254	ramA_1	Cluster_145402
Operon168	LCEOCHIL_00255	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon169	LCEOCHIL_00256	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon169	LCEOCHIL_00257	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon170	LCEOCHIL_00258	Unknown_Gene	Cluster_138312
Operon171	LCEOCHIL_00259	Unknown_Gene	Cluster_55118
Operon172	LCEOCHIL_00260	Unknown_Gene	Cluster_141119
Operon173	LCEOCHIL_00261	cdhR_3	Cluster_111682
Operon174	LCEOCHIL_00262	Unknown_Gene	Cluster_111682
Operon174	LCEOCHIL_00263	Unknown_Gene	Cluster_111682
Operon175	LCEOCHIL_00264	Unknown_Gene	Cluster_51974
Operon176	LCEOCHIL_00265	dmlR_2	Cluster_128696
Operon177	LCEOCHIL_00266	Unknown_Gene	Cluster_45808
Operon177	LCEOCHIL_00267	Unknown_Gene	Cluster_45808
Operon177	LCEOCHIL_00268	Unknown_Gene	Cluster_45808
Operon178	LCEOCHIL_00269	Unknown_Gene	Cluster_153894
Operon179	LCEOCHIL_00270	Unknown_Gene	Cluster_107020
Operon180	LCEOCHIL_00271	Unknown_Gene	Cluster_46103
Operon180	LCEOCHIL_00272	Unknown_Gene	Cluster_46103
Operon180	LCEOCHIL_00273	Unknown_Gene	Cluster_46103
Operon181	LCEOCHIL_00274	Unknown_Gene	Cluster_46103
Operon182	LCEOCHIL_00275	Unknown_Gene	Cluster_27396
Operon183	LCEOCHIL_00276	Unknown_Gene	Cluster_123797
Operon184	LCEOCHIL_00277	Unknown_Gene	Cluster_46091
Operon184	LCEOCHIL_00278	Unknown_Gene	Cluster_46091
Operon185	LCEOCHIL_00279	Unknown_Gene	Cluster_46091
Operon186	LCEOCHIL_00280	tmk_1	Cluster_123107
Operon187	LCEOCHIL_00281	Unknown_Gene	Cluster_76781
Operon188	LCEOCHIL_00282	ramA_2	Cluster_76781
Operon189	LCEOCHIL_00283	puuP_2	Cluster_116902
Operon190	LCEOCHIL_00284	budB_2	Cluster_65785
Operon191	LCEOCHIL_00285	cynR_1	Cluster_65785
Operon192	LCEOCHIL_00286	araJ	Cluster_130779
Operon193	LCEOCHIL_00287	Unknown_Gene	Cluster_130738
Operon194	LCEOCHIL_00288	Unknown_Gene	Cluster_55444
Operon194	LCEOCHIL_00289	Unknown_Gene	Cluster_55444
Operon195	LCEOCHIL_00290	Unknown_Gene	Cluster_85751
Operon195	LCEOCHIL_00291	Unknown_Gene	Cluster_85751
Operon196	LCEOCHIL_00292	Unknown_Gene	Cluster_116850
Operon197	LCEOCHIL_00293	aroF_1	Cluster_44026
Operon197	LCEOCHIL_00294	ppiC_1	Cluster_44026
Operon197	LCEOCHIL_00295	Unknown_Gene	Cluster_44026
Operon197	LCEOCHIL_00296	yejB_1	Cluster_44026
Operon197	LCEOCHIL_00297	yejE_1	Cluster_44026
Operon198	LCEOCHIL_00298	Unknown_Gene	Cluster_151727
Operon199	LCEOCHIL_00299	norR_1	Cluster_151727
Operon200	LCEOCHIL_00300	Unknown_Gene	Cluster_38228
Operon200	LCEOCHIL_00301	bdhA_1	Cluster_38228
Operon201	LCEOCHIL_00302	eco	Cluster_150067
Operon202	LCEOCHIL_00303	acsA_1	Cluster_87456
Operon203	LCEOCHIL_00304	ppiC_2	Cluster_56498
Operon204	LCEOCHIL_00305	rhtB_1	Cluster_95154
Operon205	LCEOCHIL_00306	rhaR_1	Cluster_95154
Operon206	LCEOCHIL_00307	rhtC_1	Cluster_55771
Operon207	LCEOCHIL_00308	pphB_1	Cluster_134289
Operon208	LCEOCHIL_00309	Unknown_Gene	Cluster_134289
Operon209	LCEOCHIL_00310	ramA_3	Cluster_132262
Operon209	LCEOCHIL_00311	Unknown_Gene	Cluster_132262
Operon210	LCEOCHIL_00312	ogt	Cluster_59304
Operon211	LCEOCHIL_00313	Unknown_Gene	Cluster_132911
Operon211	LCEOCHIL_00314	dmdC_1	Cluster_132911
Operon211	LCEOCHIL_00315	Unknown_Gene	Cluster_132911
Operon211	LCEOCHIL_00316	hcf136_1	Cluster_132911
Operon211	LCEOCHIL_00317	Unknown_Gene	Cluster_132911
Operon211	LCEOCHIL_00318	Unknown_Gene	Cluster_132911
Operon212	LCEOCHIL_00319	Unknown_Gene	Cluster_30755
Operon213	LCEOCHIL_00320	virS	Cluster_30755
Operon214	LCEOCHIL_00321	Unknown_Gene	Cluster_62070
Operon214	LCEOCHIL_00322	hcaC	Cluster_62070
Operon214	LCEOCHIL_00323	Unknown_Gene	Cluster_62070
Operon214	LCEOCHIL_00324	exuT	Cluster_62070
Operon215	LCEOCHIL_00325	kce_1	Cluster_150851
Operon216	LCEOCHIL_00326	tauD_1	Cluster_49299
Operon216	LCEOCHIL_00327	qorA_1	Cluster_49299
Operon217	LCEOCHIL_00328	Unknown_Gene	Cluster_49299
Operon218	LCEOCHIL_00329	Unknown_Gene	Cluster_109118
Operon219	LCEOCHIL_00330	Unknown_Gene	Cluster_109118
Operon220	LCEOCHIL_00331	osmE_1	Cluster_130359
Operon221	LCEOCHIL_00332	Unknown_Gene	Cluster_72801
Operon222	LCEOCHIL_00333	Unknown_Gene	Cluster_72801
Operon223	LCEOCHIL_00334	Unknown_Gene	Cluster_132915
Operon224	LCEOCHIL_00335	Unknown_Gene	Cluster_129321
Operon225	LCEOCHIL_00336	gltP_1	Cluster_53767
Operon225	LCEOCHIL_00337	Unknown_Gene	Cluster_53767
Operon226	LCEOCHIL_00338	Unknown_Gene	Cluster_53767
Operon227	LCEOCHIL_00339	prsE_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon227	LCEOCHIL_00340	hlyB	NO_CLUSTER_ASSOCIATION_FOUND
Operon227	LCEOCHIL_00341	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon227	LCEOCHIL_00342	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon227	LCEOCHIL_00343	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon228	LCEOCHIL_00344	Unknown_Gene	Cluster_68716
Operon228	LCEOCHIL_00345	Unknown_Gene	Cluster_68716
Operon228	LCEOCHIL_00346	xerC_2	Cluster_68716
Operon229	LCEOCHIL_00347	smc_3	Cluster_68716
Operon229	LCEOCHIL_00348	Unknown_Gene	Cluster_68716
Operon229	LCEOCHIL_00349	Unknown_Gene	Cluster_68716
Operon230	LCEOCHIL_00350	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon230	LCEOCHIL_00351	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon231	LCEOCHIL_00352	Unknown_Gene	Cluster_145403
Operon232	LCEOCHIL_00353	Unknown_Gene	Cluster_14876
Operon233	LCEOCHIL_00354	rhaS_1	Cluster_14876
Operon234	LCEOCHIL_00355	Unknown_Gene	Cluster_13167
Operon235	LCEOCHIL_00356	Unknown_Gene	Cluster_40848
Operon236	LCEOCHIL_00357	Unknown_Gene	Cluster_64062
Operon237	LCEOCHIL_00358	Unknown_Gene	Cluster_64062
Operon238	LCEOCHIL_00359	dctB_1	Cluster_84668
Operon238	LCEOCHIL_00360	dctD_1	Cluster_84668
Operon239	LCEOCHIL_00361	kgtP_1	Cluster_82962
Operon240	LCEOCHIL_00362	Unknown_Gene	Cluster_25116
Operon241	LCEOCHIL_00363	Unknown_Gene	Cluster_25116
Operon242	LCEOCHIL_00364	Unknown_Gene	Cluster_103435
Operon243	LCEOCHIL_00365	Unknown_Gene	Cluster_95906
Operon244	LCEOCHIL_00366	Unknown_Gene	Cluster_58447
Operon245	LCEOCHIL_00367	rhaS_2	Cluster_58447
Operon246	LCEOCHIL_00368	aruI_1	Cluster_106304
Operon247	LCEOCHIL_00369	gcvA_1	Cluster_106304
Operon248	LCEOCHIL_00370	Unknown_Gene	Cluster_114065
Operon248	LCEOCHIL_00371	Unknown_Gene	Cluster_114065
Operon249	LCEOCHIL_00372	dmlR_3	Cluster_114065
Operon250	LCEOCHIL_00373	Unknown_Gene	Cluster_15583
Operon251	LCEOCHIL_00374	bmr3	Cluster_15583
Operon252	LCEOCHIL_00375	ttgR	Cluster_41105
Operon253	LCEOCHIL_00376	ttgA	Cluster_41105
Operon253	LCEOCHIL_00377	ttgB_1	Cluster_41105
Operon253	LCEOCHIL_00378	ttgC_1	Cluster_41105
Operon254	LCEOCHIL_00379	nicP_1	Cluster_32201
Operon255	LCEOCHIL_00380	argP_1	Cluster_66744
Operon256	LCEOCHIL_00381	Unknown_Gene	Cluster_62219
Operon257	LCEOCHIL_00382	Unknown_Gene	Cluster_63640
Operon257	LCEOCHIL_00383	catD_1	Cluster_63640
Operon257	LCEOCHIL_00384	pcaB	Cluster_63640
Operon257	LCEOCHIL_00385	kgtP_2	Cluster_63640
Operon258	LCEOCHIL_00386	pcaF_1	Cluster_48488
Operon258	LCEOCHIL_00387	catJ	Cluster_48488
Operon258	LCEOCHIL_00388	catI	Cluster_48488
Operon259	LCEOCHIL_00389	pcaK	Cluster_27532
Operon260	LCEOCHIL_00390	pcaR	Cluster_11950
Operon261	LCEOCHIL_00391	Unknown_Gene	Cluster_11950
Operon262	LCEOCHIL_00392	pitA_1	Cluster_29551
Operon263	LCEOCHIL_00393	Unknown_Gene	Cluster_72805
Operon264	LCEOCHIL_00394	mcpG	Cluster_72805
Operon265	LCEOCHIL_00395	pimC	Cluster_40623
Operon265	LCEOCHIL_00396	Unknown_Gene	Cluster_40623
Operon265	LCEOCHIL_00397	Unknown_Gene	Cluster_40623
Operon266	LCEOCHIL_00398	Unknown_Gene	Cluster_85153
Operon267	LCEOCHIL_00399	purU_1	Cluster_35155
Operon268	LCEOCHIL_00400	Unknown_Gene	Cluster_35155
Operon269	LCEOCHIL_00401	sbcB	Cluster_135993
Operon270	LCEOCHIL_00402	Unknown_Gene	Cluster_100681
Operon271	LCEOCHIL_00403	Unknown_Gene	Cluster_67636
Operon272	LCEOCHIL_00404	pykA	Cluster_67636
Operon273	LCEOCHIL_00405	tphA1I	Cluster_43713
Operon274	LCEOCHIL_00406	fumB	Cluster_43713
Operon275	LCEOCHIL_00407	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon276	LCEOCHIL_00408	Unknown_Gene	Cluster_137403
Operon277	LCEOCHIL_00409	merT	Cluster_137403
Operon277	LCEOCHIL_00410	merP	Cluster_137403
Operon277	LCEOCHIL_00411	merC	Cluster_137403
Operon277	LCEOCHIL_00412	merA	Cluster_137403
Operon277	LCEOCHIL_00413	Unknown_Gene	Cluster_137403
Operon277	LCEOCHIL_00414	Unknown_Gene	Cluster_137403
Operon277	LCEOCHIL_00415	Unknown_Gene	Cluster_137403
Operon278	LCEOCHIL_00416	Unknown_Gene	Cluster_100726
