GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2171
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	ALBICJPK_00001	bauC	Cluster_135751
Operon76	ALBICJPK_00122	rpsD	Cluster_159047
Operon76	ALBICJPK_00123	rpsK	Cluster_159047
Operon76	ALBICJPK_00124	rpsM	Cluster_159047
Operon77	ALBICJPK_00125	rpmJ	Cluster_56461
Operon77	ALBICJPK_00126	secY	Cluster_56461
Operon77	ALBICJPK_00127	rplO	Cluster_56461
Operon77	ALBICJPK_00128	rpmD	Cluster_56461
Operon77	ALBICJPK_00129	rpsE	Cluster_56461
Operon77	ALBICJPK_00130	rplR	Cluster_56461
Operon77	ALBICJPK_00131	rplF	Cluster_56461
Operon77	ALBICJPK_00132	rpsH	Cluster_56461
Operon78	ALBICJPK_00133	rpsN	Cluster_130094
Operon78	ALBICJPK_00134	rplE	Cluster_130094
Operon78	ALBICJPK_00135	rplX	Cluster_130094
Operon78	ALBICJPK_00136	rplN	Cluster_130094
Operon78	ALBICJPK_00137	rpsQ	Cluster_130094
Operon78	ALBICJPK_00138	rpmC	Cluster_130094
Operon78	ALBICJPK_00139	rplP	Cluster_130094
Operon78	ALBICJPK_00140	rpsC	Cluster_130094
Operon78	ALBICJPK_00141	rplV	Cluster_130094
Operon78	ALBICJPK_00142	rpsS	Cluster_130094
Operon78	ALBICJPK_00143	rplB	Cluster_130094
Operon78	ALBICJPK_00144	rplW	Cluster_130094
Operon78	ALBICJPK_00145	rplD	Cluster_130094
Operon78	ALBICJPK_00146	rplC	Cluster_130094
Operon79	ALBICJPK_00147	rpsJ	Cluster_87585
Operon80	ALBICJPK_00148	tufA_1	Cluster_112385
Operon80	ALBICJPK_00149	fusA	Cluster_112385
Operon80	ALBICJPK_00150	rpsG	Cluster_112385
Operon81	ALBICJPK_00151	rpsL	Cluster_55151
Operon82	ALBICJPK_00152	rpoC	Cluster_142668
Operon83	ALBICJPK_00153	rpoB	Cluster_52288
Operon84	ALBICJPK_00154	rplL	Cluster_131227
Operon85	ALBICJPK_00155	rplJ	Cluster_60586
Operon86	ALBICJPK_00156	rplA	Cluster_103434
Operon86	ALBICJPK_00157	rplK	Cluster_103434
Operon87	ALBICJPK_00158	nusG	Cluster_143496
Operon88	ALBICJPK_00159	secE	Cluster_158181
Operon88	ALBICJPK_00160	Unknown_Gene	Cluster_158181
Operon89	ALBICJPK_00161	tufA_2	Cluster_130792
Operon90	ALBICJPK_00162	Unknown_Gene	Cluster_81271
Operon90	ALBICJPK_00163	Unknown_Gene	Cluster_81271
Operon90	ALBICJPK_00164	Unknown_Gene	Cluster_81271
Operon91	ALBICJPK_00165	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon91	ALBICJPK_00166	coaX	NO_CLUSTER_ASSOCIATION_FOUND
Operon91	ALBICJPK_00167	birA	NO_CLUSTER_ASSOCIATION_FOUND
Operon92	ALBICJPK_00168	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon93	ALBICJPK_00169	bioF_1	Cluster_1211
Operon93	ALBICJPK_00170	tdh	Cluster_1211
Operon94	ALBICJPK_00171	rmlA	Cluster_73240
Operon94	ALBICJPK_00172	rfbD	Cluster_73240
Operon94	ALBICJPK_00173	rfbB	Cluster_73240
Operon95	ALBICJPK_00174	pglF	Cluster_142543
Operon96	ALBICJPK_00175	wecA	Cluster_141763
Operon96	ALBICJPK_00176	gnu	Cluster_141763
Operon96	ALBICJPK_00177	Unknown_Gene	Cluster_141763
Operon96	ALBICJPK_00178	wbpI	Cluster_141763
Operon96	ALBICJPK_00179	wbjC	Cluster_141763
Operon96	ALBICJPK_00180	capD	Cluster_141763
Operon96	ALBICJPK_00181	Unknown_Gene	Cluster_141763
Operon97	ALBICJPK_00182	Unknown_Gene	Cluster_19988
Operon97	ALBICJPK_00183	Unknown_Gene	Cluster_19988
Operon97	ALBICJPK_00184	rfbX	Cluster_19988
Operon97	ALBICJPK_00185	wzzE	Cluster_19988
Operon98	ALBICJPK_00186	Unknown_Gene	Cluster_115442
Operon99	ALBICJPK_00187	Unknown_Gene	Cluster_1314
Operon99	ALBICJPK_00188	ihfB	Cluster_1314
Operon100	ALBICJPK_00189	rpsA	Cluster_99558
Operon101	ALBICJPK_00190	cmk	Cluster_75774
Operon101	ALBICJPK_00191	aroA	Cluster_75774
Operon102	ALBICJPK_00192	pheA	Cluster_33580
Operon102	ALBICJPK_00193	serC	Cluster_33580
Operon103	ALBICJPK_00194	gyrA	Cluster_22311
Operon104	ALBICJPK_00195	mtnA	Cluster_109069
Operon105	ALBICJPK_00196	ubiG	Cluster_109069
Operon105	ALBICJPK_00197	mupP	Cluster_109069
Operon106	ALBICJPK_00198	yciK	Cluster_79435
Operon107	ALBICJPK_00199	Unknown_Gene	Cluster_168591
Operon107	ALBICJPK_00200	Unknown_Gene	Cluster_168591
Operon108	ALBICJPK_00201	bmrA	Cluster_49665
Operon108	ALBICJPK_00202	Unknown_Gene	Cluster_49665
Operon108	ALBICJPK_00203	Unknown_Gene	Cluster_49665
Operon109	ALBICJPK_00204	bolA	Cluster_80552
Operon109	ALBICJPK_00205	Unknown_Gene	Cluster_80552
Operon110	ALBICJPK_00206	fumC_1	Cluster_80552
Operon111	ALBICJPK_00207	Unknown_Gene	Cluster_135015
Operon112	ALBICJPK_00208	yhbE	Cluster_33862
Operon113	ALBICJPK_00209	Unknown_Gene	Cluster_91725
Operon114	ALBICJPK_00210	mnmC_1	Cluster_91725
Operon115	ALBICJPK_00211	purF_1	Cluster_96418
Operon115	ALBICJPK_00212	gshAB	Cluster_96418
Operon116	ALBICJPK_00213	Unknown_Gene	Cluster_67977
Operon117	ALBICJPK_00214	Unknown_Gene	Cluster_128661
Operon118	ALBICJPK_00215	csrA	Cluster_102694
Operon119	ALBICJPK_00216	hcaB_1	Cluster_57248
Operon120	ALBICJPK_00217	Unknown_Gene	Cluster_57248
Operon121	ALBICJPK_00218	actP_1	Cluster_51214
Operon121	ALBICJPK_00219	yjcH_1	Cluster_51214
Operon122	ALBICJPK_00220	Unknown_Gene	Cluster_56106
Operon123	ALBICJPK_00221	Unknown_Gene	Cluster_56106
Operon124	ALBICJPK_00222	Unknown_Gene	Cluster_63615
Operon125	ALBICJPK_00223	Unknown_Gene	Cluster_63615
Operon125	ALBICJPK_00224	Unknown_Gene	Cluster_63615
Operon126	ALBICJPK_00225	Unknown_Gene	Cluster_85778
Operon127	ALBICJPK_00226	lpxL	Cluster_109031
Operon128	ALBICJPK_00227	minC	Cluster_109031
Operon129	ALBICJPK_00228	minD	Cluster_109763
Operon129	ALBICJPK_00229	minE	Cluster_109763
Operon130	ALBICJPK_00230	rluA	Cluster_82556
Operon131	ALBICJPK_00231	apeB	Cluster_72788
Operon132	ALBICJPK_00232	Unknown_Gene	Cluster_68937
Operon132	ALBICJPK_00233	Unknown_Gene	Cluster_68937
Operon133	ALBICJPK_00234	phnR	Cluster_27642
Operon134	ALBICJPK_00235	Unknown_Gene	Cluster_27642
Operon135	ALBICJPK_00236	Unknown_Gene	Cluster_96548
Operon135	ALBICJPK_00237	Unknown_Gene	Cluster_96548
Operon135	ALBICJPK_00238	cysW_1	Cluster_96548
Operon135	ALBICJPK_00239	potA_1	Cluster_96548
Operon135	ALBICJPK_00240	Unknown_Gene	Cluster_96548
Operon136	ALBICJPK_00241	ppsC_1	Cluster_89941
Operon137	ALBICJPK_00242	prc	Cluster_89941
Operon138	ALBICJPK_00243	Unknown_Gene	Cluster_104593
Operon139	ALBICJPK_00244	Unknown_Gene	Cluster_104831
Operon139	ALBICJPK_00245	Unknown_Gene	Cluster_104831
Operon140	ALBICJPK_00246	Unknown_Gene	Cluster_34154
Operon141	ALBICJPK_00247	fklB_1	Cluster_42288
Operon142	ALBICJPK_00248	gbpR	Cluster_36145
Operon143	ALBICJPK_00249	nirD	Cluster_34394
Operon143	ALBICJPK_00250	nasD	Cluster_34394
Operon144	ALBICJPK_00251	napA	Cluster_38899
Operon145	ALBICJPK_00252	map_1	Cluster_38899
Operon146	ALBICJPK_00253	Unknown_Gene	Cluster_72017
Operon146	ALBICJPK_00254	Unknown_Gene	Cluster_72017
Operon147	ALBICJPK_00255	Unknown_Gene	Cluster_53093
Operon147	ALBICJPK_00256	Unknown_Gene	Cluster_53093
Operon148	ALBICJPK_00257	rdgC	Cluster_53093
Operon149	ALBICJPK_00258	gdx	Cluster_21587
Operon150	ALBICJPK_00259	lplT	Cluster_121559
Operon151	ALBICJPK_00260	Unknown_Gene	Cluster_95001
Operon152	ALBICJPK_00261	Unknown_Gene	Cluster_95001
Operon152	ALBICJPK_00262	fabG_1	Cluster_95001
Operon153	ALBICJPK_00263	pgrR	Cluster_5563
Operon154	ALBICJPK_00264	mdrP	Cluster_51551
Operon155	ALBICJPK_00265	rcsC_2	Cluster_98629
Operon156	ALBICJPK_00266	Unknown_Gene	Cluster_343
Operon157	ALBICJPK_00267	Unknown_Gene	Cluster_424
Operon158	ALBICJPK_00268	Unknown_Gene	Cluster_424
Operon159	ALBICJPK_00269	Unknown_Gene	Cluster_43190
Operon160	ALBICJPK_00270	Unknown_Gene	Cluster_79893
Operon161	ALBICJPK_00271	dmlR_1	Cluster_106795
Operon162	ALBICJPK_00272	Unknown_Gene	Cluster_106795
Operon163	ALBICJPK_00273	btuE_1	Cluster_156855
Operon163	ALBICJPK_00274	Unknown_Gene	Cluster_156855
Operon163	ALBICJPK_00275	Unknown_Gene	Cluster_156855
Operon164	ALBICJPK_00276	Unknown_Gene	Cluster_145232
Operon165	ALBICJPK_00277	Unknown_Gene	Cluster_76679
Operon166	ALBICJPK_00278	cobS	Cluster_6824
Operon166	ALBICJPK_00279	cobC	Cluster_6824
Operon166	ALBICJPK_00280	cobT	Cluster_6824
Operon166	ALBICJPK_00281	cobP	Cluster_6824
Operon166	ALBICJPK_00282	cobQ	Cluster_6824
Operon166	ALBICJPK_00283	hisC_2	Cluster_6824
Operon166	ALBICJPK_00284	cobD	Cluster_6824
Operon166	ALBICJPK_00285	bluB	Cluster_6824
Operon166	ALBICJPK_00286	cbiA	Cluster_6824
Operon166	ALBICJPK_00287	cobO_1	Cluster_6824
Operon167	ALBICJPK_00288	Unknown_Gene	Cluster_6824
Operon168	ALBICJPK_00289	Unknown_Gene	Cluster_88135
Operon169	ALBICJPK_00290	mepS	Cluster_97912
Operon170	ALBICJPK_00291	hda	Cluster_68469
Operon171	ALBICJPK_00292	Unknown_Gene	Cluster_21988
Operon171	ALBICJPK_00293	Unknown_Gene	Cluster_21988
Operon172	ALBICJPK_00294	purM	Cluster_21988
Operon172	ALBICJPK_00295	purN	Cluster_21988
Operon172	ALBICJPK_00296	Unknown_Gene	Cluster_21988
Operon173	ALBICJPK_00297	Unknown_Gene	Cluster_59622
Operon174	ALBICJPK_00298	fdhL	Cluster_39328
Operon174	ALBICJPK_00299	Unknown_Gene	Cluster_39328
Operon174	ALBICJPK_00300	Unknown_Gene	Cluster_39328
Operon175	ALBICJPK_00301	Unknown_Gene	Cluster_100031
Operon175	ALBICJPK_00302	mazG	Cluster_100031
Operon176	ALBICJPK_00303	relA	Cluster_119625
Operon177	ALBICJPK_00304	rlmD	Cluster_40540
Operon178	ALBICJPK_00305	Unknown_Gene	Cluster_40540
Operon179	ALBICJPK_00306	pfeS	Cluster_62420
Operon179	ALBICJPK_00307	ompR_1	Cluster_62420
Operon180	ALBICJPK_00308	barA	Cluster_62420
Operon181	ALBICJPK_00309	ldhA	Cluster_133574
Operon181	ALBICJPK_00310	Unknown_Gene	Cluster_133574
Operon181	ALBICJPK_00311	Unknown_Gene	Cluster_133574
Operon182	ALBICJPK_00312	Unknown_Gene	Cluster_51279
Operon183	ALBICJPK_00313	Unknown_Gene	Cluster_51279
Operon184	ALBICJPK_00314	serA	Cluster_72337
Operon185	ALBICJPK_00315	Unknown_Gene	Cluster_72337
Operon185	ALBICJPK_00316	ycgM	Cluster_72337
Operon186	ALBICJPK_00317	yjiK_1	Cluster_67133
Operon187	ALBICJPK_00318	yjiK_2	Cluster_123775
Operon188	ALBICJPK_00319	rpiA	Cluster_92423
Operon189	ALBICJPK_00320	ilvA_1	Cluster_92423
Operon190	ALBICJPK_00321	Unknown_Gene	Cluster_85082
Operon191	ALBICJPK_00322	Unknown_Gene	Cluster_88712
Operon192	ALBICJPK_00323	rppH	Cluster_88712
Operon192	ALBICJPK_00324	ptsP	Cluster_88712
Operon193	ALBICJPK_00325	Unknown_Gene	Cluster_95206
Operon194	ALBICJPK_00326	Unknown_Gene	Cluster_95206
Operon194	ALBICJPK_00327	lgt	Cluster_95206
Operon195	ALBICJPK_00328	thyA	Cluster_153038
Operon196	ALBICJPK_00329	zntR	Cluster_127970
Operon197	ALBICJPK_00330	cadA	Cluster_127970
Operon197	ALBICJPK_00331	cmpR_1	Cluster_127970
Operon198	ALBICJPK_00332	cysA_1	Cluster_48728
Operon198	ALBICJPK_00333	Unknown_Gene	Cluster_48728
Operon198	ALBICJPK_00334	Unknown_Gene	Cluster_48728
Operon199	ALBICJPK_00335	Unknown_Gene	Cluster_150840
Operon199	ALBICJPK_00336	Unknown_Gene	Cluster_150840
Operon200	ALBICJPK_00337	folA	Cluster_150840
Operon201	ALBICJPK_00338	tcyP	Cluster_44885
Operon202	ALBICJPK_00339	Unknown_Gene	Cluster_44885
Operon203	ALBICJPK_00340	azoR1_1	Cluster_90587
Operon204	ALBICJPK_00341	hdfR_1	Cluster_90587
Operon205	ALBICJPK_00342	ilvD	Cluster_37764
Operon206	ALBICJPK_00343	rlmI_1	Cluster_102000
Operon207	ALBICJPK_00344	Unknown_Gene	Cluster_102000
Operon207	ALBICJPK_00345	mutM	Cluster_102000
Operon208	ALBICJPK_00346	fdx_1	Cluster_110500
Operon209	ALBICJPK_00347	coaD	Cluster_108344
Operon210	ALBICJPK_00348	Unknown_Gene	Cluster_82796
Operon210	ALBICJPK_00349	Unknown_Gene	Cluster_82796
Operon210	ALBICJPK_00350	calB_1	Cluster_82796
Operon211	ALBICJPK_00351	Unknown_Gene	Cluster_82796
Operon211	ALBICJPK_00352	sseB	Cluster_82796
Operon212	ALBICJPK_00353	Unknown_Gene	Cluster_146660
Operon213	ALBICJPK_00354	Unknown_Gene	Cluster_123549
Operon213	ALBICJPK_00355	Unknown_Gene	Cluster_123549
Operon214	ALBICJPK_00356	rsmD	Cluster_48480
Operon214	ALBICJPK_00357	Unknown_Gene	Cluster_48480
Operon214	ALBICJPK_00358	Unknown_Gene	Cluster_48480
Operon215	ALBICJPK_00359	ftsY	Cluster_48480
Operon215	ALBICJPK_00360	ftsE	Cluster_48480
Operon215	ALBICJPK_00361	ftsX	Cluster_48480
Operon216	ALBICJPK_00362	rpoH	Cluster_109040
Operon217	ALBICJPK_00363	mtgA	Cluster_142682
Operon218	ALBICJPK_00364	Unknown_Gene	Cluster_142682
Operon219	ALBICJPK_00365	Unknown_Gene	Cluster_114762
Operon220	ALBICJPK_00366	thiG	Cluster_150839
Operon220	ALBICJPK_00367	trmB	Cluster_150839
Operon221	ALBICJPK_00368	Unknown_Gene	Cluster_117537
Operon221	ALBICJPK_00369	hemW	Cluster_117537
Operon221	ALBICJPK_00370	rdgB	Cluster_117537
Operon221	ALBICJPK_00371	Unknown_Gene	Cluster_117537
Operon221	ALBICJPK_00372	Unknown_Gene	Cluster_117537
Operon221	ALBICJPK_00373	metXS	Cluster_117537
Operon222	ALBICJPK_00374	Unknown_Gene	Cluster_141935
Operon222	ALBICJPK_00375	proC	Cluster_141935
Operon222	ALBICJPK_00376	yggS	Cluster_141935
Operon223	ALBICJPK_00377	pilT	Cluster_141935
Operon224	ALBICJPK_00378	Unknown_Gene	Cluster_74429
Operon225	ALBICJPK_00379	Unknown_Gene	Cluster_74429
Operon226	ALBICJPK_00380	ftsN	Cluster_64928
Operon226	ALBICJPK_00381	argS	Cluster_64928
Operon227	ALBICJPK_00382	priA	Cluster_73456
Operon228	ALBICJPK_00383	rpmE	Cluster_73456
Operon228	ALBICJPK_00384	Unknown_Gene	Cluster_73456
Operon229	ALBICJPK_00385	maeB	Cluster_67998
Operon230	ALBICJPK_00386	mrcA	Cluster_151936
Operon231	ALBICJPK_00387	Unknown_Gene	Cluster_18909
Operon232	ALBICJPK_00388	Unknown_Gene	Cluster_18909
Operon233	ALBICJPK_00389	Unknown_Gene	Cluster_9600
Operon233	ALBICJPK_00390	Unknown_Gene	Cluster_9600
Operon233	ALBICJPK_00391	Unknown_Gene	Cluster_9600
Operon233	ALBICJPK_00392	pilQ	Cluster_9600
Operon233	ALBICJPK_00393	aroK	Cluster_9600
Operon234	ALBICJPK_00394	aroB	Cluster_143263
Operon234	ALBICJPK_00395	damX	Cluster_143263
Operon235	ALBICJPK_00396	gltB	Cluster_21140
Operon236	ALBICJPK_00397	gltD_1	Cluster_100539
Operon237	ALBICJPK_00398	hemE	Cluster_60931
Operon238	ALBICJPK_00399	ygiW	Cluster_105594
Operon239	ALBICJPK_00400	ynfM	Cluster_110440
Operon240	ALBICJPK_00401	benM_1	Cluster_110440
Operon241	ALBICJPK_00402	soj_1	Cluster_129832
Operon242	ALBICJPK_00403	trxC	Cluster_155949
Operon242	ALBICJPK_00404	selO	Cluster_155949
Operon243	ALBICJPK_00405	mscK	Cluster_164897
Operon243	ALBICJPK_00406	nhaP2_1	Cluster_164897
Operon244	ALBICJPK_00407	betA_1	Cluster_132150
Operon245	ALBICJPK_00408	betB_1	Cluster_161762
Operon245	ALBICJPK_00409	betI_1	Cluster_161762
Operon246	ALBICJPK_00410	caiT	Cluster_12925
Operon247	ALBICJPK_00411	Unknown_Gene	Cluster_104830
Operon248	ALBICJPK_00412	Unknown_Gene	Cluster_132155
Operon248	ALBICJPK_00413	Unknown_Gene	Cluster_132155
Operon249	ALBICJPK_00414	envC	Cluster_87130
Operon250	ALBICJPK_00415	gpmI	Cluster_56858
Operon251	ALBICJPK_00416	yibN	Cluster_56858
Operon251	ALBICJPK_00417	grxC	Cluster_56858
Operon251	ALBICJPK_00418	secB	Cluster_56858
Operon252	ALBICJPK_00419	trmL	Cluster_133577
Operon253	ALBICJPK_00420	Unknown_Gene	Cluster_133577
Operon254	ALBICJPK_00421	glnG	Cluster_22432
Operon254	ALBICJPK_00422	glnL	Cluster_22432
Operon255	ALBICJPK_00423	glnA	Cluster_13478
Operon256	ALBICJPK_00424	thiI	Cluster_13478
Operon257	ALBICJPK_00425	typA	Cluster_97279
Operon258	ALBICJPK_00426	Unknown_Gene	Cluster_123090
Operon259	ALBICJPK_00427	malP	Cluster_123090
Operon260	ALBICJPK_00428	fbp_1	Cluster_46705
Operon260	ALBICJPK_00429	Unknown_Gene	Cluster_46705
Operon261	ALBICJPK_00430	Unknown_Gene	Cluster_49730
Operon261	ALBICJPK_00431	blc_1	Cluster_49730
Operon262	ALBICJPK_00432	Unknown_Gene	Cluster_109837
Operon263	ALBICJPK_00433	dasR	Cluster_109837
Operon263	ALBICJPK_00434	ves	Cluster_109837
Operon264	ALBICJPK_00435	hutU	Cluster_8706
Operon265	ALBICJPK_00436	hutH	Cluster_111963
Operon266	ALBICJPK_00437	proY_1	Cluster_78947
Operon266	ALBICJPK_00438	hutI	Cluster_78947
Operon266	ALBICJPK_00439	Unknown_Gene	Cluster_78947
Operon267	ALBICJPK_00440	pip	Cluster_73225
Operon267	ALBICJPK_00441	dtd	Cluster_73225
Operon268	ALBICJPK_00442	mdoG	Cluster_28117
Operon268	ALBICJPK_00443	opgH	Cluster_28117
Operon269	ALBICJPK_00444	fliY_1	Cluster_33223
Operon270	ALBICJPK_00445	Unknown_Gene	Cluster_131266
Operon270	ALBICJPK_00446	glnQ_1	Cluster_131266
Operon271	ALBICJPK_00447	mcpQ_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon272	ALBICJPK_00448	rlmM	Cluster_50903
Operon273	ALBICJPK_00449	acnA	Cluster_50903
Operon274	ALBICJPK_00450	aer_1	Cluster_43113
Operon275	ALBICJPK_00451	Unknown_Gene	Cluster_149341
Operon276	ALBICJPK_00452	Unknown_Gene	Cluster_141928
Operon277	ALBICJPK_00453	Unknown_Gene	Cluster_111145
Operon278	ALBICJPK_00454	Unknown_Gene	Cluster_135754
Operon279	ALBICJPK_00455	amtB_1	Cluster_29895
Operon280	ALBICJPK_00456	yqjD_1	Cluster_29895
