GENES WITH MULTIPLE OCCURRENCES(Gene -> Occurrence)
Unknown_Gene	2071
*****************************************************
LOCUS TAG TO GENE LIST
Operon1	OMAKBKMK_00001	fatA	Cluster_100869
Operon45	OMAKBKMK_00057	lpxK	Cluster_136736
Operon45	OMAKBKMK_00058	Unknown_Gene	Cluster_136736
Operon45	OMAKBKMK_00059	kdsB	Cluster_136736
Operon45	OMAKBKMK_00060	Unknown_Gene	Cluster_136736
Operon45	OMAKBKMK_00061	murB	Cluster_136736
Operon46	OMAKBKMK_00062	rne	NO_CLUSTER_ASSOCIATION_FOUND
Operon47	OMAKBKMK_00063	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon48	OMAKBKMK_00064	rluC	Cluster_45208
Operon48	OMAKBKMK_00065	ppaX	Cluster_45208
Operon48	OMAKBKMK_00066	Unknown_Gene	Cluster_45208
Operon49	OMAKBKMK_00067	yceF	Cluster_119809
Operon50	OMAKBKMK_00068	yceD	Cluster_119809
Operon50	OMAKBKMK_00069	rpmF	Cluster_119809
Operon50	OMAKBKMK_00070	plsX	Cluster_119809
Operon51	OMAKBKMK_00071	fabD_1	Cluster_97916
Operon51	OMAKBKMK_00072	fabG_1	Cluster_97916
Operon52	OMAKBKMK_00073	acpP	Cluster_58142
Operon53	OMAKBKMK_00074	fabF	Cluster_71074
Operon53	OMAKBKMK_00075	pabC	Cluster_71074
Operon53	OMAKBKMK_00076	mltG	Cluster_71074
Operon53	OMAKBKMK_00077	tmk_1	Cluster_71074
Operon53	OMAKBKMK_00078	Unknown_Gene	Cluster_71074
Operon53	OMAKBKMK_00079	ycfH	Cluster_71074
Operon54	OMAKBKMK_00080	sufS	Cluster_135331
Operon55	OMAKBKMK_00081	Unknown_Gene	Cluster_135331
Operon56	OMAKBKMK_00082	moaA_1	Cluster_112079
Operon57	OMAKBKMK_00083	Unknown_Gene	Cluster_140159
Operon57	OMAKBKMK_00084	Unknown_Gene	Cluster_140159
Operon58	OMAKBKMK_00085	Unknown_Gene	Cluster_135263
Operon59	OMAKBKMK_00086	tyrB_1	Cluster_34595
Operon60	OMAKBKMK_00087	uvrB	Cluster_34595
Operon61	OMAKBKMK_00088	gltX	Cluster_85892
Operon62	OMAKBKMK_00089	Unknown_Gene	Cluster_44339
Operon63	OMAKBKMK_00090	Unknown_Gene	Cluster_136511
Operon64	OMAKBKMK_00091	Unknown_Gene	Cluster_152531
Operon64	OMAKBKMK_00092	Unknown_Gene	Cluster_152531
Operon65	OMAKBKMK_00093	Unknown_Gene	Cluster_142381
Operon65	OMAKBKMK_00094	Unknown_Gene	Cluster_142381
Operon66	OMAKBKMK_00095	Unknown_Gene	Cluster_73143
Operon66	OMAKBKMK_00096	rutD	Cluster_73143
Operon66	OMAKBKMK_00097	Unknown_Gene	Cluster_73143
Operon67	OMAKBKMK_00098	dusC	Cluster_153226
Operon68	OMAKBKMK_00099	ibpB	Cluster_83945
Operon69	OMAKBKMK_00100	Unknown_Gene	Cluster_145352
Operon70	OMAKBKMK_00101	cmpR_1	Cluster_95132
Operon71	OMAKBKMK_00102	leuC1	Cluster_95132
Operon71	OMAKBKMK_00103	leuD1	Cluster_95132
Operon72	OMAKBKMK_00104	COQ5	Cluster_90734
Operon73	OMAKBKMK_00105	leuB	Cluster_151041
Operon74	OMAKBKMK_00106	asd	Cluster_143743
Operon75	OMAKBKMK_00107	usg	Cluster_86297
Operon76	OMAKBKMK_00108	Unknown_Gene	Cluster_138639
Operon77	OMAKBKMK_00109	truA	Cluster_118447
Operon78	OMAKBKMK_00110	trpF	Cluster_146188
Operon79	OMAKBKMK_00111	accD	Cluster_51161
Operon79	OMAKBKMK_00112	folC	Cluster_51161
Operon79	OMAKBKMK_00113	dedD	Cluster_51161
Operon80	OMAKBKMK_00114	Unknown_Gene	Cluster_105054
Operon80	OMAKBKMK_00115	purF	Cluster_105054
Operon80	OMAKBKMK_00116	metZ	Cluster_105054
Operon80	OMAKBKMK_00117	gdhI	Cluster_105054
Operon81	OMAKBKMK_00118	Unknown_Gene	Cluster_50560
Operon82	OMAKBKMK_00119	Unknown_Gene	Cluster_130922
Operon83	OMAKBKMK_00120	Unknown_Gene	Cluster_116374
Operon84	OMAKBKMK_00121	Unknown_Gene	Cluster_90125
Operon85	OMAKBKMK_00122	Unknown_Gene	Cluster_82739
Operon86	OMAKBKMK_00123	Unknown_Gene	Cluster_32232
Operon86	OMAKBKMK_00124	Unknown_Gene	Cluster_32232
Operon86	OMAKBKMK_00125	clcA	Cluster_32232
Operon87	OMAKBKMK_00126	Unknown_Gene	Cluster_32232
Operon88	OMAKBKMK_00127	Unknown_Gene	Cluster_113533
Operon88	OMAKBKMK_00128	Unknown_Gene	Cluster_113533
Operon88	OMAKBKMK_00129	Unknown_Gene	Cluster_113533
Operon89	OMAKBKMK_00130	trkI_1	Cluster_43791
Operon90	OMAKBKMK_00131	fadH	Cluster_43791
Operon91	OMAKBKMK_00132	Unknown_Gene	Cluster_137605
Operon92	OMAKBKMK_00133	yodB	Cluster_90733
Operon93	OMAKBKMK_00134	Unknown_Gene	Cluster_158852
Operon94	OMAKBKMK_00135	nadK	Cluster_158852
Operon94	OMAKBKMK_00136	apaH_1	Cluster_158852
Operon94	OMAKBKMK_00137	glpG	Cluster_158852
Operon94	OMAKBKMK_00138	Unknown_Gene	Cluster_158852
Operon94	OMAKBKMK_00139	Unknown_Gene	Cluster_158852
Operon94	OMAKBKMK_00140	pepN	Cluster_158852
Operon95	OMAKBKMK_00141	hcf136_1	Cluster_39673
Operon96	OMAKBKMK_00142	Unknown_Gene	NO_CLUSTER_ASSOCIATION_FOUND
Operon97	OMAKBKMK_00143	dctA2_1	NO_CLUSTER_ASSOCIATION_FOUND
Operon98	OMAKBKMK_00144	nicP_1	Cluster_139457
Operon99	OMAKBKMK_00145	Unknown_Gene	Cluster_134273
Operon100	OMAKBKMK_00146	Unknown_Gene	Cluster_34013
Operon101	OMAKBKMK_00147	fadJ_1	Cluster_34013
Operon102	OMAKBKMK_00148	plsC	Cluster_105019
Operon103	OMAKBKMK_00149	corA	Cluster_143736
Operon104	OMAKBKMK_00150	Unknown_Gene	Cluster_10203
Operon105	OMAKBKMK_00151	Unknown_Gene	Cluster_10203
Operon106	OMAKBKMK_00152	Unknown_Gene	Cluster_70620
Operon107	OMAKBKMK_00153	Unknown_Gene	Cluster_74645
Operon108	OMAKBKMK_00154	Unknown_Gene	Cluster_78519
Operon109	OMAKBKMK_00155	Unknown_Gene	Cluster_98826
Operon110	OMAKBKMK_00156	zupT_1	Cluster_98826
Operon110	OMAKBKMK_00157	Unknown_Gene	Cluster_98826
Operon111	OMAKBKMK_00158	Unknown_Gene	Cluster_145947
Operon111	OMAKBKMK_00159	Unknown_Gene	Cluster_145947
Operon112	OMAKBKMK_00160	Unknown_Gene	Cluster_38479
Operon113	OMAKBKMK_00161	Unknown_Gene	Cluster_38479
Operon114	OMAKBKMK_00162	mtnD	Cluster_84111
Operon114	OMAKBKMK_00163	hcaT	Cluster_84111
Operon115	OMAKBKMK_00164	aroC	Cluster_87111
Operon116	OMAKBKMK_00165	Unknown_Gene	Cluster_87111
Operon117	OMAKBKMK_00166	Unknown_Gene	Cluster_130179
Operon118	OMAKBKMK_00167	prmB	Cluster_68686
Operon119	OMAKBKMK_00168	rutB	Cluster_68686
Operon120	OMAKBKMK_00169	Unknown_Gene	Cluster_124753
Operon121	OMAKBKMK_00170	smrA	Cluster_119131
Operon122	OMAKBKMK_00171	folE_1	Cluster_138292
Operon123	OMAKBKMK_00172	Unknown_Gene	Cluster_147373
Operon124	OMAKBKMK_00173	yfcG_1	Cluster_85578
Operon125	OMAKBKMK_00174	ydcO_1	Cluster_85578
Operon126	OMAKBKMK_00175	Unknown_Gene	Cluster_45578
Operon127	OMAKBKMK_00176	Unknown_Gene	Cluster_101561
Operon128	OMAKBKMK_00177	linC	Cluster_26236
Operon129	OMAKBKMK_00178	yfmJ	Cluster_26236
Operon130	OMAKBKMK_00179	Unknown_Gene	Cluster_91044
Operon130	OMAKBKMK_00180	kdsA	Cluster_91044
Operon131	OMAKBKMK_00181	Unknown_Gene	Cluster_11778
Operon131	OMAKBKMK_00182	Unknown_Gene	Cluster_11778
Operon132	OMAKBKMK_00183	Unknown_Gene	Cluster_11778
Operon133	OMAKBKMK_00184	Unknown_Gene	Cluster_104357
Operon134	OMAKBKMK_00185	pyrF	Cluster_66836
Operon135	OMAKBKMK_00186	Unknown_Gene	Cluster_66836
Operon136	OMAKBKMK_00187	Unknown_Gene	Cluster_65473
Operon137	OMAKBKMK_00188	pglF	Cluster_158369
Operon137	OMAKBKMK_00189	tagO	Cluster_158369
Operon137	OMAKBKMK_00190	gnu	Cluster_158369
Operon138	OMAKBKMK_00191	mshA_1	Cluster_39122
Operon138	OMAKBKMK_00192	mshA_2	Cluster_39122
Operon138	OMAKBKMK_00193	tld	Cluster_39122
Operon138	OMAKBKMK_00194	gmd	Cluster_39122
Operon139	OMAKBKMK_00195	tolC_1	Cluster_13776
Operon139	OMAKBKMK_00196	prsE_1	Cluster_13776
Operon139	OMAKBKMK_00197	prsD	Cluster_13776
Operon140	OMAKBKMK_00198	Unknown_Gene	Cluster_13776
Operon140	OMAKBKMK_00199	Unknown_Gene	Cluster_13776
Operon141	OMAKBKMK_00200	Unknown_Gene	Cluster_86479
Operon141	OMAKBKMK_00201	Unknown_Gene	Cluster_86479
Operon142	OMAKBKMK_00202	galE_1	Cluster_130712
Operon142	OMAKBKMK_00203	Unknown_Gene	Cluster_130712
Operon142	OMAKBKMK_00204	mshA_3	Cluster_130712
Operon143	OMAKBKMK_00205	Unknown_Gene	Cluster_114723
Operon144	OMAKBKMK_00206	Unknown_Gene	Cluster_88130
Operon144	OMAKBKMK_00207	rffG	Cluster_88130
Operon144	OMAKBKMK_00208	rfbD	Cluster_88130
Operon144	OMAKBKMK_00209	rfbA	Cluster_88130
Operon144	OMAKBKMK_00210	rmlC_1	Cluster_88130
Operon145	OMAKBKMK_00211	Unknown_Gene	Cluster_125942
Operon146	OMAKBKMK_00212	Unknown_Gene	Cluster_169485
Operon147	OMAKBKMK_00213	Unknown_Gene	Cluster_169485
Operon147	OMAKBKMK_00214	Unknown_Gene	Cluster_169485
Operon148	OMAKBKMK_00215	mshA_4	Cluster_99992
Operon148	OMAKBKMK_00216	wbdD	Cluster_99992
Operon148	OMAKBKMK_00217	btuD_1	Cluster_99992
Operon148	OMAKBKMK_00218	Unknown_Gene	Cluster_99992
Operon148	OMAKBKMK_00219	algC_1	Cluster_99992
Operon149	OMAKBKMK_00220	algA_1	Cluster_38888
Operon150	OMAKBKMK_00221	mdoB_1	Cluster_66701
Operon151	OMAKBKMK_00222	Unknown_Gene	Cluster_114201
Operon152	OMAKBKMK_00223	Unknown_Gene	Cluster_4415
Operon152	OMAKBKMK_00224	ihfB	Cluster_4415
Operon153	OMAKBKMK_00225	rpsA	Cluster_99481
Operon154	OMAKBKMK_00226	cmk	Cluster_42326
Operon154	OMAKBKMK_00227	aroA	Cluster_42326
Operon155	OMAKBKMK_00228	pheA	Cluster_27319
Operon155	OMAKBKMK_00229	serC	Cluster_27319
Operon156	OMAKBKMK_00230	gyrA	Cluster_29531
Operon157	OMAKBKMK_00231	mtnA	Cluster_109924
Operon158	OMAKBKMK_00232	ubiG	Cluster_109924
Operon158	OMAKBKMK_00233	mupP	Cluster_109924
Operon158	OMAKBKMK_00234	yciK	Cluster_109924
Operon159	OMAKBKMK_00235	Unknown_Gene	Cluster_30821
Operon160	OMAKBKMK_00236	Unknown_Gene	Cluster_161984
Operon160	OMAKBKMK_00237	Unknown_Gene	Cluster_161984
Operon161	OMAKBKMK_00238	Unknown_Gene	Cluster_58253
Operon161	OMAKBKMK_00239	Unknown_Gene	Cluster_58253
Operon161	OMAKBKMK_00240	Unknown_Gene	Cluster_58253
Operon162	OMAKBKMK_00241	bolA	Cluster_80683
Operon162	OMAKBKMK_00242	Unknown_Gene	Cluster_80683
Operon163	OMAKBKMK_00243	fumC_1	Cluster_80683
Operon164	OMAKBKMK_00244	yhbE	Cluster_102891
Operon165	OMAKBKMK_00245	Unknown_Gene	Cluster_80135
Operon166	OMAKBKMK_00246	mnmC_1	Cluster_80135
Operon167	OMAKBKMK_00247	asnB	Cluster_53937
Operon167	OMAKBKMK_00248	gshAB	Cluster_53937
Operon168	OMAKBKMK_00249	Unknown_Gene	Cluster_104359
Operon169	OMAKBKMK_00250	Unknown_Gene	Cluster_152500
Operon170	OMAKBKMK_00251	csrA1_1	Cluster_102915
Operon171	OMAKBKMK_00252	hcaB_1	Cluster_41611
Operon172	OMAKBKMK_00253	rcsC_2	Cluster_126181
Operon172	OMAKBKMK_00254	bvgA_1	Cluster_126181
Operon172	OMAKBKMK_00255	Unknown_Gene	Cluster_126181
Operon172	OMAKBKMK_00256	ecpB	Cluster_126181
Operon173	OMAKBKMK_00257	Unknown_Gene	Cluster_92275
Operon174	OMAKBKMK_00258	Unknown_Gene	Cluster_62528
Operon175	OMAKBKMK_00259	actP	Cluster_43408
Operon175	OMAKBKMK_00260	yjcH	Cluster_43408
Operon176	OMAKBKMK_00261	Unknown_Gene	Cluster_166532
Operon177	OMAKBKMK_00262	Unknown_Gene	Cluster_166532
Operon177	OMAKBKMK_00263	Unknown_Gene	Cluster_166532
Operon178	OMAKBKMK_00264	Unknown_Gene	Cluster_46138
Operon179	OMAKBKMK_00265	Unknown_Gene	Cluster_46138
Operon179	OMAKBKMK_00266	Unknown_Gene	Cluster_46138
Operon180	OMAKBKMK_00267	Unknown_Gene	Cluster_162613
Operon180	OMAKBKMK_00268	Unknown_Gene	Cluster_162613
Operon181	OMAKBKMK_00269	lpxL	Cluster_109213
Operon182	OMAKBKMK_00270	minC	Cluster_109213
Operon183	OMAKBKMK_00271	minD	Cluster_116242
Operon183	OMAKBKMK_00272	minE	Cluster_116242
Operon184	OMAKBKMK_00273	rluA	Cluster_89196
Operon185	OMAKBKMK_00274	apeB	Cluster_100840
Operon186	OMAKBKMK_00275	Unknown_Gene	Cluster_4309
Operon187	OMAKBKMK_00276	Unknown_Gene	Cluster_4309
Operon187	OMAKBKMK_00277	Unknown_Gene	Cluster_4309
Operon188	OMAKBKMK_00278	phnR	Cluster_25571
Operon189	OMAKBKMK_00279	Unknown_Gene	Cluster_25571
Operon190	OMAKBKMK_00280	Unknown_Gene	Cluster_110595
Operon190	OMAKBKMK_00281	Unknown_Gene	Cluster_110595
Operon190	OMAKBKMK_00282	phnV	Cluster_110595
Operon190	OMAKBKMK_00283	potA_1	Cluster_110595
Operon190	OMAKBKMK_00284	Unknown_Gene	Cluster_110595
Operon191	OMAKBKMK_00285	pikAII	Cluster_104360
Operon192	OMAKBKMK_00286	prc	Cluster_104360
Operon193	OMAKBKMK_00287	Unknown_Gene	Cluster_116508
Operon193	OMAKBKMK_00288	Unknown_Gene	Cluster_116508
Operon194	OMAKBKMK_00289	Unknown_Gene	Cluster_36034
Operon195	OMAKBKMK_00290	fklB_1	Cluster_22940
Operon196	OMAKBKMK_00291	Unknown_Gene	Cluster_22940
Operon196	OMAKBKMK_00292	Unknown_Gene	Cluster_22940
Operon197	OMAKBKMK_00293	gbpR_1	Cluster_15028
Operon198	OMAKBKMK_00294	nirD	Cluster_31822
Operon198	OMAKBKMK_00295	nasD	Cluster_31822
Operon199	OMAKBKMK_00296	napA_1	Cluster_26755
Operon200	OMAKBKMK_00297	map_1	Cluster_26755
Operon201	OMAKBKMK_00298	Unknown_Gene	Cluster_72473
Operon201	OMAKBKMK_00299	Unknown_Gene	Cluster_72473
Operon202	OMAKBKMK_00300	Unknown_Gene	Cluster_54005
Operon202	OMAKBKMK_00301	Unknown_Gene	Cluster_54005
Operon203	OMAKBKMK_00302	rdgC	Cluster_54005
Operon204	OMAKBKMK_00303	gdx	Cluster_61705
Operon205	OMAKBKMK_00304	lplT	Cluster_38962
Operon206	OMAKBKMK_00305	mcpS_1	Cluster_38962
Operon207	OMAKBKMK_00306	Unknown_Gene	Cluster_167283
Operon207	OMAKBKMK_00307	Unknown_Gene	Cluster_167283
Operon208	OMAKBKMK_00308	nagR	Cluster_74727
Operon209	OMAKBKMK_00309	rcsC_3	Cluster_80532
Operon210	OMAKBKMK_00310	Unknown_Gene	Cluster_162806
Operon210	OMAKBKMK_00311	Unknown_Gene	Cluster_162806
Operon211	OMAKBKMK_00312	Unknown_Gene	Cluster_394
Operon212	OMAKBKMK_00313	Unknown_Gene	Cluster_43774
Operon213	OMAKBKMK_00314	Unknown_Gene	Cluster_79893
Operon214	OMAKBKMK_00315	btuE_1	Cluster_156973
Operon214	OMAKBKMK_00316	Unknown_Gene	Cluster_156973
Operon214	OMAKBKMK_00317	Unknown_Gene	Cluster_156973
Operon215	OMAKBKMK_00318	Unknown_Gene	Cluster_143740
Operon216	OMAKBKMK_00319	cobS	Cluster_13926
Operon216	OMAKBKMK_00320	cobC	Cluster_13926
Operon216	OMAKBKMK_00321	cobT	Cluster_13926
Operon216	OMAKBKMK_00322	cobP	Cluster_13926
Operon216	OMAKBKMK_00323	cobQ	Cluster_13926
Operon216	OMAKBKMK_00324	hisC_1	Cluster_13926
Operon216	OMAKBKMK_00325	cobD	Cluster_13926
Operon216	OMAKBKMK_00326	bluB	Cluster_13926
Operon216	OMAKBKMK_00327	cbiA	Cluster_13926
Operon216	OMAKBKMK_00328	cobO_1	Cluster_13926
Operon217	OMAKBKMK_00329	Unknown_Gene	Cluster_91889
Operon218	OMAKBKMK_00330	mepS	Cluster_98832
Operon219	OMAKBKMK_00331	hda	Cluster_94646
Operon220	OMAKBKMK_00332	Unknown_Gene	Cluster_28943
Operon220	OMAKBKMK_00333	Unknown_Gene	Cluster_28943
Operon221	OMAKBKMK_00334	purM	Cluster_28943
Operon221	OMAKBKMK_00335	purN	Cluster_28943
Operon221	OMAKBKMK_00336	Unknown_Gene	Cluster_28943
Operon222	OMAKBKMK_00337	Unknown_Gene	Cluster_75363
Operon223	OMAKBKMK_00338	Unknown_Gene	Cluster_144612
Operon223	OMAKBKMK_00339	mazG	Cluster_144612
Operon224	OMAKBKMK_00340	relA	Cluster_132332
Operon224	OMAKBKMK_00341	rlmD	Cluster_132332
Operon224	OMAKBKMK_00342	cysM	Cluster_132332
Operon225	OMAKBKMK_00343	pfeS_1	Cluster_62131
Operon225	OMAKBKMK_00344	baeR	Cluster_62131
Operon226	OMAKBKMK_00345	barA	Cluster_62131
Operon227	OMAKBKMK_00346	Unknown_Gene	Cluster_40598
Operon228	OMAKBKMK_00347	ldhA	Cluster_83350
Operon228	OMAKBKMK_00348	Unknown_Gene	Cluster_83350
Operon228	OMAKBKMK_00349	Unknown_Gene	Cluster_83350
Operon229	OMAKBKMK_00350	resA_1	Cluster_127316
Operon230	OMAKBKMK_00351	yfgD	Cluster_127316
Operon230	OMAKBKMK_00352	Unknown_Gene	Cluster_127316
Operon230	OMAKBKMK_00353	Unknown_Gene	Cluster_127316
Operon231	OMAKBKMK_00354	Unknown_Gene	Cluster_39987
Operon231	OMAKBKMK_00355	ttcA	Cluster_39987
Operon232	OMAKBKMK_00356	yohC_1	Cluster_39987
Operon233	OMAKBKMK_00357	sprT	Cluster_89462
Operon234	OMAKBKMK_00358	dctA2_2	Cluster_28279
Operon235	OMAKBKMK_00359	phoQ	Cluster_84112
Operon235	OMAKBKMK_00360	phoP_1	Cluster_84112
Operon236	OMAKBKMK_00361	Unknown_Gene	Cluster_96768
Operon237	OMAKBKMK_00362	Unknown_Gene	Cluster_96768
Operon238	OMAKBKMK_00363	Unknown_Gene	Cluster_142941
Operon239	OMAKBKMK_00364	sasA_1	Cluster_4742
Operon239	OMAKBKMK_00365	walR_1	Cluster_4742
Operon240	OMAKBKMK_00366	Unknown_Gene	Cluster_4742
Operon241	OMAKBKMK_00367	nrdB	Cluster_7934
Operon242	OMAKBKMK_00368	fdhA_1	Cluster_137942
Operon243	OMAKBKMK_00369	Unknown_Gene	Cluster_112466
Operon244	OMAKBKMK_00370	Unknown_Gene	Cluster_163179
Operon244	OMAKBKMK_00371	yfeW_1	Cluster_163179
Operon244	OMAKBKMK_00372	baiA	Cluster_163179
Operon245	OMAKBKMK_00373	pobB_1	Cluster_127838
Operon246	OMAKBKMK_00374	tsaM1_1	Cluster_99254
Operon247	OMAKBKMK_00375	Unknown_Gene	Cluster_58332
Operon248	OMAKBKMK_00376	Unknown_Gene	Cluster_58332
Operon249	OMAKBKMK_00377	Unknown_Gene	Cluster_3885
Operon250	OMAKBKMK_00378	relB	Cluster_7264
Operon251	OMAKBKMK_00379	Unknown_Gene	Cluster_74652
Operon252	OMAKBKMK_00380	Unknown_Gene	Cluster_10467
Operon253	OMAKBKMK_00381	nicP_2	Cluster_10467
Operon254	OMAKBKMK_00382	udh	Cluster_35778
Operon254	OMAKBKMK_00383	Unknown_Gene	Cluster_35778
Operon255	OMAKBKMK_00384	dctP_1	Cluster_142121
Operon256	OMAKBKMK_00385	Unknown_Gene	Cluster_139062
Operon256	OMAKBKMK_00386	dctM_1	Cluster_139062
Operon257	OMAKBKMK_00387	Unknown_Gene	Cluster_78506
Operon257	OMAKBKMK_00388	Unknown_Gene	Cluster_78506
Operon258	OMAKBKMK_00389	dmlR_3	Cluster_153271
Operon259	OMAKBKMK_00390	hmp_1	Cluster_70644
Operon259	OMAKBKMK_00391	yfcG_2	Cluster_70644
Operon260	OMAKBKMK_00392	Unknown_Gene	Cluster_123284
Operon261	OMAKBKMK_00393	ansB_1	Cluster_149525
Operon262	OMAKBKMK_00394	Unknown_Gene	Cluster_65347
Operon263	OMAKBKMK_00395	Unknown_Gene	Cluster_11230
Operon264	OMAKBKMK_00396	alsS	Cluster_34912
Operon265	OMAKBKMK_00397	Unknown_Gene	Cluster_92843
Operon266	OMAKBKMK_00398	Unknown_Gene	Cluster_28578
Operon267	OMAKBKMK_00399	Unknown_Gene	Cluster_7986
Operon268	OMAKBKMK_00400	tyrS	Cluster_53309
Operon269	OMAKBKMK_00401	mepM	Cluster_53309
Operon269	OMAKBKMK_00402	anmK	Cluster_53309
Operon270	OMAKBKMK_00403	erpA	Cluster_103675
Operon271	OMAKBKMK_00404	argC_1	Cluster_88133
Operon272	OMAKBKMK_00405	Unknown_Gene	Cluster_88133
Operon273	OMAKBKMK_00406	Unknown_Gene	Cluster_165784
Operon274	OMAKBKMK_00407	ucpA	Cluster_165784
Operon275	OMAKBKMK_00408	Unknown_Gene	Cluster_142110
Operon276	OMAKBKMK_00409	coq7	Cluster_140560
Operon276	OMAKBKMK_00410	Unknown_Gene	Cluster_140560
Operon277	OMAKBKMK_00411	yhfA	Cluster_63207
Operon278	OMAKBKMK_00412	vfr	Cluster_63207
Operon279	OMAKBKMK_00413	Unknown_Gene	Cluster_157666
Operon279	OMAKBKMK_00414	trpC	Cluster_157666
Operon279	OMAKBKMK_00415	trpD_1	Cluster_157666
Operon279	OMAKBKMK_00416	trpG	Cluster_157666
Operon280	OMAKBKMK_00417	estP	Cluster_21292
Operon281	OMAKBKMK_00418	trpE	Cluster_140559
Operon282	OMAKBKMK_00419	gph_1	Cluster_86508
Operon282	OMAKBKMK_00420	rpe	Cluster_86508
Operon283	OMAKBKMK_00421	ydcV_1	Cluster_140558
Operon283	OMAKBKMK_00422	Unknown_Gene	Cluster_140558
Operon284	OMAKBKMK_00423	potD	Cluster_161022
Operon284	OMAKBKMK_00424	potA_2	Cluster_161022
Operon285	OMAKBKMK_00425	uvrY	Cluster_120023
Operon285	OMAKBKMK_00426	mltF_1	Cluster_120023
Operon286	OMAKBKMK_00427	Unknown_Gene	Cluster_120023
Operon287	OMAKBKMK_00428	djlA	Cluster_95408
Operon287	OMAKBKMK_00429	murU	Cluster_95408
Operon287	OMAKBKMK_00430	amgK	Cluster_95408
Operon288	OMAKBKMK_00431	lptD	Cluster_95408
Operon288	OMAKBKMK_00432	surA_1	Cluster_95408
Operon288	OMAKBKMK_00433	pdxA	Cluster_95408
Operon288	OMAKBKMK_00434	rsmA	Cluster_95408
Operon289	OMAKBKMK_00435	apaG	Cluster_78526
